trait,method,selection_method,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_tarsus,full_train_pc_ridge,full_train,5085,0.3887226267223125,,0.5147350430488586,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,500,0.187896833158577,,0.580798864364624,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,1000,0.3319726560636212,,0.550469160079956,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,1500,0.3115427701048991,,0.5548279285430908,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,2000,0.329149561226591,,0.540924072265625,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,2500,0.351100092616866,,0.5347686409950256,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,3000,0.3761861055774386,,0.5251786112785339,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,3500,0.3608001762993569,,0.5252910256385803,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,4000,0.3849964923849293,,0.520251989364624,1
thr_tarsus,pevmean_ga_pc_ridge,pevmean_ga,4500,0.3986570020052318,,0.5148048400878906,1
