n_train_islands,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,fitness,method,selected_islands,selected_island_names,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
15,5503,0.281609705162089,0.2168527194673173,0.8432525992393494,5.1173851564980734e-05,all_islands,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","['Nesøy', 'Myken', 'Træna', 'Gjerøy', 'Hestmannøy', 'Indre Kvarøy', 'Onøy og Lurøy', 'Lovund', 'Sleneset', 'Aldra', 'Southern 1', 'Southern 2', 'Southern 3', 'Southern 4', 'Southern 5']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,2214,0.3680289664108224,0.24514279442733095,0.8300546407699585,0.00016622807877634255,island_ga,"[0, 1, 2, 6, 7, 8, 9, 10, 12, 15]","['Nesøy', 'Myken', 'Træna', 'Indre Kvarøy', 'Onøy og Lurøy', 'Lovund', 'Sleneset', 'Aldra', 'Southern 2', 'Southern 5']",3,Selvær,40,0,1086042579,body_mass,53,191,263.1580763440579
10,2880,0.417540268503967,0.15283526740961711,0.8573852181434631,0.00014497925989721076,random,"[1, 2, 4, 6, 8, 9, 10, 12, 14, 15]","['Myken', 'Træna', 'Gjerøy', 'Indre Kvarøy', 'Lovund', 'Sleneset', 'Aldra', 'Southern 2', 'Southern 4', 'Southern 5']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,4275,0.23201331496798386,0.11124441871183238,0.8760220408439636,5.42721204603471e-05,random,"[1, 4, 5, 8, 9, 10, 11, 12, 13, 14]","['Myken', 'Gjerøy', 'Hestmannøy', 'Lovund', 'Sleneset', 'Aldra', 'Southern 1', 'Southern 2', 'Southern 3', 'Southern 4']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,3179,0.32165230805725303,0.22317892784944526,0.8360516428947449,0.00010118034226399906,random,"[0, 2, 4, 6, 7, 8, 9, 11, 14, 15]","['Nesøy', 'Træna', 'Gjerøy', 'Indre Kvarøy', 'Onøy og Lurøy', 'Lovund', 'Sleneset', 'Southern 1', 'Southern 4', 'Southern 5']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,3031,0.3373066839431929,0.1282086585591306,0.8649412989616394,0.00011128561001095114,random,"[0, 1, 2, 4, 6, 7, 10, 11, 12, 15]","['Nesøy', 'Myken', 'Træna', 'Gjerøy', 'Indre Kvarøy', 'Onøy og Lurøy', 'Aldra', 'Southern 1', 'Southern 2', 'Southern 5']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,3215,0.3748838688392095,0.1807324516658187,0.8485325574874878,0.00011660462483334665,random,"[0, 1, 2, 4, 6, 8, 10, 12, 13, 14]","['Nesøy', 'Myken', 'Træna', 'Gjerøy', 'Indre Kvarøy', 'Lovund', 'Aldra', 'Southern 2', 'Southern 3', 'Southern 4']",3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,2214,0.2685372808227173,0.15817939419198226,0.8574390411376953,0.00012129055141044141,random_individual_matched_n,[],[],3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,2214,0.3578872574259833,0.218454957409807,0.84944748878479,0.00016164736107767991,random_individual_matched_n,[],[],3,Selvær,40,0,1086042579,body_mass,0,0,0.0
10,2214,0.3302159369065809,0.16769773845674507,0.8556572794914246,0.00014914902299303565,random_individual_matched_n,[],[],3,Selvær,40,0,1086042579,body_mass,0,0,0.0
