target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,epochs_trained,corr_eval,mse_adj,alpha_best
0,Nesøy,0,10,0.0,5578,119,116.55993587104604,mlp,150.0,0.14042188227176666,1.432285189628601,
0,Nesøy,0,10,0.0,5578,119,84.76022222498432,ridge,,0.12929095327854156,1.3567512035369873,50000.0
0,Nesøy,0,10,0.25,4184,119,83.91288045304827,mlp,150.0,0.1952812522649765,1.4368282556533813,
0,Nesøy,0,10,0.25,4184,119,54.95037352712825,ridge,,0.17147372663021088,1.3189737796783447,50000.0
0,Nesøy,0,10,0.5,2789,119,52.09292040206492,mlp,150.0,0.20202696323394775,1.3717995882034302,
0,Nesøy,0,10,0.5,2789,119,33.782480830093846,ridge,,0.1797827035188675,1.2900750637054443,100000.0
0,Nesøy,0,10,0.75,1394,119,25.199177651898935,mlp,150.0,0.1619735211133957,1.3775804042816162,
0,Nesøy,0,10,0.75,1394,119,14.24195515899919,ridge,,0.24231767654418945,1.2963557243347168,50000.0
0,Nesøy,1,1010,0.0,5578,119,114.94335678499192,mlp,150.0,0.2105848640203476,1.3944127559661865,
0,Nesøy,1,1010,0.0,5578,119,84.67468562792055,ridge,,0.20179739594459534,1.2877297401428223,100000.0
0,Nesøy,1,1010,0.25,4184,119,84.85593632399105,mlp,150.0,0.15517036616802216,1.4227631092071533,
0,Nesøy,1,1010,0.25,4184,119,55.55494751990773,ridge,,0.16952069103717804,1.2892777919769287,100000.0
0,Nesøy,1,1010,0.5,2789,119,54.80075387004763,mlp,150.0,0.3005141019821167,1.2646182775497437,
0,Nesøy,1,1010,0.5,2789,119,33.83641858887859,ridge,,0.2881569564342499,1.2370214462280273,50000.0
0,Nesøy,1,1010,0.75,1394,119,25.119000766891986,mlp,150.0,0.15117253363132477,1.3904541730880737,
0,Nesøy,1,1010,0.75,1394,119,14.475121160037816,ridge,,0.09031105041503906,1.3377925157546997,100000.0
0,Nesøy,2,2010,0.0,5578,119,114.37707519601099,mlp,150.0,0.2714513838291168,1.338496446609497,
0,Nesøy,2,2010,0.0,5578,119,84.61281654983759,ridge,,0.23010966181755066,1.2758694887161255,100000.0
0,Nesøy,2,2010,0.25,4184,119,83.72817840985954,mlp,150.0,0.18032097816467285,1.3630307912826538,
0,Nesøy,2,2010,0.25,4184,119,54.997479651123285,ridge,,0.18863575160503387,1.2844741344451904,50000.0
0,Nesøy,2,2010,0.5,2789,119,54.29035885888152,mlp,150.0,0.07827552407979965,1.4298025369644165,
0,Nesøy,2,2010,0.5,2789,119,33.26988236093894,ridge,,0.09280310571193695,1.3083598613739014,100000.0
0,Nesøy,2,2010,0.75,1394,119,24.82787014101632,mlp,150.0,0.1051429957151413,1.3309446573257446,
0,Nesøy,2,2010,0.75,1394,119,13.979432105086744,ridge,,0.08894172310829163,1.3049838542938232,100000.0
