target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,epochs_trained,corr_eval,mse_adj,alpha_best,alpha_cv_mse_best
9,Sleneset,0,10,0.0,5531,166,261.5850953690242,mlp,150.0,0.11919871717691422,1.0625522136688232,,
9,Sleneset,0,10,0.0,5531,166,4.516983025940135,ridge,,0.1631080061197281,0.9685348868370056,100000.0,
9,Sleneset,0,10,0.25,4148,166,180.01097096712328,mlp,150.0,0.2450939565896988,0.9698013663291931,,
9,Sleneset,0,10,0.25,4148,166,2.3941568608861417,ridge,,0.25091466307640076,0.9477807283401489,100000.0,
9,Sleneset,0,10,0.5,2766,166,117.77322115399875,mlp,150.0,0.13158757984638214,1.0581309795379639,,
9,Sleneset,0,10,0.5,2766,166,1.4634849959984422,ridge,,0.22798208892345428,0.9648257493972778,100000.0,
9,Sleneset,0,10,0.75,1383,166,58.33668373688124,mlp,150.0,0.110110342502594,1.016946792602539,,
9,Sleneset,0,10,0.75,1383,166,0.776394734159112,ridge,,0.1075754389166832,0.9914419054985046,100000.0,
9,Sleneset,1,1010,0.0,5531,166,240.1544643130619,mlp,150.0,0.15167255699634552,1.0687081813812256,,
9,Sleneset,1,1010,0.0,5531,166,3.3785887230187654,ridge,,0.15152636170387268,0.9790658354759216,100000.0,
9,Sleneset,1,1010,0.25,4148,166,178.65735279303044,mlp,150.0,0.12413497269153595,1.0883899927139282,,
9,Sleneset,1,1010,0.25,4148,166,2.3901561030652374,ridge,,0.19009077548980713,0.9724547863006592,100000.0,
9,Sleneset,1,1010,0.5,2766,166,120.09251176891848,mlp,150.0,0.21842215955257416,0.9747821092605591,,
9,Sleneset,1,1010,0.5,2766,166,1.5018809798639268,ridge,,0.23344466090202332,0.9552487134933472,100000.0,
9,Sleneset,1,1010,0.75,1383,166,57.475251065101475,mlp,150.0,-0.011011019349098206,1.098118782043457,,
9,Sleneset,1,1010,0.75,1383,166,0.7591589731164277,ridge,,0.046544890850782394,0.9994473457336426,100000.0,
9,Sleneset,2,2010,0.0,5531,166,239.77512405416928,mlp,150.0,0.13440310955047607,1.0526292324066162,,
9,Sleneset,2,2010,0.0,5531,166,3.5232915841042995,ridge,,0.19917921721935272,0.957156240940094,100000.0,
9,Sleneset,2,2010,0.25,4148,166,175.85038699000143,mlp,150.0,0.20023410022258759,0.9997900724411011,,
9,Sleneset,2,2010,0.25,4148,166,2.121588750043884,ridge,,0.22553423047065735,0.9640682339668274,100000.0,
9,Sleneset,2,2010,0.5,2766,166,120.11489008297212,mlp,150.0,0.10730868577957153,1.0542175769805908,,
9,Sleneset,2,2010,0.5,2766,166,1.4928655731491745,ridge,,0.18319599330425262,0.9738453030586243,100000.0,
9,Sleneset,2,2010,0.75,1383,166,59.25723400898278,mlp,150.0,0.004021921195089817,1.1342227458953857,,
9,Sleneset,2,2010,0.75,1383,166,0.7014688369818032,ridge,,0.040564388036727905,1.0133922100067139,100000.0,
9,Sleneset,3,3010,0.0,5531,166,236.89190456504002,mlp,150.0,0.08875475823879242,1.0842020511627197,,
9,Sleneset,3,3010,0.0,5531,166,3.533585503930226,ridge,,0.15158207714557648,0.9759831428527832,100000.0,
9,Sleneset,3,3010,0.25,4148,166,180.18373935483396,mlp,150.0,0.09950753301382065,1.108023762702942,,
9,Sleneset,3,3010,0.25,4148,166,2.3972991488408297,ridge,,0.1647559404373169,0.9737908244132996,100000.0,
9,Sleneset,3,3010,0.5,2766,166,115.92797747207806,mlp,150.0,0.09879443794488907,1.0759211778640747,,
9,Sleneset,3,3010,0.5,2766,166,1.4265260219108313,ridge,,0.16743838787078857,0.9781819581985474,100000.0,
9,Sleneset,3,3010,0.75,1383,166,58.07460038899444,mlp,150.0,0.1784944087266922,0.995976448059082,,
9,Sleneset,3,3010,0.75,1383,166,0.7177569870837033,ridge,,0.16532178223133087,0.9873714447021484,100000.0,
9,Sleneset,4,4010,0.0,5531,166,239.86103545804508,mlp,150.0,0.1302860975265503,1.0837764739990234,,
9,Sleneset,4,4010,0.0,5531,166,3.3921356010250747,ridge,,0.18731364607810974,0.9640684127807617,100000.0,
9,Sleneset,4,4010,0.25,4148,166,176.46244849497452,mlp,150.0,0.14352594316005707,1.049637794494629,,
9,Sleneset,4,4010,0.25,4148,166,2.3840406860690564,ridge,,0.12072190642356873,0.9849892854690552,100000.0,
9,Sleneset,4,4010,0.5,2766,166,119.36574139283039,mlp,150.0,0.1527143269777298,1.0196298360824585,,
9,Sleneset,4,4010,0.5,2766,166,1.536076202057302,ridge,,0.19712083041667938,0.9656537771224976,100000.0,
9,Sleneset,4,4010,0.75,1383,166,58.54691018699668,mlp,150.0,0.15987291932106018,1.0041236877441406,,
9,Sleneset,4,4010,0.75,1383,166,0.650668194051832,ridge,,0.17246383428573608,0.9883575439453125,100000.0,
