trait,target_island,target_island_name,analysis,method,n_components,alpha,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,apriori_geometry,pca_source_apriori_topk,10.0,,3326,0.2107200485144527,,1.2859768867492676,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,1.0,186,0.0078433950469717,,1.3049236536026,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,1.5,446,0.277811308872701,,1.239449143409729,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,2.0,794,0.2400972898864501,,1.2529442310333252,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,3.0,1462,0.2313694703551561,,1.2658894062042236,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,4.0,2085,0.1878328577876752,,1.2823655605316162,1
body_mass,0,Nesøy,full_baseline,full_source_unweighted,,,3326,0.2107199917625094,,1.285977125167847,1
body_mass,0,Nesøy,ranked_subset,pca_source_topk,10.0,,50,0.1368883156164969,,1.2939279079437256,1
body_mass,0,Nesøy,ranked_subset,pca_source_topk,10.0,,200,0.1317733416065562,,1.2984113693237305,1
body_mass,0,Nesøy,ranked_subset,pca_source_topk,10.0,,500,0.2651174533530639,,1.2412229776382446,1
body_mass,0,Nesøy,ranked_subset,random_individual,,,50,-0.0881598199842885,,1.2997066974639893,1
body_mass,0,Nesøy,ranked_subset,random_individual,,,200,0.0703282400811409,,1.295712947845459,1
body_mass,0,Nesøy,ranked_subset,random_individual,,,500,0.1538649715844091,,1.289551019668579,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_exponential,10.0,,3326,0.2145496350174833,,1.2835780382156372,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_linear,10.0,,3326,0.2120777353395908,,1.284775972366333,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_minmax,10.0,,3326,0.2121541619926802,,1.2846475839614868,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_top-heavy,10.0,,3326,0.2246974732156335,,1.2844176292419434,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_uniform,10.0,,3326,0.2107199917625094,,1.285977125167847,1
