trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist,weight
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19505,8L19505,3,Selvær,696,26.910255432128906,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19506,8L19506,3,Selvær,504,23.03116226196289,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19540,8L19540,3,Selvær,388,19.743274688720703,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19549,8L19549,8,Lovund,2737,82.67153930664062,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19556,8L19556,8,Lovund,446,21.54697036743164,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19559,8L19559,8,Lovund,632,25.66851043701172,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19568,8L19568,3,Selvær,789,28.704313278198242,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19569,8L19569,3,Selvær,2059,56.74763488769531,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19578,8L19578,8,Lovund,1287,39.473838806152344,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19595,8L19595,3,Selvær,1549,44.98680114746094,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19596,8L19596,2,Træna,1832,51.245391845703125,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19610,8L19610,9,Sleneset,2664,78.76917266845703,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19624,8L19624,9,Sleneset,2562,73.99955749511719,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19633,8L19633,2,Træna,1718,48.591644287109375,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19656,8L19656,3,Selvær,83,12.044257164001465,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19661,8L19661,2,Træna,1262,39.04501724243164,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19663,8L19663,7,Onøy og Lurøy,835,29.7873592376709,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19666,8L19666,7,Onøy og Lurøy,1670,47.57101821899414,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19688,8L19688,3,Selvær,2468,69.8388671875,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19693,8L19693,2,Træna,2690,79.87015533447266,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19722,8L19722,6,Indre Kvarøy,1481,43.35447311401367,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19728,8L19728,4,Gjerøy,2867,91.02177429199219,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19729,8L19729,4,Gjerøy,2830,88.08722686767578,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19813,8L19813,5,Hestmannøy,680,26.564983367919922,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19825,8L19825,4,Gjerøy,462,21.861642837524414,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19830,8L19830,5,Hestmannøy,1593,45.84271240234375,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19835,8L19835,5,Hestmannøy,1166,36.64500427246094,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19839,8L19839,5,Hestmannøy,2380,66.72441864013672,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19856,8L19856,4,Gjerøy,15,9.072765350341797,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19858,8L19858,10,Aldra,3015,104.68187713623047,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19860,8L19860,10,Aldra,2956,97.7144546508789,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19862,8L19862,6,Indre Kvarøy,851,30.119342803955078,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19877,8L19877,5,Hestmannøy,1375,41.17537307739258,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19899,8L19899,6,Indre Kvarøy,2661,78.65382385253906,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19900,8L19900,6,Indre Kvarøy,222,15.061102867126465,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19912,8L19912,5,Hestmannøy,366,19.056241989135742,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19917,8L19917,5,Hestmannøy,2720,81.59809112548828,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19919,8L19919,5,Hestmannøy,2424,68.41940307617188,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19920,8L19920,5,Hestmannøy,570,24.388975143432617,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19921,8L19921,5,Hestmannøy,382,19.543317794799805,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19922,8L19922,10,Aldra,3157,127.04460144042969,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19928,8L19928,10,Aldra,3159,127.3839111328125,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19926,8L19926,10,Aldra,3061,111.63294219970703,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19930,8L19930,10,Aldra,2931,96.03409576416016,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19931,8L19931,10,Aldra,3198,135.30715942382812,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19932,8L19932,10,Aldra,2237,62.08656311035156,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19934,8L19934,5,Hestmannøy,2915,94.68038177490234,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19936,8L19936,5,Hestmannøy,1799,50.36543655395508,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19937,8L19937,5,Hestmannøy,1985,54.97227096557617,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19944,8L19944,7,Onøy og Lurøy,1899,52.699127197265625,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19951,8L19951,7,Onøy og Lurøy,2197,60.91394805908203,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19952,8L19952,7,Onøy og Lurøy,3019,105.32081604003906,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19953,8L19953,7,Onøy og Lurøy,2928,95.61674499511719,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19958,8L19958,10,Aldra,3103,116.93753814697266,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19960,8L19960,10,Aldra,3024,106.1242446899414,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19961,8L19961,10,Aldra,3238,141.9416961669922,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19969,8L19969,5,Hestmannøy,255,15.991491317749023,1.0
