analysis,method,weight_scheme,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,pca_dist_obj,n_components,target_island,target_island_name,repeat,repeat_seed,trait,alpha
full_baseline,full_source_unweighted,none,-2,False,3326,0.20553674904289765,1.2904810905456543,,,0,Nesøy,0,461311978,body_mass,
ranked_subset,random_individual,none,0,False,50,-0.06565738337820091,1.2982484102249146,,,0,Nesøy,0,461311978,body_mass,
ranked_subset,random_individual,none,0,False,200,0.02522362773956812,1.298617959022522,,,0,Nesøy,0,461311978,body_mass,
ranked_subset,pca_source_topk,none,-1,False,50,0.1627467677269102,1.2955797910690308,9.629227638244629,10,0,Nesøy,0,461311978,body_mass,
ranked_subset,pca_source_topk,none,-1,False,200,0.09032684506851962,1.3026891946792603,12.073116302490234,10,0,Nesøy,0,461311978,body_mass,
distance_threshold,pca_source_alpha,none,-1,False,186,0.0016596152388733913,1.2964634895324707,11.888197898864746,10,0,Nesøy,0,461311978,body_mass,1.0
distance_threshold,pca_source_alpha,none,-1,False,794,0.2205218072738789,1.2837903499603271,19.7070255279541,10,0,Nesøy,0,461311978,body_mass,2.0
weighted_full,pca_source_weight_uniform,uniform,-1,True,3326,0.20553674904289765,1.2904810905456543,55.02833557128906,10,0,Nesøy,0,461311978,body_mass,
weighted_full,pca_source_weight_linear,linear,-1,True,3326,0.22029266969051292,1.287690281867981,55.02833557128906,10,0,Nesøy,0,461311978,body_mass,
weighted_full,pca_source_weight_minmax,minmax,-1,True,3326,0.22211808123100096,1.2873162031173706,55.02833557128906,10,0,Nesøy,0,461311978,body_mass,
weighted_full,pca_source_weight_exponential,exponential,-1,True,3326,0.22897093462041085,1.2854288816452026,55.02833557128906,10,0,Nesøy,0,461311978,body_mass,
weighted_full,pca_source_weight_top-heavy,top-heavy,-1,True,3326,0.22598092686566143,1.2786000967025757,55.02833557128906,10,0,Nesøy,0,461311978,body_mass,
full_baseline,full_source_unweighted,none,-2,False,3353,0.23456002504303858,1.7355784177780151,,,1,Myken,0,138335007,body_mass,
ranked_subset,random_individual,none,0,False,50,0.05689611276162225,1.782383680343628,,,1,Myken,0,138335007,body_mass,
ranked_subset,random_individual,none,0,False,200,-0.005569550927328863,1.7701071500778198,,,1,Myken,0,138335007,body_mass,
ranked_subset,pca_source_topk,none,-1,False,50,-0.009439295825066621,1.849611520767212,10.716090202331543,10,1,Myken,0,138335007,body_mass,
ranked_subset,pca_source_topk,none,-1,False,200,-0.056976170385700436,1.7913649082183838,14.761347770690918,10,1,Myken,0,138335007,body_mass,
distance_threshold,pca_source_alpha,none,-1,False,156,0.024915552742922367,1.7918485403060913,13.697893142700195,10,1,Myken,0,138335007,body_mass,1.0
distance_threshold,pca_source_alpha,none,-1,False,916,0.22743033297896492,1.754512071609497,24.45020294189453,10,1,Myken,0,138335007,body_mass,2.0
weighted_full,pca_source_weight_uniform,uniform,-1,True,3353,0.23456002504303858,1.7355784177780151,58.59402847290039,10,1,Myken,0,138335007,body_mass,
weighted_full,pca_source_weight_linear,linear,-1,True,3353,0.24549924035694243,1.733069896697998,58.59402847290039,10,1,Myken,0,138335007,body_mass,
weighted_full,pca_source_weight_minmax,minmax,-1,True,3353,0.24679638834715034,1.7327358722686768,58.59402847290039,10,1,Myken,0,138335007,body_mass,
weighted_full,pca_source_weight_exponential,exponential,-1,True,3353,0.25320712658834155,1.7312277555465698,58.59402847290039,10,1,Myken,0,138335007,body_mass,
weighted_full,pca_source_weight_top-heavy,top-heavy,-1,True,3353,0.2438111780153026,1.7312334775924683,58.59402847290039,10,1,Myken,0,138335007,body_mass,
