trait,target_island,target_island_name,analysis,method,n_components,alpha,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,1.0,186,0.0016596152388733,,1.2964634895324707,1
body_mass,0,Nesøy,distance_threshold,pca_source_alpha,10.0,2.0,794,0.2205218072738789,,1.2837903499603271,1
body_mass,0,Nesøy,full_baseline,full_source_unweighted,,,3326,0.2055367490428976,,1.2904810905456543,1
body_mass,0,Nesøy,ranked_subset,pca_source_topk,10.0,,50,0.1627467677269102,,1.2955797910690308,1
body_mass,0,Nesøy,ranked_subset,pca_source_topk,10.0,,200,0.0903268450685196,,1.3026891946792605,1
body_mass,0,Nesøy,ranked_subset,random_individual,,,50,-0.0656573833782009,,1.2982484102249146,1
body_mass,0,Nesøy,ranked_subset,random_individual,,,200,0.0252236277395681,,1.298617959022522,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_exponential,10.0,,3326,0.2289709346204108,,1.2854288816452026,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_linear,10.0,,3326,0.2202926696905129,,1.287690281867981,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_minmax,10.0,,3326,0.2221180812310009,,1.2873162031173706,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_top-heavy,10.0,,3326,0.2259809268656614,,1.2786000967025757,1
body_mass,0,Nesøy,weighted_full,pca_source_weight_uniform,10.0,,3326,0.2055367490428976,,1.2904810905456543,1
body_mass,1,Myken,distance_threshold,pca_source_alpha,10.0,1.0,156,0.0249155527429223,,1.7918485403060913,1
body_mass,1,Myken,distance_threshold,pca_source_alpha,10.0,2.0,916,0.2274303329789649,,1.754512071609497,1
body_mass,1,Myken,full_baseline,full_source_unweighted,,,3353,0.2345600250430385,,1.7355784177780151,1
body_mass,1,Myken,ranked_subset,pca_source_topk,10.0,,50,-0.0094392958250666,,1.849611520767212,1
body_mass,1,Myken,ranked_subset,pca_source_topk,10.0,,200,-0.0569761703857004,,1.7913649082183838,1
body_mass,1,Myken,ranked_subset,random_individual,,,50,0.0568961127616222,,1.782383680343628,1
body_mass,1,Myken,ranked_subset,random_individual,,,200,-0.0055695509273288,,1.7701071500778198,1
body_mass,1,Myken,weighted_full,pca_source_weight_exponential,10.0,,3353,0.2532071265883415,,1.7312277555465698,1
body_mass,1,Myken,weighted_full,pca_source_weight_linear,10.0,,3353,0.2454992403569424,,1.733069896697998,1
body_mass,1,Myken,weighted_full,pca_source_weight_minmax,10.0,,3353,0.2467963883471503,,1.7327358722686768,1
body_mass,1,Myken,weighted_full,pca_source_weight_top-heavy,10.0,,3353,0.2438111780153026,,1.7312334775924685,1
body_mass,1,Myken,weighted_full,pca_source_weight_uniform,10.0,,3353,0.2345600250430385,,1.7355784177780151,1
