trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31282,8M31282,10,Aldra,1,6.955007553100586
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N42501,8N42501,5,Hestmannøy,2,7.305502414703369
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8573966,8573966,5,Hestmannøy,3,7.339982986450195
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8309128,8309128,5,Hestmannøy,4,7.431020259857178
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31747,8M31747,5,Hestmannøy,5,7.81059455871582
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N42729,8N42729,5,Hestmannøy,6,7.882079124450684
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N14905,8N14905,6,Indre Kvarøy,7,7.882309436798096
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N05535,8N05535,7,Onøy og Lurøy,8,7.971114158630371
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8747777,8747777,5,Hestmannøy,9,8.579426765441895
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8917814,8917814,3,Selvær,10,8.642586708068848
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8747135,8747135,3,Selvær,11,8.868916511535645
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M72990,8M72990,4,Gjerøy,12,8.870856285095215
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8934531,8934531,1,Myken,13,8.934332847595215
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8800060,8800060,4,Gjerøy,14,9.015737533569336
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L19856,8L19856,4,Gjerøy,15,9.07275676727295
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8681001,8681001,4,Gjerøy,16,9.125829696655273
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L89380,8L89380,5,Hestmannøy,17,9.207938194274902
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N14792,8N14792,6,Indre Kvarøy,18,9.229331970214844
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N27916,8N27916,5,Hestmannøy,19,9.373297691345215
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8598614,8598614,6,Indre Kvarøy,20,9.54332160949707
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L48310,8L48310,5,Hestmannøy,21,9.573003768920898
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8681436,8681436,6,Indre Kvarøy,22,9.645689964294434
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8747740,8747740,6,Indre Kvarøy,23,9.7878999710083
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31928,8M31928,5,Hestmannøy,24,9.969067573547363
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N05846,8N05846,5,Hestmannøy,25,9.994386672973633
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8747519,8747519,5,Hestmannøy,26,10.057150840759277
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L19987,8L19987,4,Gjerøy,27,10.07346248626709
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N28781,8N28781,5,Hestmannøy,28,10.184425354003906
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8747256,8747256,6,Indre Kvarøy,29,10.209814071655273
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8800441,8800441,4,Gjerøy,30,10.342825889587402
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31872,8M31872,5,Hestmannøy,31,10.36989688873291
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N27315,8N27315,5,Hestmannøy,32,10.373534202575684
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8P26526,8P26526,9,Sleneset,33,10.403629302978516
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L57882,8L57882,5,Hestmannøy,34,10.416717529296875
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31968,8M31968,5,Hestmannøy,35,10.482263565063477
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M71505,8M71505,10,Aldra,36,10.49197769165039
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N14992,8N14992,4,Gjerøy,37,10.514385223388672
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8800075,8800075,5,Hestmannøy,38,10.558797836303711
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8917940,8917940,8,Lovund,39,10.602987289428711
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M31935,8M31935,4,Gjerøy,40,10.605772018432617
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N27411,8N27411,5,Hestmannøy,41,10.711591720581055
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N72965,8N72965,2,Træna,42,10.723235130310059
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8L64901,8L64901,5,Hestmannøy,43,10.732836723327637
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8917953,8917953,2,Træna,44,10.733683586120605
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N27800,8N27800,2,Træna,45,10.742684364318848
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8N05796,8N05796,10,Aldra,46,10.779973983764648
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8M72859,8M72859,10,Aldra,47,10.780085563659668
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8732667,8732667,2,Træna,48,10.818598747253418
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8943766,8943766,2,Træna,49,10.86053466796875
body_mass,0,Nesøy,0,461311978,50,pca_source_topk,10,,8800353,8800353,5,Hestmannøy,50,10.878490447998047
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31282,8M31282,10,Aldra,1,6.955007553100586
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42501,8N42501,5,Hestmannøy,2,7.305502414703369
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8573966,8573966,5,Hestmannøy,3,7.339982986450195
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8309128,8309128,5,Hestmannøy,4,7.431020259857178
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31747,8M31747,5,Hestmannøy,5,7.81059455871582
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42729,8N42729,5,Hestmannøy,6,7.882079124450684
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N14905,8N14905,6,Indre Kvarøy,7,7.882309436798096
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N05535,8N05535,7,Onøy og Lurøy,8,7.971114158630371
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747777,8747777,5,Hestmannøy,9,8.579426765441895
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8917814,8917814,3,Selvær,10,8.642586708068848
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747135,8747135,3,Selvær,11,8.868916511535645
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M72990,8M72990,4,Gjerøy,12,8.870856285095215
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8934531,8934531,1,Myken,13,8.934332847595215
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800060,8800060,4,Gjerøy,14,9.015737533569336
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L19856,8L19856,4,Gjerøy,15,9.07275676727295
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681001,8681001,4,Gjerøy,16,9.125829696655273
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L89380,8L89380,5,Hestmannøy,17,9.207938194274902
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N14792,8N14792,6,Indre Kvarøy,18,9.229331970214844
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27916,8N27916,5,Hestmannøy,19,9.373297691345215
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8598614,8598614,6,Indre Kvarøy,20,9.54332160949707
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L48310,8L48310,5,Hestmannøy,21,9.573003768920898
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681436,8681436,6,Indre Kvarøy,22,9.645689964294434
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747740,8747740,6,Indre Kvarøy,23,9.7878999710083
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31928,8M31928,5,Hestmannøy,24,9.969067573547363
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N05846,8N05846,5,Hestmannøy,25,9.994386672973633
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747519,8747519,5,Hestmannøy,26,10.057150840759277
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L19987,8L19987,4,Gjerøy,27,10.07346248626709
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N28781,8N28781,5,Hestmannøy,28,10.184425354003906
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747256,8747256,6,Indre Kvarøy,29,10.209814071655273
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800441,8800441,4,Gjerøy,30,10.342825889587402
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31872,8M31872,5,Hestmannøy,31,10.36989688873291
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27315,8N27315,5,Hestmannøy,32,10.373534202575684
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8P26526,8P26526,9,Sleneset,33,10.403629302978516
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L57882,8L57882,5,Hestmannøy,34,10.416717529296875
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31968,8M31968,5,Hestmannøy,35,10.482263565063477
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M71505,8M71505,10,Aldra,36,10.49197769165039
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N14992,8N14992,4,Gjerøy,37,10.514385223388672
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800075,8800075,5,Hestmannøy,38,10.558797836303711
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8917940,8917940,8,Lovund,39,10.602987289428711
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31935,8M31935,4,Gjerøy,40,10.605772018432617
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27411,8N27411,5,Hestmannøy,41,10.711591720581055
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N72965,8N72965,2,Træna,42,10.723235130310059
