n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
500,0.22295954609336494,0.8950129151344299,pevmean_ga,-1,18719.06643680267,3,Selvær,0,261820732,body_mass
1000,0.24508460816202535,0.8837972283363342,pevmean_ga,-1,18290.733422341043,3,Selvær,0,261820732,body_mass
2000,0.19243640716561455,0.8988754153251648,pevmean_ga,-1,17669.872293027347,3,Selvær,0,261820732,body_mass
500,0.06570848954132895,0.9219114184379578,random_individual,0,,3,Selvær,0,261820732,body_mass
1000,0.1047690064208844,0.9180223941802979,random_individual,0,,3,Selvær,0,261820732,body_mass
2000,0.1945267732542432,0.8946622610092163,random_individual,0,,3,Selvær,0,261820732,body_mass
500,0.061471299875257894,0.91634202003479,random_individual,1,,3,Selvær,0,261820732,body_mass
1000,0.16047560368880134,0.904577910900116,random_individual,1,,3,Selvær,0,261820732,body_mass
2000,0.09452276749896385,0.926751971244812,random_individual,1,,3,Selvær,0,261820732,body_mass
500,0.1378203222667573,0.9108178615570068,random_individual,2,,3,Selvær,0,261820732,body_mass
1000,0.1717063579887151,0.9059076905250549,random_individual,2,,3,Selvær,0,261820732,body_mass
2000,0.16011634033796784,0.9117655754089355,random_individual,2,,3,Selvær,0,261820732,body_mass
500,0.029367000817815334,0.9243839979171753,random_individual,3,,3,Selvær,0,261820732,body_mass
1000,0.11793871909204134,0.9139915704727173,random_individual,3,,3,Selvær,0,261820732,body_mass
2000,0.17068932270581577,0.9052355885505676,random_individual,3,,3,Selvær,0,261820732,body_mass
500,0.058315797857446346,0.923681914806366,random_individual,4,,3,Selvær,0,261820732,body_mass
1000,0.016374784495602892,0.9265493750572205,random_individual,4,,3,Selvær,0,261820732,body_mass
2000,0.12570587697409802,0.9123284816741943,random_individual,4,,3,Selvær,0,261820732,body_mass
500,0.17435362825996628,0.9144472479820251,pevmean_ga,-1,18708.11824405187,3,Selvær,1,1117512274,body_mass
1000,0.2405369175845076,0.8859713673591614,pevmean_ga,-1,18246.713486740202,3,Selvær,1,1117512274,body_mass
2000,0.24295387845027627,0.8959199786186218,pevmean_ga,-1,17632.1498683153,3,Selvær,1,1117512274,body_mass
500,0.11006378629631007,0.9204660058021545,random_individual,0,,3,Selvær,1,1117512274,body_mass
1000,0.10243185038871003,0.9143275022506714,random_individual,0,,3,Selvær,1,1117512274,body_mass
2000,0.1699924064728872,0.9002225995063782,random_individual,0,,3,Selvær,1,1117512274,body_mass
500,0.07418847677733925,0.9182130694389343,random_individual,1,,3,Selvær,1,1117512274,body_mass
1000,0.09060020082140105,0.9146324396133423,random_individual,1,,3,Selvær,1,1117512274,body_mass
2000,0.11163077133386784,0.9123945832252502,random_individual,1,,3,Selvær,1,1117512274,body_mass
500,0.0880698715336006,0.9219534993171692,random_individual,2,,3,Selvær,1,1117512274,body_mass
1000,0.05842540590071703,0.9203975796699524,random_individual,2,,3,Selvær,1,1117512274,body_mass
2000,0.12751820729385582,0.9172500371932983,random_individual,2,,3,Selvær,1,1117512274,body_mass
500,0.024591030733827447,0.9247606992721558,random_individual,3,,3,Selvær,1,1117512274,body_mass
1000,0.011660289319973267,0.927844226360321,random_individual,3,,3,Selvær,1,1117512274,body_mass
2000,0.13512433797103549,0.905945897102356,random_individual,3,,3,Selvær,1,1117512274,body_mass
500,0.06003449753993954,0.9258303046226501,random_individual,4,,3,Selvær,1,1117512274,body_mass
1000,0.06598701698791246,0.9228168725967407,random_individual,4,,3,Selvær,1,1117512274,body_mass
2000,0.08860395069702799,0.9196504950523376,random_individual,4,,3,Selvær,1,1117512274,body_mass
500,0.21806771078886691,0.8998469710350037,pevmean_ga,-1,18702.773799664374,3,Selvær,2,1562338001,body_mass
1000,0.1687518115397242,0.9103398323059082,pevmean_ga,-1,18284.175421382522,3,Selvær,2,1562338001,body_mass
2000,0.20029405664489286,0.9034286737442017,pevmean_ga,-1,17722.641672655118,3,Selvær,2,1562338001,body_mass
500,0.06318979492448229,0.927520751953125,random_individual,0,,3,Selvær,2,1562338001,body_mass
1000,0.014888540137020418,0.9346225261688232,random_individual,0,,3,Selvær,2,1562338001,body_mass
2000,0.09056252852880009,0.9252931475639343,random_individual,0,,3,Selvær,2,1562338001,body_mass
500,0.012514203542274125,0.9494665265083313,random_individual,1,,3,Selvær,2,1562338001,body_mass
1000,0.065183216276929,0.9331760406494141,random_individual,1,,3,Selvær,2,1562338001,body_mass
2000,0.09379389225198419,0.9246540069580078,random_individual,1,,3,Selvær,2,1562338001,body_mass
500,0.14563478392160156,0.911011815071106,random_individual,2,,3,Selvær,2,1562338001,body_mass
1000,0.1102445050173184,0.9160210490226746,random_individual,2,,3,Selvær,2,1562338001,body_mass
2000,0.17405497875921944,0.903380274772644,random_individual,2,,3,Selvær,2,1562338001,body_mass
500,0.14136711870502988,0.9143167734146118,random_individual,3,,3,Selvær,2,1562338001,body_mass
1000,0.1505374700490964,0.907772421836853,random_individual,3,,3,Selvær,2,1562338001,body_mass
2000,0.16845820507679088,0.915204644203186,random_individual,3,,3,Selvær,2,1562338001,body_mass
500,0.036920076266253314,0.9247773289680481,random_individual,4,,3,Selvær,2,1562338001,body_mass
1000,0.1937683756706536,0.9000088572502136,random_individual,4,,3,Selvær,2,1562338001,body_mass
2000,0.2054484970261435,0.893719494342804,random_individual,4,,3,Selvær,2,1562338001,body_mass
500,0.27000132196440174,0.8903171420097351,pevmean_ga,-1,18720.95839837749,3,Selvær,3,980813718,body_mass
1000,0.24807743689673215,0.8833096027374268,pevmean_ga,-1,18309.038621224852,3,Selvær,3,980813718,body_mass
2000,0.1879897749278742,0.9058155417442322,pevmean_ga,-1,17702.12129709997,3,Selvær,3,980813718,body_mass
500,0.1160964105464486,0.916746973991394,random_individual,0,,3,Selvær,3,980813718,body_mass
1000,0.16701910774750459,0.9092766046524048,random_individual,0,,3,Selvær,3,980813718,body_mass
2000,0.2020745207474387,0.8917512893676758,random_individual,0,,3,Selvær,3,980813718,body_mass
500,0.14935215231038135,0.9092219471931458,random_individual,1,,3,Selvær,3,980813718,body_mass
1000,0.14690081004131827,0.9142950177192688,random_individual,1,,3,Selvær,3,980813718,body_mass
2000,0.16217902599231446,0.9059799909591675,random_individual,1,,3,Selvær,3,980813718,body_mass
500,-0.006604934798698253,0.9292011260986328,random_individual,2,,3,Selvær,3,980813718,body_mass
1000,0.08478846701904694,0.9237242341041565,random_individual,2,,3,Selvær,3,980813718,body_mass
2000,0.13579705861882352,0.9138519167900085,random_individual,2,,3,Selvær,3,980813718,body_mass
