trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,3,pevmean_ga,500,0.21421861827719316,0.037432731965721965,0.902543044090271,5
body_mass,3,pevmean_ga,1000,0.20750363328838467,0.056859472220597854,0.8958914637565613,5
body_mass,3,pevmean_ga,2000,0.18894350507162705,0.02883719456382513,0.9053016424179077,5
body_mass,3,pevmean_ga,3000,0.203345937476561,0.028265167774919893,0.8991987943649292,5
body_mass,3,pevmean_ga,5503,0.218658316114165,0.0,0.8971816897392273,5
body_mass,3,random_individual,500,0.07757232822023814,0.043423462715384976,0.9230752897262573,25
body_mass,3,random_individual,1000,0.11207634394311526,0.06182790958761583,0.9161689233779907,25
body_mass,3,random_individual,2000,0.15318686593107525,0.04622246796391008,0.9082653880119324,25
body_mass,3,random_individual,3000,0.17556302393264045,0.03840271093647426,0.9041339516639709,25
body_mass,3,random_individual,5503,0.218658316114165,0.0,0.8971816897392273,5
