n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
4500,0.2161638268844621,0.9026297926902772,pevmean_ga,-1,16785.82499755718,3,Selvær,0,261820732,body_mass
4500,0.2220289466686712,0.8931522965431213,random_individual,0,,3,Selvær,0,261820732,body_mass
4500,0.1893337417403283,0.9066988229751588,random_individual,1,,3,Selvær,0,261820732,body_mass
4500,0.1991336616865308,0.9015734195709229,random_individual,2,,3,Selvær,0,261820732,body_mass
4500,0.2405524805373557,0.8939822316169739,random_individual,3,,3,Selvær,0,261820732,body_mass
4500,0.1879807096680411,0.8994094729423523,random_individual,4,,3,Selvær,0,261820732,body_mass
4500,0.2346101681040132,0.8931174278259277,pevmean_ga,-1,16809.17409261151,3,Selvær,1,1117512274,body_mass
4500,0.219153562754115,0.8937395215034485,random_individual,0,,3,Selvær,1,1117512274,body_mass
4500,0.2164341442621845,0.8991291522979736,random_individual,1,,3,Selvær,1,1117512274,body_mass
4500,0.2110416737852487,0.895732581615448,random_individual,2,,3,Selvær,1,1117512274,body_mass
4500,0.1673203694756477,0.9037896990776062,random_individual,3,,3,Selvær,1,1117512274,body_mass
4500,0.1546176804649083,0.9179700016975404,random_individual,4,,3,Selvær,1,1117512274,body_mass
4500,0.2449753611843375,0.8866114616394043,pevmean_ga,-1,16779.86737924481,3,Selvær,2,1562338001,body_mass
4500,0.1970508453820819,0.9005828499794006,random_individual,0,,3,Selvær,2,1562338001,body_mass
4500,0.1682373957337502,0.9082422852516174,random_individual,1,,3,Selvær,2,1562338001,body_mass
4500,0.218546132227228,0.8949097990989685,random_individual,2,,3,Selvær,2,1562338001,body_mass
4500,0.2456776408109426,0.8864818215370178,random_individual,3,,3,Selvær,2,1562338001,body_mass
4500,0.2292404617496035,0.8887892365455627,random_individual,4,,3,Selvær,2,1562338001,body_mass
4500,0.2419383661020387,0.8890737891197205,pevmean_ga,-1,16782.29687207487,3,Selvær,3,980813718,body_mass
4500,0.2071126793038234,0.8987039923667908,random_individual,0,,3,Selvær,3,980813718,body_mass
4500,0.176374263502685,0.8996918797492981,random_individual,1,,3,Selvær,3,980813718,body_mass
4500,0.2063228487247671,0.8996055126190186,random_individual,2,,3,Selvær,3,980813718,body_mass
4500,0.2187828345861342,0.8979092836380005,random_individual,3,,3,Selvær,3,980813718,body_mass
4500,0.1911558348058782,0.8989893198013306,random_individual,4,,3,Selvær,3,980813718,body_mass
4500,0.1921283304134302,0.9041934609413148,pevmean_ga,-1,16775.374823283964,3,Selvær,4,1849893988,body_mass
4500,0.2077068407061585,0.895659327507019,random_individual,0,,3,Selvær,4,1849893988,body_mass
4500,0.1917958832375442,0.899921715259552,random_individual,1,,3,Selvær,4,1849893988,body_mass
4500,0.2103426226249137,0.8927624821662903,random_individual,2,,3,Selvær,4,1849893988,body_mass
4500,0.211709694432509,0.8980540633201599,random_individual,3,,3,Selvær,4,1849893988,body_mass
4500,0.2320617437798027,0.8894340395927429,random_individual,4,,3,Selvær,4,1849893988,body_mass
1000,0.2007863293191451,0.9053494334220886,pevmean_ga,-1,18096.18247799789,3,Selvær,0,261820732,body_mass
4000,0.234119465253405,0.8872750401496887,pevmean_ga,-1,16896.58179386997,3,Selvær,0,261820732,body_mass
1000,0.1047690064208844,0.918022394180298,random_individual,0,,3,Selvær,0,261820732,body_mass
4000,0.2413403817591224,0.8887016773223877,random_individual,0,,3,Selvær,0,261820732,body_mass
1000,0.1604756036888013,0.904577910900116,random_individual,1,,3,Selvær,0,261820732,body_mass
4000,0.18190078874919,0.9113518595695496,random_individual,1,,3,Selvær,0,261820732,body_mass
1000,0.1717063579887151,0.9059076905250548,random_individual,2,,3,Selvær,0,261820732,body_mass
4000,0.1882080522980075,0.9072059392929076,random_individual,2,,3,Selvær,0,261820732,body_mass
1000,0.1179387190920413,0.9139915704727172,random_individual,3,,3,Selvær,0,261820732,body_mass
4000,0.2454862920238946,0.8945513963699341,random_individual,3,,3,Selvær,0,261820732,body_mass
1000,0.0163747844956028,0.9265493750572203,random_individual,4,,3,Selvær,0,261820732,body_mass
4000,0.1877994105140248,0.897922158241272,random_individual,4,,3,Selvær,0,261820732,body_mass
1000,0.1572497429185016,0.9313297867774964,pevmean_ga,-1,18100.04760737225,3,Selvær,1,1117512274,body_mass
4000,0.2281956628359973,0.8958315253257751,pevmean_ga,-1,16907.093317809617,3,Selvær,1,1117512274,body_mass
1000,0.10243185038871,0.9143275022506714,random_individual,0,,3,Selvær,1,1117512274,body_mass
4000,0.226067774711826,0.8912436962127686,random_individual,0,,3,Selvær,1,1117512274,body_mass
1000,0.090600200821401,0.9146324396133424,random_individual,1,,3,Selvær,1,1117512274,body_mass
4000,0.195177995083571,0.9124661684036256,random_individual,1,,3,Selvær,1,1117512274,body_mass
1000,0.058425405900717,0.9203975796699524,random_individual,2,,3,Selvær,1,1117512274,body_mass
4000,0.2161909286134901,0.893433690071106,random_individual,2,,3,Selvær,1,1117512274,body_mass
1000,0.0116602893199732,0.927844226360321,random_individual,3,,3,Selvær,1,1117512274,body_mass
4000,0.1617789544614549,0.9023152589797974,random_individual,3,,3,Selvær,1,1117512274,body_mass
1000,0.0659870169879124,0.9228168725967408,random_individual,4,,3,Selvær,1,1117512274,body_mass
4000,0.1263571904145355,0.9237449765205384,random_individual,4,,3,Selvær,1,1117512274,body_mass
1000,0.2503513816012706,0.8891054391860962,pevmean_ga,-1,18056.83407648191,3,Selvær,2,1562338001,body_mass
4000,0.2056287424554227,0.9014228582382202,pevmean_ga,-1,16902.947168153984,3,Selvær,2,1562338001,body_mass
1000,0.0148885401370204,0.9346225261688232,random_individual,0,,3,Selvær,2,1562338001,body_mass
4000,0.1603168039509902,0.9112367630004884,random_individual,0,,3,Selvær,2,1562338001,body_mass
1000,0.065183216276929,0.933176040649414,random_individual,1,,3,Selvær,2,1562338001,body_mass
4000,0.1350485767270346,0.9200798273086548,random_individual,1,,3,Selvær,2,1562338001,body_mass
1000,0.1102445050173184,0.9160210490226746,random_individual,2,,3,Selvær,2,1562338001,body_mass
4000,0.2022989033879209,0.8976993560791016,random_individual,2,,3,Selvær,2,1562338001,body_mass
1000,0.1505374700490964,0.907772421836853,random_individual,3,,3,Selvær,2,1562338001,body_mass
4000,0.216505448036869,0.8918535709381104,random_individual,3,,3,Selvær,2,1562338001,body_mass
1000,0.1937683756706536,0.9000088572502136,random_individual,4,,3,Selvær,2,1562338001,body_mass
4000,0.2411264853396316,0.879096508026123,random_individual,4,,3,Selvær,2,1562338001,body_mass
1000,0.2133424345983618,0.8938111066818237,pevmean_ga,-1,18100.211640050697,3,Selvær,3,980813718,body_mass
4000,0.1865915055368794,0.9073508381843568,pevmean_ga,-1,16898.550385573217,3,Selvær,3,980813718,body_mass
1000,0.1670191077475045,0.9092766046524048,random_individual,0,,3,Selvær,3,980813718,body_mass
4000,0.2205968105374418,0.8956171274185181,random_individual,0,,3,Selvær,3,980813718,body_mass
1000,0.1469008100413182,0.9142950177192688,random_individual,1,,3,Selvær,3,980813718,body_mass
4000,0.1716651497807202,0.9015990495681764,random_individual,1,,3,Selvær,3,980813718,body_mass
