trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,3,pevmean_ga,50,0.1546816847917258,0.023714021491233438,0.9640571117401123,5
body_mass,3,pevmean_ga,100,0.18672848944029424,0.031853215511867795,0.9327728629112244,5
body_mass,3,pevmean_ga,250,0.22759433449959937,0.02967987977567402,0.894278347492218,5
body_mass,3,pevmean_ga,500,0.1831321684345176,0.05666916800813539,0.9083556294441223,5
body_mass,3,pevmean_ga,1000,0.19473184523733472,0.04096799446121175,0.905353581905365,5
body_mass,3,pevmean_ga,1500,0.19145611152290054,0.04790532778052731,0.9047805428504944,5
body_mass,3,pevmean_ga,2000,0.20714271963689343,0.024006281666050296,0.8972185611724853,5
body_mass,3,pevmean_ga,2500,0.22869920961353638,0.020934108532728486,0.8922572612762452,5
body_mass,3,pevmean_ga,3000,0.22037774369110422,0.00333877982782338,0.8942774653434753,5
body_mass,3,pevmean_ga,3500,0.22473418022184471,0.013715007450536021,0.892123544216156,5
body_mass,3,pevmean_ga,4000,0.2132558563781072,0.01890723710248436,0.8973653078079223,5
body_mass,3,pevmean_ga,4500,0.22596321053765633,0.021978764613121093,0.8951251864433288,5
body_mass,3,pevmean_ga,5503,0.218658316114165,0.0,0.8971816897392273,5
body_mass,3,random_individual,50,0.03639705117003359,0.06603289772515479,0.953398814201355,25
body_mass,3,random_individual,100,0.018171878423364235,0.0652985989113074,0.9310833120346069,25
body_mass,3,random_individual,250,0.05581235024980821,0.074194941466432,0.9252511286735534,25
body_mass,3,random_individual,500,0.07757232822023814,0.043423462715384976,0.9230752897262573,25
body_mass,3,random_individual,1000,0.11207634394311526,0.06182790958761583,0.9161689233779907,25
body_mass,3,random_individual,1500,0.1359372160556488,0.04936599818139726,0.9121218299865723,25
body_mass,3,random_individual,2000,0.15318686593107525,0.04622246796391008,0.9082653880119324,25
body_mass,3,random_individual,2500,0.1651456156945125,0.03476528126825668,0.9061719536781311,25
body_mass,3,random_individual,3000,0.17556302393264045,0.03840271093647426,0.9041339516639709,25
body_mass,3,random_individual,3500,0.193649961189516,0.035340751870840736,0.9006323647499085,25
body_mass,3,random_individual,4000,0.19773576360851933,0.031802577474756406,0.900084195137024,25
body_mass,3,random_individual,4500,0.20478858770603414,0.022806562429380752,0.8981965923309326,25
body_mass,3,random_individual,5503,0.218658316114165,0.0,0.8971816897392273,5
