n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1000,0.2500897289891766,1.5510438680648804,pevmean_ga,-1,17836.665394490596,6,Indre Kvarøy,2,441296936,body_mass
4000,0.2876549396161526,1.5006049871444702,pevmean_ga,-1,16698.54287812772,6,Indre Kvarøy,2,441296936,body_mass
1000,0.17607857316128606,1.5716923475265503,random_individual,0,,6,Indre Kvarøy,2,441296936,body_mass
4000,0.32098131224569176,1.488978385925293,random_individual,0,,6,Indre Kvarøy,2,441296936,body_mass
1000,0.18797451503400534,1.5630192756652832,random_individual,1,,6,Indre Kvarøy,2,441296936,body_mass
4000,0.31180526585227597,1.494286298751831,random_individual,1,,6,Indre Kvarøy,2,441296936,body_mass
1000,0.12582250662760266,1.5740641355514526,random_individual,2,,6,Indre Kvarøy,2,441296936,body_mass
4000,0.3091527667649927,1.4913831949234009,random_individual,2,,6,Indre Kvarøy,2,441296936,body_mass
1000,0.19461379827666173,1.557546854019165,random_individual,3,,6,Indre Kvarøy,2,441296936,body_mass
4000,0.30533887647159175,1.5031322240829468,random_individual,3,,6,Indre Kvarøy,2,441296936,body_mass
1000,0.1823082538519675,1.5653742551803589,random_individual,4,,6,Indre Kvarøy,2,441296936,body_mass
4000,0.29865803533646856,1.4989912509918213,random_individual,4,,6,Indre Kvarøy,2,441296936,body_mass
