trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,4,pevmean_ga,50,0.0703561266996706,,1.485733151435852,1
body_mass,4,pevmean_ga,100,0.1334780146592091,,1.497644305229187,1
body_mass,4,pevmean_ga,250,0.0326280290072524,,1.493183970451355,1
body_mass,4,pevmean_ga,500,0.1258935390396852,,1.475877285003662,1
body_mass,4,pevmean_ga,2000,0.1249648762541599,,1.4644405841827393,1
body_mass,4,pevmean_ga,3500,0.1187165536143422,,1.4656018018722534,1
body_mass,4,pevmean_ga,5139,0.0883663281535531,,1.477239012718201,1
body_mass,4,random_individual,50,0.012048829467011002,0.09081512650890786,1.4966838121414185,5
body_mass,4,random_individual,100,0.01756555488345324,0.06551525129537393,1.4977373361587525,5
body_mass,4,random_individual,250,0.035924887409306376,0.08206351554176025,1.4953322887420655,5
body_mass,4,random_individual,500,0.053376037579167,0.06820148351709092,1.491511344909668,5
body_mass,4,random_individual,2000,0.06633330590534267,0.0449663638076697,1.485592293739319,5
body_mass,4,random_individual,3500,0.07803949531006193,0.04847737726775237,1.482285499572754,5
body_mass,4,random_individual,5139,0.0883663281535531,,1.477239012718201,1
