n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
5578,0.2306614664451909,1.3017499446868896,pevmean_ga,-2,50314.3792093171,0,Nesøy,0,744452614,body_mass
5578,0.2306614664451909,1.3017499446868896,random_individual,-2,50314.3792093171,0,Nesøy,0,744452614,body_mass
500,0.288376148223295,1.2442718744277954,pevmean_ga,-1,58500.67071678761,0,Nesøy,0,744452614,body_mass
4500,0.1991794622458564,1.3100396394729614,pevmean_ga,-1,51190.237402107545,0,Nesøy,0,744452614,body_mass
500,0.0713961533339861,1.4863170385360718,pevmean_ga,-1,59181.19535206994,4,Gjerøy,0,1623418790,body_mass
1000,0.1148940231468595,1.4744879007339478,pevmean_ga,-1,57864.36648018279,4,Gjerøy,0,1623418790,body_mass
3000,0.0782889550588667,1.493391752243042,pevmean_ga,-1,54169.60139532448,4,Gjerøy,0,1623418790,body_mass
2500,0.283019867822498,0.9029529690742492,pevmean_ga,-1,52488.9002221494,8,Lovund,0,1690148911,body_mass
4000,0.3800921507927881,0.8424302935600281,pevmean_ga,-1,50317.84254019861,8,Lovund,0,1690148911,body_mass
2000,0.1362710527776101,1.2139493227005005,pevmean_ga,-1,60455.11942703958,12,Southern 2,0,1717623462,body_mass
5605,0.4427758176777955,1.5016508102416992,pevmean_ga,-2,48691.32850735934,1,Myken,0,1714262082,body_mass
5605,0.4427758176777955,1.5016508102416992,random_individual,-2,48691.32850735934,1,Myken,0,1714262082,body_mass
500,0.2026093247381183,1.705061674118042,pevmean_ga,-1,57609.32036003139,1,Myken,0,1714262082,body_mass
4500,0.435907041207152,1.523457407951355,pevmean_ga,-1,49670.94516262388,1,Myken,0,1714262082,body_mass
500,0.1124605190527888,1.605622410774231,pevmean_ga,-1,59756.508679528095,5,Hestmannøy,0,713757009,body_mass
1000,0.0912124842040012,1.6038016080856323,pevmean_ga,-1,58366.94759808464,5,Hestmannøy,0,713757009,body_mass
3000,0.1694716901720015,1.5551866292953491,pevmean_ga,-1,54447.16394140338,5,Hestmannøy,0,713757009,body_mass
2500,0.1594730674656183,0.9743800163269044,pevmean_ga,-1,52476.39213379292,9,Sleneset,0,201727611,body_mass
4000,0.1623006337620838,0.97584867477417,pevmean_ga,-1,50210.42755874771,9,Sleneset,0,201727611,body_mass
2000,0.1413381358793332,1.002833127975464,pevmean_ga,-1,62302.18171765757,13,Southern 3,0,343987298,body_mass
5405,0.1558373708452569,1.2322531938552856,pevmean_ga,-2,49965.231695627815,2,Træna,0,405385771,body_mass
5405,0.1558373708452569,1.2322531938552856,random_individual,-2,49965.231695627815,2,Træna,0,405385771,body_mass
500,0.1986730767074223,1.191330075263977,pevmean_ga,-1,59183.68204318414,2,Træna,0,405385771,body_mass
4500,0.1635334341326579,1.227297067642212,pevmean_ga,-1,50774.41236977643,2,Træna,0,405385771,body_mass
500,0.1053179247475506,1.5699905157089231,pevmean_ga,-1,57880.19134370175,6,Indre Kvarøy,0,2036077539,body_mass
