n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
5578,0.23066146644519098,1.3017499446868896,pevmean_ga,-2,50314.3792093171,0,Nesøy,0,744452614,body_mass
5578,0.23066146644519098,1.3017499446868896,random_individual,-2,50314.3792093171,0,Nesøy,0,744452614,body_mass
500,0.28837614822329505,1.2442718744277954,pevmean_ga,-1,58500.67071678761,0,Nesøy,0,744452614,body_mass
4500,0.19917946224585645,1.3100396394729614,pevmean_ga,-1,51190.237402107545,0,Nesøy,0,744452614,body_mass
500,0.0713961533339861,1.4863170385360718,pevmean_ga,-1,59181.19535206994,4,Gjerøy,0,1623418790,body_mass
1000,0.11489402314685958,1.4744879007339478,pevmean_ga,-1,57864.36648018279,4,Gjerøy,0,1623418790,body_mass
3000,0.07828895505886674,1.493391752243042,pevmean_ga,-1,54169.60139532448,4,Gjerøy,0,1623418790,body_mass
2500,0.283019867822498,0.9029529690742493,pevmean_ga,-1,52488.9002221494,8,Lovund,0,1690148911,body_mass
4000,0.38009215079278813,0.8424302935600281,pevmean_ga,-1,50317.84254019861,8,Lovund,0,1690148911,body_mass
2000,0.13627105277761017,1.2139493227005005,pevmean_ga,-1,60455.11942703958,12,Southern 2,0,1717623462,body_mass
