n_removed,n_islands_remaining,corr_eval,mse_adj,method,order_seed,target_island
0,15,0.20050308108329773,1.4846372604370117,shapley,-1,0
1,14,0.2241102010011673,1.477444052696228,shapley,-1,0
2,13,0.25927799940109253,1.4192014932632446,shapley,-1,0
3,12,0.3152720630168915,1.3844178915023804,shapley,-1,0
4,11,0.32043081521987915,1.3487011194229126,shapley,-1,0
5,10,0.3010968863964081,1.351927638053894,shapley,-1,0
6,9,0.33433109521865845,1.3688716888427734,shapley,-1,0
7,8,0.3335947096347809,1.3490276336669922,shapley,-1,0
8,7,0.3358709514141083,1.3301057815551758,shapley,-1,0
9,6,0.31022611260414124,1.3876537084579468,shapley,-1,0
10,5,0.3013736605644226,1.3849178552627563,shapley,-1,0
11,4,0.28918004035949707,1.3825405836105347,shapley,-1,0
12,3,0.29881277680397034,1.3843969106674194,shapley,-1,0
13,2,0.2524113357067108,1.360300064086914,shapley,-1,0
14,1,0.21907047927379608,1.3933963775634766,shapley,-1,0
0,15,0.20050308108329773,1.4846372604370117,random,0,0
1,14,0.25117039680480957,1.43405020236969,random,0,0
2,13,0.23587626218795776,1.4217017889022827,random,0,0
3,12,0.27560144662857056,1.4334412813186646,random,0,0
4,11,0.24912501871585846,1.4338022470474243,random,0,0
5,10,0.23346006870269775,1.3946374654769897,random,0,0
6,9,0.2015698105096817,1.4688743352890015,random,0,0
7,8,0.16937662661075592,1.4954296350479126,random,0,0
8,7,0.015648897737264633,1.4466251134872437,random,0,0
9,6,0.014947363175451756,1.4638338088989258,random,0,0
10,5,0.01578707993030548,1.460860252380371,random,0,0
11,4,-0.04078679531812668,1.4375604391098022,random,0,0
12,3,0.06396748125553131,1.3799020051956177,random,0,0
13,2,0.08963540196418762,1.3552337884902954,random,0,0
14,1,0.016368335112929344,1.3650422096252441,random,0,0
0,15,0.20050308108329773,1.4846372604370117,random,1,0
1,14,0.15690462291240692,1.5482501983642578,random,1,0
2,13,0.15451262891292572,1.5853652954101562,random,1,0
3,12,0.17598535120487213,1.5667997598648071,random,1,0
4,11,0.1885892152786255,1.5391626358032227,random,1,0
5,10,0.19608274102210999,1.5009275674819946,random,1,0
6,9,0.19041123986244202,1.5527757406234741,random,1,0
7,8,0.19949068129062653,1.591756820678711,random,1,0
8,7,0.21890053153038025,1.5253061056137085,random,1,0
9,6,0.2139209508895874,1.492172360420227,random,1,0
10,5,0.24598698318004608,1.4709540605545044,random,1,0
11,4,0.2784528136253357,1.4849014282226562,random,1,0
12,3,0.18392960727214813,1.4444293975830078,random,1,0
13,2,0.1622728556394577,1.4241905212402344,random,1,0
14,1,-0.17586153745651245,1.426190972328186,random,1,0
0,15,0.20050308108329773,1.4846372604370117,random,2,0
1,14,0.1979377120733261,1.5160290002822876,random,2,0
2,13,0.18664132058620453,1.4749521017074585,random,2,0
3,12,0.17563305795192719,1.443413257598877,random,2,0
4,11,0.16332758963108063,1.488481879234314,random,2,0
5,10,0.14819276332855225,1.5147733688354492,random,2,0
6,9,0.17633600533008575,1.513741135597229,random,2,0
7,8,0.22001489996910095,1.5080374479293823,random,2,0
8,7,0.19977964460849762,1.463962435722351,random,2,0
9,6,0.2582911550998688,1.4377418756484985,random,2,0
10,5,0.18519149720668793,1.4020390510559082,random,2,0
11,4,0.2168176919221878,1.3522697687149048,random,2,0
12,3,-0.035875651985406876,1.3924521207809448,random,2,0
13,2,-0.08102139085531235,1.4152765274047852,random,2,0
14,1,-0.08892770856618881,1.4248605966567993,random,2,0
0,15,0.20050308108329773,1.4846372604370117,random,3,0
1,14,0.2215864062309265,1.489699363708496,random,3,0
2,13,0.21262532472610474,1.4632763862609863,random,3,0
3,12,0.27560144662857056,1.4334412813186646,random,3,0
4,11,0.302017480134964,1.396504521369934,random,3,0
5,10,0.270660936832428,1.4058870077133179,random,3,0
6,9,0.3049233853816986,1.3637911081314087,random,3,0
7,8,0.26132574677467346,1.412232756614685,random,3,0
8,7,0.2497640997171402,1.426997184753418,random,3,0
9,6,0.2593960165977478,1.4308208227157593,random,3,0
10,5,0.25594010949134827,1.4254059791564941,random,3,0
11,4,0.15126396715641022,1.4053559303283691,random,3,0
12,3,0.12374140322208405,1.4378619194030762,random,3,0
13,2,0.11277107894420624,1.4576449394226074,random,3,0
14,1,-0.20753981173038483,1.465040683746338,random,3,0
0,15,0.20050308108329773,1.4846372604370117,random,4,0
1,14,0.1975765973329544,1.4651247262954712,random,4,0
2,13,0.16966474056243896,1.5187736749649048,random,4,0
3,12,0.20790907740592957,1.5204142332077026,random,4,0
4,11,0.20939849317073822,1.5156375169754028,random,4,0
5,10,0.09156659990549088,1.5551315546035767,random,4,0
6,9,0.09479823708534241,1.5174468755722046,random,4,0
7,8,0.08649066090583801,1.5320991277694702,random,4,0
8,7,0.07841269671916962,1.5042625665664673,random,4,0
