n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,356,0.01423217449337244,1.4108442068099976,shapley_total,-1,0
2,448,0.045743294060230255,1.429612636566162,shapley_total,-1,0
3,740,-0.013767416588962078,1.4516605138778687,shapley_total,-1,0
4,906,0.008949978277087212,1.428358554840088,shapley_total,-1,0
5,1079,0.02401043102145195,1.404112458229065,shapley_total,-1,0
6,1663,0.07411330193281174,1.381672978401184,shapley_total,-1,0
7,2246,0.03463129326701164,1.40518057346344,shapley_total,-1,0
8,2643,0.013023796491324902,1.4323660135269165,shapley_total,-1,0
9,3721,0.21105171740055084,1.3866496086120605,shapley_total,-1,0
10,3879,0.19506657123565674,1.4187015295028687,shapley_total,-1,0
11,4073,0.20938685536384583,1.3912547826766968,shapley_total,-1,0
12,4559,0.2047104686498642,1.4129482507705688,shapley_total,-1,0
13,4761,0.16498509049415588,1.4421600103378296,shapley_total,-1,0
14,5020,0.1388750821352005,1.470454216003418,shapley_total,-1,0
15,5578,0.20050308108329773,1.4846372604370117,shapley_total,-1,0
1,92,-0.017182474955916405,1.4065948724746704,shapley_mean,-1,0
2,448,0.045743294060230255,1.429612636566162,shapley_mean,-1,0
3,614,0.06400030851364136,1.4024405479431152,shapley_mean,-1,0
4,906,0.008949978277087212,1.428358554840088,shapley_mean,-1,0
5,1079,0.02401043102145195,1.404112458229065,shapley_mean,-1,0
6,1663,0.07411330193281174,1.381672978401184,shapley_mean,-1,0
7,2246,0.03463129326701164,1.40518057346344,shapley_mean,-1,0
8,2643,0.013023796491324902,1.4323660135269165,shapley_mean,-1,0
9,3721,0.21105171740055084,1.3866496086120605,shapley_mean,-1,0
10,3879,0.19506657123565674,1.4187015295028687,shapley_mean,-1,0
11,4365,0.1678282618522644,1.4544801712036133,shapley_mean,-1,0
12,4923,0.22501903772354126,1.501334309577942,shapley_mean,-1,0
13,5117,0.22945743799209595,1.4569072723388672,shapley_mean,-1,0
14,5319,0.2241102010011673,1.477444052696228,shapley_mean,-1,0
15,5578,0.20050308108329773,1.4846372604370117,shapley_mean,-1,0
1,292,-0.11078884452581406,1.4153276681900024,random_island,0,0
2,450,-0.132704958319664,1.438673496246338,random_island,0,0
3,1033,-0.1728515625,1.4810432195663452,random_island,0,0
4,1430,-0.10018973797559738,1.5272170305252075,random_island,0,0
5,1988,0.16165974736213684,1.480756402015686,random_island,0,0
6,2572,0.13680532574653625,1.4911967515945435,random_island,0,0
7,2766,0.12973128259181976,1.4588170051574707,random_island,0,0
8,3844,0.239310622215271,1.4711459875106812,random_island,0,0
9,4017,0.24498246610164642,1.3941131830215454,random_island,0,0
10,4219,0.23923547565937042,1.4054702520370483,random_island,0,0
11,4575,0.25598272681236267,1.420089840888977,random_island,0,0
12,4834,0.20813648402690887,1.4809118509292603,random_island,0,0
13,4926,0.17522773146629333,1.508804202079773,random_island,0,0
14,5412,0.15690462291240692,1.5482501983642578,random_island,0,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,0,0
1,166,0.016368335112929344,1.3650422096252441,random_island,1,0
2,339,0.09028389304876328,1.3318036794662476,random_island,1,0
3,497,0.06061170995235443,1.351656436920166,random_island,1,0
4,853,0.0630328431725502,1.3752551078796387,random_island,1,0
5,1339,0.08449695259332657,1.3678346872329712,random_island,1,0
6,1923,0.151285320520401,1.311132550239563,random_island,1,0
7,2117,0.18078860640525818,1.2907265424728394,random_island,1,0
8,2209,0.1458495408296585,1.3332685232162476,random_island,1,0
9,2411,0.1439131647348404,1.3345876932144165,random_island,1,0
10,2670,0.05092265456914902,1.4336795806884766,random_island,1,0
11,2962,-0.023202527314424515,1.4851611852645874,random_island,1,0
