n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
0,15,5578,0.20050308108329773,1.4846372604370117,shapley_total,-1,0
1,14,5020,0.1388750821352005,1.470454216003418,shapley_total,-1,0
2,13,4761,0.16498509049415588,1.4421600103378296,shapley_total,-1,0
3,12,4559,0.2047104686498642,1.4129482507705688,shapley_total,-1,0
4,11,4073,0.20938685536384583,1.3912547826766968,shapley_total,-1,0
5,10,3879,0.19506657123565674,1.4187015295028687,shapley_total,-1,0
6,9,3721,0.21105171740055084,1.3866496086120605,shapley_total,-1,0
7,8,2643,0.013023796491324902,1.4323660135269165,shapley_total,-1,0
8,7,2246,0.03463129326701164,1.40518057346344,shapley_total,-1,0
9,6,1663,0.07411330193281174,1.381672978401184,shapley_total,-1,0
10,5,1079,0.02401043102145195,1.404112458229065,shapley_total,-1,0
11,4,906,0.008949978277087212,1.428358554840088,shapley_total,-1,0
12,3,740,-0.013767416588962078,1.4516605138778687,shapley_total,-1,0
13,2,448,0.045743294060230255,1.429612636566162,shapley_total,-1,0
14,1,356,0.01423217449337244,1.4108442068099976,shapley_total,-1,0
0,15,5578,0.20050308108329773,1.4846372604370117,shapley_mean,-1,0
1,14,5319,0.2241102010011673,1.477444052696228,shapley_mean,-1,0
2,13,5117,0.22945743799209595,1.4569072723388672,shapley_mean,-1,0
3,12,4923,0.22501903772354126,1.501334309577942,shapley_mean,-1,0
4,11,4365,0.1678282618522644,1.4544801712036133,shapley_mean,-1,0
5,10,3879,0.19506657123565674,1.4187015295028687,shapley_mean,-1,0
6,9,3721,0.21105171740055084,1.3866496086120605,shapley_mean,-1,0
7,8,2643,0.013023796491324902,1.4323660135269165,shapley_mean,-1,0
8,7,2246,0.03463129326701164,1.40518057346344,shapley_mean,-1,0
9,6,1663,0.07411330193281174,1.381672978401184,shapley_mean,-1,0
10,5,1079,0.02401043102145195,1.404112458229065,shapley_mean,-1,0
11,4,906,0.008949978277087212,1.428358554840088,shapley_mean,-1,0
12,3,614,0.06400030851364136,1.4024405479431152,shapley_mean,-1,0
13,2,448,0.045743294060230255,1.429612636566162,shapley_mean,-1,0
14,1,92,-0.017182474955916405,1.4065948724746704,shapley_mean,-1,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,0,0
1,14,5286,0.25117039680480957,1.43405020236969,random_island,0,0
2,13,5128,0.23587626218795776,1.4217017889022827,random_island,0,0
3,12,4545,0.27560144662857056,1.4334412813186646,random_island,0,0
4,11,4148,0.24912501871585846,1.4338022470474243,random_island,0,0
5,10,3590,0.23346006870269775,1.3946374654769897,random_island,0,0
6,9,3006,0.2015698105096817,1.4688743352890015,random_island,0,0
7,8,2812,0.16937662661075592,1.4954296350479126,random_island,0,0
8,7,1734,0.015648897737264633,1.4466251134872437,random_island,0,0
9,6,1561,0.014947363175451756,1.4638338088989258,random_island,0,0
10,5,1359,0.01578707993030548,1.460860252380371,random_island,0,0
11,4,1003,-0.04078679531812668,1.4375604391098022,random_island,0,0
12,3,744,0.06396748125553131,1.3799020051956177,random_island,0,0
13,2,652,0.08963540196418762,1.3552337884902954,random_island,0,0
14,1,166,0.016368335112929344,1.3650422096252441,random_island,0,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,1,0
1,14,5412,0.15690462291240692,1.5482501983642578,random_island,1,0
2,13,5239,0.15451262891292572,1.5853652954101562,random_island,1,0
3,12,5081,0.17598535120487213,1.5667997598648071,random_island,1,0
4,11,4725,0.1885892152786255,1.5391626358032227,random_island,1,0
