target_island,repeat,split_seed,source_island,source_island_name,rank,phi_per_individual
0,0,14,9,Sleneset,1,0.000400140405357647
0,0,14,3,Selvær,2,0.00021984207530304327
0,0,14,2,Træna,3,0.00018266396156882178
0,0,14,15,Southern 5,4,0.00017794983940992023
0,0,14,5,Hestmannøy,5,0.0001721040307715231
0,0,14,6,Indre Kvarøy,6,6.942806786365724e-05
0,0,14,13,Southern 3,7,5.787430771256554e-05
0,0,14,1,Myken,8,4.589494884662006e-05
0,0,14,12,Southern 2,9,3.9327813908270084e-05
0,0,14,4,Gjerøy,10,2.7572433380777262e-05
0,0,14,11,Southern 1,11,6.199285138788191e-06
0,0,14,14,Southern 4,12,-6.931954266603101e-06
0,0,14,10,Aldra,13,-1.5107773895768417e-05
0,0,14,8,Lovund,14,-0.000117666527475643
0,0,14,7,Onøy og Lurøy,15,-0.0003554721756633299
0,1,1014,3,Selvær,1,0.00038419979547640095
0,1,1014,9,Sleneset,2,0.00031687904202592484
0,1,1014,1,Myken,3,0.00029229550703388193
0,1,1014,4,Gjerøy,4,0.00026431069859573917
0,1,1014,6,Indre Kvarøy,5,0.00017630601971504396
0,1,1014,12,Southern 2,6,0.0001734764059484756
0,1,1014,11,Southern 1,7,0.00016625985777960837
0,1,1014,15,Southern 5,8,0.00013435438060948606
0,1,1014,8,Lovund,9,7.24951026348185e-05
0,1,1014,14,Southern 4,10,2.6077175811852937e-06
0,1,1014,5,Hestmannøy,11,-6.139211586446731e-05
0,1,1014,13,Southern 3,12,-8.660414182797891e-05
0,1,1014,10,Aldra,13,-0.00013686397161356286
0,1,1014,2,Træna,14,-0.00017143575353420354
0,1,1014,7,Onøy og Lurøy,15,-0.0006644771743608948
0,2,2014,1,Myken,1,0.0005376648269188793
0,2,2014,9,Sleneset,2,0.00043788598850369453
0,2,2014,10,Aldra,3,0.00034456633279003157
0,2,2014,3,Selvær,4,0.00015558338311222412
0,2,2014,13,Southern 3,5,0.00011860493280325238
0,2,2014,6,Indre Kvarøy,6,6.965356146435388e-05
0,2,2014,5,Hestmannøy,7,6.475736419903546e-05
0,2,2014,14,Southern 4,8,4.540801971936177e-05
0,2,2014,15,Southern 5,9,1.1718842099503717e-05
0,2,2014,11,Southern 1,10,5.772009836973089e-06
0,2,2014,12,Southern 2,11,-1.3704333449678698e-05
0,2,2014,8,Lovund,12,-3.985070941757552e-05
0,2,2014,4,Gjerøy,13,-6.438520416537279e-05
0,2,2014,2,Træna,14,-0.00011129097387909072
0,2,2014,7,Onøy og Lurøy,15,-0.0006560288076594645
0,3,3014,5,Hestmannøy,1,0.0004006858906883172
0,3,3014,10,Aldra,2,0.00031466300120157315
0,3,3014,9,Sleneset,3,0.00012346400882128671
0,3,3014,13,Southern 3,4,0.00011707534040770915
0,3,3014,3,Selvær,5,0.00010625619792917111
0,3,3014,11,Southern 1,6,5.581262289813207e-05
0,3,3014,14,Southern 4,7,4.186647313689131e-05
0,3,3014,2,Træna,8,3.71259474514486e-05
0,3,3014,7,Onøy og Lurøy,9,2.708407226791713e-05
0,3,3014,15,Southern 5,10,-2.411988720592886e-05
0,3,3014,6,Indre Kvarøy,11,-8.05683757094771e-05
0,3,3014,4,Gjerøy,12,-8.592007733467552e-05
0,3,3014,12,Southern 2,13,-0.00013783147901071409
0,3,3014,8,Lovund,14,-0.0002231042414367246
0,3,3014,1,Myken,15,-0.0002556665134919888
0,4,4014,5,Hestmannøy,1,0.00032514678335926586
0,4,4014,4,Gjerøy,2,0.00021207679211626023
0,4,4014,11,Southern 1,3,0.0001989801712238308
0,4,4014,10,Aldra,4,0.00013362285485921826
0,4,4014,3,Selvær,5,9.591531070890193e-05
0,4,4014,13,Southern 3,6,9.167386108869049e-05
0,4,4014,12,Southern 2,7,1.4874796085153479e-05
0,4,4014,6,Indre Kvarøy,8,-1.9542203321425096e-05
0,4,4014,14,Southern 4,9,-6.238131030796118e-05
0,4,4014,9,Sleneset,10,-6.8911046479795e-05
0,4,4014,7,Onøy og Lurøy,11,-0.00013814288322745488
0,4,4014,2,Træna,12,-0.00021375635572452392
0,4,4014,15,Southern 5,13,-0.0002593332585200926
0,4,4014,8,Lovund,14,-0.0007390895780489804
0,4,4014,1,Myken,15,-0.0008287451584297029
