n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
0,15,5578,0.049438998103141785,1.1863778829574585,shapley_mean,-1,0,0,14
1,14,5319,0.22673073410987854,1.2939685583114624,shapley_mean,-1,0,0,14
2,13,5161,0.06880322098731995,1.1827046871185303,shapley_mean,-1,0,0,14
3,12,4988,0.1054234653711319,1.1786062717437744,shapley_mean,-1,0,0,14
4,11,4502,0.04430769383907318,1.1863503456115723,shapley_mean,-1,0,0,14
5,10,3919,0.03163936361670494,1.1892191171646118,shapley_mean,-1,0,0,14
6,9,3361,0.20759859681129456,1.324257254600525,shapley_mean,-1,0,0,14
7,8,2964,0.15590950846672058,1.34200918674469,shapley_mean,-1,0,0,14
8,7,2872,0.16894926130771637,1.2886067628860474,shapley_mean,-1,0,0,14
9,6,2288,0.016510669142007828,1.1906706094741821,shapley_mean,-1,0,0,14
10,5,1932,0.1870630979537964,1.3010756969451904,shapley_mean,-1,0,0,14
11,4,854,0.018159503117203712,1.2304173707962036,shapley_mean,-1,0,0,14
12,3,652,0.03738737851381302,1.2153366804122925,shapley_mean,-1,0,0,14
13,2,360,0.08144621551036835,1.1821061372756958,shapley_mean,-1,0,0,14
14,1,166,0.09251034259796143,1.17328679561615,shapley_mean,-1,0,0,14
0,15,5578,0.10812082141637802,1.173094391822815,random_individual,0,0,0,14
1,14,5319,-0.11436773091554642,1.1897997856140137,random_individual,0,0,0,14
2,13,5161,0.21188348531723022,1.310106873512268,random_individual,0,0,0,14
3,12,4988,0.23697113990783691,1.2577155828475952,random_individual,0,0,0,14
4,11,4502,-0.16100484132766724,1.1972190141677856,random_individual,0,0,0,14
5,10,3919,0.16583868861198425,1.155847191810608,random_individual,0,0,0,14
6,9,3361,0.23808614909648895,1.1533393859863281,random_individual,0,0,0,14
7,8,2964,0.1656845510005951,1.1666373014450073,random_individual,0,0,0,14
8,7,2872,0.16473138332366943,1.1777793169021606,random_individual,0,0,0,14
9,6,2288,0.11970844864845276,1.1696197986602783,random_individual,0,0,0,14
10,5,1932,0.0555601567029953,1.1640053987503052,random_individual,0,0,0,14
11,4,854,0.0410386398434639,1.1709990501403809,random_individual,0,0,0,14
12,3,652,0.17641396820545197,1.156962275505066,random_individual,0,0,0,14
13,2,360,0.09850084036588669,1.1686440706253052,random_individual,0,0,0,14
14,1,166,0.07476677000522614,1.1676665544509888,random_individual,0,0,0,14
0,15,5578,0.3664136230945587,1.1337429285049438,random_individual,1,0,0,14
1,14,5319,0.2353760153055191,1.287773847579956,random_individual,1,0,0,14
2,13,5161,0.0015402388526126742,1.1686853170394897,random_individual,1,0,0,14
3,12,4988,0.006769605912268162,1.1730735301971436,random_individual,1,0,0,14
4,11,4502,0.12522628903388977,1.1700425148010254,random_individual,1,0,0,14
5,10,3919,0.20763565599918365,1.2743641138076782,random_individual,1,0,0,14
6,9,3361,0.04976522549986839,1.1654088497161865,random_individual,1,0,0,14
7,8,2964,-0.05997856706380844,1.1789613962173462,random_individual,1,0,0,14
8,7,2872,0.16763412952423096,1.163913369178772,random_individual,1,0,0,14
9,6,2288,0.24606801569461823,1.1664410829544067,random_individual,1,0,0,14
10,5,1932,0.3112863302230835,1.1592450141906738,random_individual,1,0,0,14
11,4,854,-0.01579700969159603,1.176450252532959,random_individual,1,0,0,14
12,3,652,0.21398381888866425,1.1491742134094238,random_individual,1,0,0,14
13,2,360,0.2689458131790161,1.148457646369934,random_individual,1,0,0,14
14,1,166,0.2456904798746109,1.1682953834533691,random_individual,1,0,0,14
0,15,5578,0.10267917066812515,1.156181812286377,random_individual,2,0,0,14
1,14,5319,0.13542264699935913,1.1540194749832153,random_individual,2,0,0,14
2,13,5161,0.21429792046546936,1.31623375415802,random_individual,2,0,0,14
3,12,4988,0.27430346608161926,1.2300609350204468,random_individual,2,0,0,14
4,11,4502,0.21078814566135406,1.3333584070205688,random_individual,2,0,0,14
5,10,3919,0.061144523322582245,1.1627646684646606,random_individual,2,0,0,14
6,9,3361,0.034038085490465164,1.1692711114883423,random_individual,2,0,0,14
7,8,2964,0.018634604290127754,1.1774749755859375,random_individual,2,0,0,14
8,7,2872,0.21772457659244537,1.1547869443893433,random_individual,2,0,0,14
9,6,2288,0.10122012346982956,1.1640886068344116,random_individual,2,0,0,14
10,5,1932,0.3007737994194031,1.132895588874817,random_individual,2,0,0,14
11,4,854,0.2306111752986908,1.1129287481307983,random_individual,2,0,0,14
12,3,652,0.2797411382198334,1.0879813432693481,random_individual,2,0,0,14
13,2,360,-0.08845290541648865,1.188029408454895,random_individual,2,0,0,14
14,1,166,-0.17105166614055634,1.2165712118148804,random_individual,2,0,0,14
0,15,5578,0.3058897852897644,1.1248955726623535,random_individual,3,0,0,14
1,14,5319,0.19601166248321533,1.3748141527175903,random_individual,3,0,0,14
2,13,5161,0.22701989114284515,1.1361083984375,random_individual,3,0,0,14
3,12,4988,0.3325285017490387,1.1062431335449219,random_individual,3,0,0,14
4,11,4502,0.25105535984039307,1.144779086112976,random_individual,3,0,0,14
5,10,3919,0.10471878200769424,1.172911286354065,random_individual,3,0,0,14
6,9,3361,0.21771380305290222,1.1536797285079956,random_individual,3,0,0,14
7,8,2964,0.1210084855556488,1.1781772375106812,random_individual,3,0,0,14
8,7,2872,0.05612226948142052,1.1655927896499634,random_individual,3,0,0,14
9,6,2288,0.14919649064540863,1.169373869895935,random_individual,3,0,0,14
10,5,1932,0.16928981244564056,1.1465598344802856,random_individual,3,0,0,14
11,4,854,0.18155328929424286,1.182721734046936,random_individual,3,0,0,14
12,3,652,0.11352930963039398,1.1665501594543457,random_individual,3,0,0,14
13,2,360,0.029163576662540436,1.195641040802002,random_individual,3,0,0,14
14,1,166,0.05820584297180176,1.1933796405792236,random_individual,3,0,0,14
0,15,5578,0.26712390780448914,1.1372493505477905,random_individual,4,0,0,14
1,14,5319,0.05665571242570877,1.164498209953308,random_individual,4,0,0,14
2,13,5161,-0.03024091012775898,1.1956614255905151,random_individual,4,0,0,14
3,12,4988,0.22722244262695312,1.1474449634552002,random_individual,4,0,0,14
4,11,4502,0.18480923771858215,1.1625480651855469,random_individual,4,0,0,14
5,10,3919,0.11078955233097076,1.171055793762207,random_individual,4,0,0,14
6,9,3361,0.17788714170455933,1.153437852859497,random_individual,4,0,0,14
7,8,2964,0.08376087248325348,1.1800674200057983,random_individual,4,0,0,14
8,7,2872,0.17930231988430023,1.1672378778457642,random_individual,4,0,0,14
