n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,194,0.1367313265800476,1.3653764724731445,shapley_mean,-1,0
2,360,0.14656946063041687,1.357817530632019,shapley_mean,-1,0
3,452,0.15255150198936462,1.3463226556777954,shapley_mean,-1,0
4,1010,0.3296813368797302,1.3204213380813599,shapley_mean,-1,0
5,1366,0.32298022508621216,1.3202145099639893,shapley_mean,-1,0
6,1763,0.32163307070732117,1.3168727159500122,shapley_mean,-1,0
7,2346,0.2980310022830963,1.3242799043655396,shapley_mean,-1,0
8,2548,0.2949245572090149,1.3238401412963867,shapley_mean,-1,0
9,2706,0.3097139596939087,1.323245882987976,shapley_mean,-1,0
10,3192,0.3052919805049896,1.322858214378357,shapley_mean,-1,0
11,4270,0.28159186244010925,1.3385614156723022,shapley_mean,-1,0
12,4854,0.2805565893650055,1.3340997695922852,shapley_mean,-1,0
13,5027,0.2661643922328949,1.347051978111267,shapley_mean,-1,0
14,5319,0.2860753834247589,1.3363896608352661,shapley_mean,-1,0
15,5578,0.2861008048057556,1.3344992399215698,shapley_mean,-1,0
1,194,-0.10286745429039001,1.4307459592819214,random_individual,0,0
2,360,-0.07493313401937485,1.4172097444534302,random_individual,0,0
3,452,-0.017052846029400826,1.3887451887130737,random_individual,0,0
4,1010,0.13111256062984467,1.379364013671875,random_individual,0,0
5,1366,0.18104510009288788,1.3644376993179321,random_individual,0,0
6,1763,0.14231549203395844,1.389477252960205,random_individual,0,0
7,2346,0.26091712713241577,1.3664731979370117,random_individual,0,0
8,2548,0.2125457525253296,1.3840737342834473,random_individual,0,0
9,2706,0.15417912602424622,1.406924843788147,random_individual,0,0
10,3192,0.21372167766094208,1.409610390663147,random_individual,0,0
11,4270,0.1696815937757492,1.393671989440918,random_individual,0,0
12,4854,0.17541450262069702,1.3660926818847656,random_individual,0,0
13,5027,0.13065360486507416,1.403568148612976,random_individual,0,0
14,5319,0.20441816747188568,1.3867121934890747,random_individual,0,0
15,5578,0.1621725708246231,1.3940802812576294,random_individual,0,0
1,194,0.168024480342865,1.3721919059753418,random_individual,1,0
2,360,0.04133407771587372,1.4257434606552124,random_individual,1,0
3,452,0.03620734438300133,1.3891233205795288,random_individual,1,0
4,1010,0.010299639776349068,1.4207133054733276,random_individual,1,0
5,1366,0.058765970170497894,1.374189019203186,random_individual,1,0
6,1763,0.020867453888058662,1.4421805143356323,random_individual,1,0
7,2346,-0.0820491686463356,1.422660231590271,random_individual,1,0
8,2548,-0.057330772280693054,1.4168987274169922,random_individual,1,0
9,2706,0.09643106907606125,1.3973031044006348,random_individual,1,0
10,3192,-0.001730698742903769,1.4417833089828491,random_individual,1,0
11,4270,0.14685799181461334,1.3890012502670288,random_individual,1,0
12,4854,0.07387649267911911,1.4231754541397095,random_individual,1,0
13,5027,0.12820066511631012,1.3863722085952759,random_individual,1,0
14,5319,0.16169506311416626,1.389849305152893,random_individual,1,0
15,5578,0.2177177369594574,1.3695605993270874,random_individual,1,0
1,194,0.08772023022174835,1.3750890493392944,random_individual,2,0
2,360,0.03533920645713806,1.3924521207809448,random_individual,2,0
3,452,0.05926016345620155,1.4362033605575562,random_individual,2,0
4,1010,0.1225125640630722,1.4280847311019897,random_individual,2,0
5,1366,0.03443208336830139,1.441724419593811,random_individual,2,0
6,1763,-0.09476789832115173,1.4357565641403198,random_individual,2,0
7,2346,-0.10850393772125244,1.4150575399398804,random_individual,2,0
8,2548,-0.05167945474386215,1.4143691062927246,random_individual,2,0
9,2706,0.11283617466688156,1.3805769681930542,random_individual,2,0
10,3192,0.07195784896612167,1.3903684616088867,random_individual,2,0
11,4270,0.021428311243653297,1.4458279609680176,random_individual,2,0
12,4854,-0.009882928803563118,1.424901008605957,random_individual,2,0
13,5027,0.14352932572364807,1.3884474039077759,random_individual,2,0
14,5319,0.24083979427814484,1.3723112344741821,random_individual,2,0
15,5578,0.044964954257011414,1.3990458250045776,random_individual,2,0
1,194,0.06567008048295975,1.4028438329696655,random_individual,3,0
2,360,-0.011508113704621792,1.4083046913146973,random_individual,3,0
3,452,0.03360350802540779,1.448710560798645,random_individual,3,0
4,1010,0.017649037763476372,1.4041646718978882,random_individual,3,0
5,1366,0.17014913260936737,1.362706184387207,random_individual,3,0
6,1763,0.14265146851539612,1.3952412605285645,random_individual,3,0
7,2346,0.05832890421152115,1.4096797704696655,random_individual,3,0
8,2548,0.16649562120437622,1.3858987092971802,random_individual,3,0
9,2706,0.12793000042438507,1.4043623208999634,random_individual,3,0
10,3192,0.08372627943754196,1.4228496551513672,random_individual,3,0
11,4270,0.17649368941783905,1.3799123764038086,random_individual,3,0
12,4854,0.20734086632728577,1.3795146942138672,random_individual,3,0
13,5027,0.01528583001345396,1.4135241508483887,random_individual,3,0
14,5319,0.017272425815463066,1.3938266038894653,random_individual,3,0
15,5578,0.3670826256275177,1.3382447957992554,random_individual,3,0
1,194,-0.08945662528276443,1.4294947385787964,random_individual,4,0
2,360,-0.11481331288814545,1.4221090078353882,random_individual,4,0
3,452,-0.057889148592948914,1.4054301977157593,random_individual,4,0
4,1010,-0.059915974736213684,1.5160751342773438,random_individual,4,0
5,1366,-0.0020038452930748463,1.464138388633728,random_individual,4,0
6,1763,0.12144265323877335,1.420089602470398,random_individual,4,0
7,2346,0.22059641778469086,1.3753446340560913,random_individual,4,0
8,2548,0.09924425184726715,1.4336963891983032,random_individual,4,0
9,2706,0.04483989626169205,1.4023367166519165,random_individual,4,0
10,3192,0.218695729970932,1.4011424779891968,random_individual,4,0
11,4270,0.11095807701349258,1.4104644060134888,random_individual,4,0
12,4854,0.11272648721933365,1.3903056383132935,random_individual,4,0
13,5027,-0.11815943568944931,1.4336885213851929,random_individual,4,0
14,5319,0.10857792943716049,1.4351305961608887,random_individual,4,0
15,5578,0.12970368564128876,1.3786110877990723,random_individual,4,0
