target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
0,9,Sleneset,0.07268907409161329,0.00043788598850369453,166,1,2
0,5,Hestmannøy,0.06980843860656023,6.475736419903546e-05,1078,2,7
0,13,Southern 3,0.0692652807570994,0.00011860493280325238,584,3,5
0,10,Aldra,0.059609975572675465,0.00034456633279003157,173,4,3
0,1,Myken,0.049465164076536894,0.0005376648269188793,92,5,1
0,3,Selvær,0.030183176323771477,0.00015558338311222412,194,6,4
0,6,Indre Kvarøy,0.024796667881309985,6.965356146435388e-05,356,7,6
0,14,Southern 4,0.02206829758360982,4.540801971936177e-05,486,8,8
0,11,Southern 1,0.003365081734955311,5.772009836973089e-06,583,9,10
0,15,Southern 5,0.0023672061040997507,1.1718842099503717e-05,202,10,9
0,12,Southern 2,-0.005440620379522443,-1.3704333449678698e-05,397,11,11
0,8,Lovund,-0.0062964120879769325,-3.985070941757552e-05,158,12,12
0,2,Træna,-0.03249696437269449,-0.00011129097387909072,292,13,14
0,4,Gjerøy,-0.03592694392427802,-6.438520416537279e-05,558,14,13
0,7,Onøy og Lurøy,-0.1699114611838013,-0.0006560288076594645,259,15,15
