target_island,repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,v_full
0,0,14,1,Myken,92,0.004222335293889046,4.589494884662006e-05,0.3645934462547302
0,0,14,2,Træna,292,0.05333787677809596,0.00018266396156882178,0.3645934462547302
0,0,14,3,Selvær,194,0.042649362608790396,0.00021984207530304327,0.3645934462547302
0,0,14,4,Gjerøy,558,0.015385417826473713,2.7572433380777262e-05,0.3645934462547302
0,0,14,5,Hestmannøy,1078,0.1855281451717019,0.0001721040307715231,0.3645934462547302
0,0,14,6,Indre Kvarøy,356,0.024716392159461975,6.942806786365724e-05,0.3645934462547302
0,0,14,7,Onøy og Lurøy,259,-0.09206729349680245,-0.0003554721756633299,0.3645934462547302
0,0,14,8,Lovund,158,-0.018591311341151596,-0.000117666527475643,0.3645934462547302
0,0,14,9,Sleneset,166,0.0664233072893694,0.000400140405357647,0.3645934462547302
0,0,14,10,Aldra,173,-0.002613644883967936,-1.5107773895768417e-05,0.3645934462547302
0,0,14,11,Southern 1,583,0.0036141832359135153,6.199285138788191e-06,0.3645934462547302
0,0,14,12,Southern 2,397,0.015613142121583223,3.9327813908270084e-05,0.3645934462547302
0,0,14,13,Southern 3,584,0.033798595704138276,5.787430771256554e-05,0.3645934462547302
0,0,14,14,Southern 4,486,-0.003368929773569107,-6.931954266603101e-06,0.3645934462547302
0,0,14,15,Southern 5,202,0.03594586756080389,0.00017794983940992023,0.3645934462547302
0,1,1014,1,Myken,92,0.02689118664711714,0.00029229550703388193,0.2073451578617096
0,1,1014,2,Træna,292,-0.05005924003198743,-0.00017143575353420354,0.2073451578617096
0,1,1014,3,Selvær,194,0.07453476032242179,0.00038419979547640095,0.2073451578617096
0,1,1014,4,Gjerøy,558,0.14748536981642246,0.00026431069859573917,0.2073451578617096
0,1,1014,5,Hestmannøy,1078,-0.06618070090189576,-6.139211586446731e-05,0.2073451578617096
0,1,1014,6,Indre Kvarøy,356,0.06276494301855565,0.00017630601971504396,0.2073451578617096
0,1,1014,7,Onøy og Lurøy,259,-0.17209958815947174,-0.0006644771743608948,0.2073451578617096
0,1,1014,8,Lovund,158,0.011454226216301322,7.24951026348185e-05,0.2073451578617096
0,1,1014,9,Sleneset,166,0.05260192097630352,0.00031687904202592484,0.2073451578617096
0,1,1014,10,Aldra,173,-0.023677467089146375,-0.00013686397161356286,0.2073451578617096
0,1,1014,11,Southern 1,583,0.09692949708551168,0.00016625985777960837,0.2073451578617096
0,1,1014,12,Southern 2,397,0.0688701331615448,0.0001734764059484756,0.2073451578617096
0,1,1014,13,Southern 3,584,-0.050576818827539685,-8.660414182797891e-05,0.2073451578617096
0,1,1014,14,Southern 4,486,0.0012673507444560528,2.6077175811852937e-06,0.2073451578617096
0,1,1014,15,Southern 5,202,0.027139584883116186,0.00013435438060948606,0.2073451578617096
0,2,2014,1,Myken,92,0.049465164076536894,0.0005376648269188793,0.15354596078395844
0,2,2014,2,Træna,292,-0.03249696437269449,-0.00011129097387909072,0.15354596078395844
0,2,2014,3,Selvær,194,0.030183176323771477,0.00015558338311222412,0.15354596078395844
0,2,2014,4,Gjerøy,558,-0.03592694392427802,-6.438520416537279e-05,0.15354596078395844
0,2,2014,5,Hestmannøy,1078,0.06980843860656023,6.475736419903546e-05,0.15354596078395844
0,2,2014,6,Indre Kvarøy,356,0.024796667881309985,6.965356146435388e-05,0.15354596078395844
0,2,2014,7,Onøy og Lurøy,259,-0.1699114611838013,-0.0006560288076594645,0.15354596078395844
0,2,2014,8,Lovund,158,-0.0062964120879769325,-3.985070941757552e-05,0.15354596078395844
0,2,2014,9,Sleneset,166,0.07268907409161329,0.00043788598850369453,0.15354596078395844
0,2,2014,10,Aldra,173,0.059609975572675465,0.00034456633279003157,0.15354596078395844
0,2,2014,11,Southern 1,583,0.003365081734955311,5.772009836973089e-06,0.15354596078395844
0,2,2014,12,Southern 2,397,-0.005440620379522443,-1.3704333449678698e-05,0.15354596078395844
0,2,2014,13,Southern 3,584,0.0692652807570994,0.00011860493280325238,0.15354596078395844
0,2,2014,14,Southern 4,486,0.02206829758360982,4.540801971936177e-05,0.15354596078395844
0,2,2014,15,Southern 5,202,0.0023672061040997507,1.1718842099503717e-05,0.15354596078395844
