target_island,source_island,source_island_name,n_island,phi_mean,phi_std,phi_p05,phi_p95,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
0,1,Myken,92,-0.0038374375598505136,0.04868424133609576,-0.06569990750867873,0.04495036859065294,-4.171127782446209e-05,0.0005291765362619104,5,12
0,2,Træna,292,-0.01615888136846479,0.0477355957468002,-0.05994533270364627,0.04483845675364136,-5.533863482350956e-05,0.0001634780676260281,5,13
0,3,Selvær,194,0.037317714386153965,0.02287755517648858,0.01900879670167342,0.0681576807796955,0.00019235935250594828,0.00011792554214684834,5,2
0,4,Gjerøy,558,0.039467858113348485,0.0891536383111192,-0.04554011130705476,0.1416560658533126,7.073092851854567e-05,0.00015977354536042865,5,6
0,5,Hestmannøy,1078,0.1943207010999322,0.20266892913087378,-0.03898287300020456,0.41565315862186253,0.00018026039063073486,0.00018800457247761948,5,3
0,6,Indre Kvarøy,356,0.015327727384865287,0.0348625645724186,-0.024337278278544545,0.05517128799110651,4.3055414002430584e-05,9.792855216971516e-05,5,8
0,7,Onøy og Lurøy,259,-0.09256851497571915,0.07976411157724085,-0.17166196276433765,-0.0015439815772697405,-0.0003574073937286454,0.0003079695427692697,5,15
0,8,Lovund,158,-0.03309202413831371,0.049800442481639354,-0.10047101669479161,0.007904098555445667,-0.000209443190748821,0.0003151926739344262,5,14
0,9,Sleneset,166,0.04015401882119477,0.035184852327641854,-0.005052381879650056,0.07143592073116452,0.00024189167964575164,0.00021195694173278227,5,1
0,10,Aldra,173,0.022174463339615612,0.035916594995215205,-0.019464702648110687,0.0585753202997148,0.00012817608866829834,0.00020761037569488555,5,4
0,11,Southern 1,583,0.05049059220589698,0.0528896183336662,0.003414902035146952,0.11219025127589702,8.66047893754665e-05,9.071975700457323e-05,5,5
0,12,Southern 2,397,0.0060457703564316045,0.04433610604029454,-0.044863401809707285,0.05821873495355248,1.5228640696301272e-05,0.00011167784896799633,5,9
0,13,Southern 3,584,0.03487931826151908,0.04989038594992114,-0.033701735921204096,0.06908662436529994,5.9724860036847734e-05,8.542874306493346e-05,5,7
0,14,Southern 4,486,0.0019993015378713605,0.021290396952772746,-0.02492763940244913,0.021724059255793692,4.113789172574818e-06,4.3807401137392484e-05,5,11
0,15,Southern 5,202,0.0016390246222726986,0.03460055701943785,-0.042882698019966484,0.03418461102526635,8.113983278577712e-06,0.00017128988623484084,5,10
