n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
0,15,4619,0.14577093720436096,1.5130956172943115,shapley_mean,-1,5
1,14,4360,0.1651233583688736,1.5029864311218262,shapley_mean,-1,5
2,13,4158,0.16941940784454346,1.4950979948043823,shapley_mean,-1,5
3,12,3574,0.18012718856334686,1.4871163368225098,shapley_mean,-1,5
4,11,3016,0.1614219844341278,1.5073919296264648,shapley_mean,-1,5
5,10,2433,0.1538112461566925,1.5173673629760742,shapley_mean,-1,5
6,9,2267,0.1647128462791443,1.5017913579940796,shapley_mean,-1,5
7,8,2073,0.17730529606342316,1.4904502630233765,shapley_mean,-1,5
8,7,1587,0.18064922094345093,1.490570306777954,shapley_mean,-1,5
9,6,1295,0.15985748171806335,1.504389762878418,shapley_mean,-1,5
10,5,1122,0.15273956954479218,1.5084609985351562,shapley_mean,-1,5
11,4,964,0.13440918922424316,1.5220372676849365,shapley_mean,-1,5
12,3,608,0.07529643923044205,1.5557681322097778,shapley_mean,-1,5
13,2,211,0.047126300632953644,1.5651967525482178,shapley_mean,-1,5
14,1,92,0.07810673862695694,1.5461623668670654,shapley_mean,-1,5
0,15,4619,0.14596103131771088,1.5134308338165283,random_individual,0,5
1,14,4360,0.1665801703929901,1.5238052606582642,random_individual,0,5
2,13,4158,0.16750361025333405,1.5024383068084717,random_individual,0,5
3,12,3574,0.1737210601568222,1.5024722814559937,random_individual,0,5
4,11,3016,0.1350984275341034,1.5222593545913696,random_individual,0,5
5,10,2433,0.13167424499988556,1.5466123819351196,random_individual,0,5
6,9,2267,0.12557072937488556,1.5230728387832642,random_individual,0,5
7,8,2073,0.11723282933235168,1.527801513671875,random_individual,0,5
8,7,1587,0.12838250398635864,1.5286054611206055,random_individual,0,5
9,6,1295,0.14204636216163635,1.529592752456665,random_individual,0,5
10,5,1122,0.10058280825614929,1.555216670036316,random_individual,0,5
11,4,964,0.14276288449764252,1.5204591751098633,random_individual,0,5
12,3,608,0.08617302030324936,1.5494804382324219,random_individual,0,5
13,2,211,0.04709517955780029,1.5569688081741333,random_individual,0,5
14,1,92,-0.007812808267772198,1.5669392347335815,random_individual,0,5
0,15,4619,0.11512922495603561,1.5349661111831665,random_individual,1,5
1,14,4360,0.11878703534603119,1.53142511844635,random_individual,1,5
2,13,4158,0.16877788305282593,1.5065048933029175,random_individual,1,5
3,12,3574,0.13875408470630646,1.5456197261810303,random_individual,1,5
4,11,3016,0.15557825565338135,1.5159783363342285,random_individual,1,5
5,10,2433,0.11781277507543564,1.5463201999664307,random_individual,1,5
6,9,2267,0.03370659053325653,1.5670762062072754,random_individual,1,5
7,8,2073,0.058982543647289276,1.5685116052627563,random_individual,1,5
8,7,1587,0.07432674616575241,1.5525873899459839,random_individual,1,5
