n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,194,0.1205073893070221,1.008585810661316,shapley_mean,-1,1,194,8
13,2,360,0.2646157741546631,0.9492583274841309,shapley_mean,-1,2,360,8
12,3,652,0.3518763780593872,0.8663821220397949,shapley_mean,-1,3,652,8
11,4,1235,0.3656816780567169,0.8576792478561401,shapley_mean,-1,4,1235,8
10,5,1591,0.33709046244621277,0.866774320602417,shapley_mean,-1,5,1591,8
9,6,2149,0.34702277183532715,0.8684341907501221,shapley_mean,-1,6,2149,8
8,7,2546,0.3535889983177185,0.8561880588531494,shapley_mean,-1,7,2546,8
7,8,3624,0.3780539631843567,0.8435300588607788,shapley_mean,-1,8,3624,8
6,9,3826,0.3724695146083832,0.8449833989143372,shapley_mean,-1,9,3826,8
5,10,3945,0.3792775869369507,0.8458124995231628,shapley_mean,-1,10,3945,8
4,11,4431,0.33771100640296936,0.878760814666748,shapley_mean,-1,11,4431,8
3,12,5015,0.3619329035282135,0.876312255859375,shapley_mean,-1,12,5015,8
2,13,5274,0.3105238676071167,0.933470606803894,shapley_mean,-1,13,5274,8
1,14,5366,0.30092349648475647,0.9365810751914978,shapley_mean,-1,14,5366,8
0,15,5539,0.3004850745201111,0.9387088418006897,shapley_mean,-1,15,5539,8
14,1,194,0.2072090059518814,1.0102442502975464,random_individual,0,1,194,8
13,2,360,0.04226444289088249,1.0392767190933228,random_individual,0,2,360,8
12,3,652,0.20371362566947937,0.988547146320343,random_individual,0,3,652,8
11,4,1235,0.12348958104848862,1.0007822513580322,random_individual,0,4,1235,8
10,5,1591,0.3250401020050049,0.8997049331665039,random_individual,0,5,1591,8
9,6,2149,0.2998068928718567,0.9236971139907837,random_individual,0,6,2149,8
8,7,2546,0.2655142545700073,0.951477587223053,random_individual,0,7,2546,8
7,8,3624,0.3132745921611786,0.9142402410507202,random_individual,0,8,3624,8
6,9,3826,0.30672910809516907,0.9280396699905396,random_individual,0,9,3826,8
5,10,3945,0.22019356489181519,0.9576413035392761,random_individual,0,10,3945,8
4,11,4431,0.24532707035541534,0.9460185170173645,random_individual,0,11,4431,8
3,12,5015,0.29849502444267273,0.9348448514938354,random_individual,0,12,5015,8
2,13,5274,0.29830634593963623,0.9521000385284424,random_individual,0,13,5274,8
1,14,5366,0.3651668429374695,0.8986960649490356,random_individual,0,14,5366,8
0,15,5539,0.3004850745201111,0.9387088418006897,random_individual,0,15,5539,8
