permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,-0.011465571820735931,10,Nesøy,8
1,1,0.12481847405433655,4,Myken,8
1,2,0.027113229036331177,9,Træna,8
1,3,0.13478104025125504,2,Selvær,8
1,4,0.12220239639282227,5,Gjerøy,8
1,5,-0.1709132269024849,14,Hestmannøy,8
1,6,0.05777670443058014,7,Indre Kvarøy,8
1,7,-0.08263044059276581,13,Onøy og Lurøy,8
1,9,0.07838589698076248,6,Sleneset,8
1,10,0.14133957587182522,1,Aldra,8
1,11,0.13287454284727573,3,Southern 1,8
1,12,0.0404982715845108,8,Southern 2,8
1,13,-0.26842188835144043,15,Southern 3,8
1,14,-0.07181695103645325,12,Southern 4,8
1,15,-0.039566099643707275,11,Southern 5,8
2,0,-0.013319913297891617,11,Nesøy,8
2,1,0.3112766891717911,1,Myken,8
2,2,0.014698397368192673,6,Træna,8
2,3,0.1047339029610157,3,Selvær,8
2,4,0.10260295867919922,4,Gjerøy,8
2,5,-0.13515478000044823,13,Hestmannøy,8
2,6,-0.0038267001509666443,9,Indre Kvarøy,8
2,7,-0.07028210163116455,12,Onøy og Lurøy,8
2,9,0.0982462577521801,5,Sleneset,8
2,10,-0.007211894728243351,10,Aldra,8
2,11,0.15791064221411943,2,Southern 1,8
2,12,0.006423771381378174,7,Southern 2,8
2,13,-0.16670089215040207,14,Southern 3,8
2,14,-0.1900271475315094,15,Southern 4,8
2,15,0.005606763064861298,8,Southern 5,8
3,0,-0.023956847687562306,10,Nesøy,8
3,1,0.20342072347799936,2,Myken,8
3,2,0.007353541751702626,8,Træna,8
3,3,0.09393371393283208,4,Selvær,8
3,4,0.0940935214360555,3,Gjerøy,8
3,5,-0.09866118182738622,13,Hestmannøy,8
3,6,0.040590244034926094,6,Indre Kvarøy,8
3,7,-0.07179706295331319,12,Onøy og Lurøy,8
3,9,0.06451791773239772,5,Sleneset,8
3,10,-0.025031348690390587,11,Aldra,8
3,11,0.20768185270329317,1,Southern 1,8
3,12,0.018709828456242878,7,Southern 2,8
3,13,-0.17282996326684952,15,Southern 3,8
3,14,-0.11418091257413228,14,Southern 4,8
3,15,-0.008868073423703512,9,Southern 5,8
4,0,-0.02844899706542492,11,Nesøy,8
4,1,0.13349531218409538,2,Myken,8
4,2,0.013994177803397179,8,Træna,8
4,3,0.07994871772825718,4,Selvær,8
4,4,0.09686155116651207,3,Gjerøy,8
4,5,-0.02356634906027466,10,Hestmannøy,8
4,6,0.04228194244205952,6,Indre Kvarøy,8
4,7,-0.07634800672531128,14,Onøy og Lurøy,8
4,9,0.06464270316064358,5,Sleneset,8
4,10,-0.06751851784065366,12,Aldra,8
4,11,0.17745421128347516,1,Southern 1,8
4,12,0.02918076515197754,7,Southern 2,8
4,13,-0.13755217753350735,15,Southern 3,8
4,14,-0.07471708953380585,13,Southern 4,8
4,15,-0.01473229005932808,9,Southern 5,8
5,0,-0.016511209309101105,10,Nesøy,8
5,1,0.09731285497546197,2,Myken,8
5,2,0.012691934406757355,8,Træna,8
5,3,0.08260023742914199,4,Selvær,8
5,4,0.09356050388887524,3,Gjerøy,8
5,5,-0.016584669519215823,11,Hestmannøy,8
5,6,0.040792547166347504,6,Indre Kvarøy,8
5,7,-0.08278585374355316,14,Onøy og Lurøy,8
5,9,0.07247700244188308,5,Sleneset,8
5,10,-0.05934041328728199,13,Aldra,8
5,11,0.15462125577032565,1,Southern 1,8
5,12,0.01781446635723114,7,Southern 2,8
5,13,-0.119953453540802,15,Southern 3,8
5,14,-0.05344002023339271,12,Southern 4,8
5,15,-0.008279229700565337,9,Southern 5,8
6,0,-0.02449977646271388,11,Nesøy,8
6,1,0.07134268991649151,3,Myken,8
6,2,0.023893840610980988,7,Træna,8
6,3,0.09874087199568748,2,Selvær,8
6,4,0.06652106756033997,5,Gjerøy,8
6,5,0.015045076220606765,8,Hestmannøy,8
6,6,0.041972255955139794,6,Indre Kvarøy,8
6,7,-0.053782835602760315,13,Onøy og Lurøy,8
6,9,0.06722971796989441,4,Sleneset,8
6,10,-0.06520834472030401,14,Aldra,8
6,11,0.1633689634812375,1,Southern 1,8
6,12,0.010236933827400208,9,Southern 2,8
6,13,-0.14469819267590842,15,Southern 3,8
6,14,-0.04605994808177153,12,Southern 4,8
6,15,-0.009126366892208656,10,Southern 5,8
7,0,-0.021578294890267507,11,Nesøy,8
7,1,0.07813266105949879,3,Myken,8
7,2,0.026822692581585476,8,Træna,8
7,3,0.09384667554071971,2,Selvær,8
7,4,0.06278144335374236,5,Gjerøy,8
7,5,0.05073787997077618,6,Hestmannøy,8
7,6,0.04015488390411649,7,Indre Kvarøy,8
7,7,-0.0471377233043313,12,Onøy og Lurøy,8
7,9,0.06592567664171968,4,Sleneset,8
7,10,-0.06957061721810273,14,Aldra,8
7,11,0.1510990864730307,1,Southern 1,8
7,12,-0.0010016214634690965,9,Southern 2,8
7,13,-0.16237300634384155,15,Southern 3,8
7,14,-0.04731248931160995,13,Southern 4,8
7,15,-0.005551293891455446,10,Southern 5,8
8,0,-0.028733279556035995,11,Nesøy,8
8,1,0.07623035251162946,3,Myken,8
8,2,0.019786013290286064,9,Træna,8
8,3,0.0922598959878087,2,Selvær,8
8,4,0.05020740517647937,5,Gjerøy,8
8,5,0.04074753151508048,7,Hestmannøy,8
8,6,0.048043699003756046,6,Indre Kvarøy,8
8,7,-0.05231979757081717,13,Onøy og Lurøy,8
8,9,0.06850556819699705,4,Sleneset,8
8,10,-0.07294268650002778,14,Aldra,8
8,11,0.14575742615852505,1,Southern 1,8
8,12,0.024980362970381975,8,Southern 2,8
8,13,-0.15021446347236633,15,Southern 3,8
8,14,-0.04082678793929517,12,Southern 4,8
8,15,-0.006505286670289934,10,Southern 5,8
9,0,-0.02264074318938785,11,Nesøy,8
9,1,0.06757694627675745,4,Myken,8
9,2,0.0033769657214482627,9,Træna,8
9,3,0.09102573411332236,2,Selvær,8
9,4,0.049188362900167704,6,Gjerøy,8
9,5,0.04808205267828372,7,Hestmannøy,8
9,6,0.05321945001681646,5,Indre Kvarøy,8
9,7,-0.052583984927170806,14,Onøy og Lurøy,8
9,9,0.0763120467050208,3,Sleneset,8
9,10,-0.05213446713363131,13,Aldra,8
9,11,0.13745274032569593,1,Southern 1,8
9,12,0.014844420469469495,8,Southern 2,8
9,13,-0.14927972247824073,15,Southern 3,8
9,14,-0.04055617397858037,12,Southern 4,8
9,15,-0.008907674397859309,10,Southern 5,8
10,0,-0.019133906066417693,11,Nesøy,8
10,1,0.050944636575877666,4,Myken,8
10,2,0.011378700286149979,9,Træna,8
10,3,0.0854538507759571,2,Selvær,8
10,4,0.04810793758369982,5,Gjerøy,8
10,5,0.042293644556775686,7,Hestmannøy,8
10,6,0.04707727357745171,6,Indre Kvarøy,8
10,7,-0.04900788879022002,13,Onøy og Lurøy,8
10,9,0.06839649211615324,3,Sleneset,8
10,10,-0.05072300103493035,14,Aldra,8
10,11,0.1544298936612904,1,Southern 1,8
10,12,0.01803409419953823,8,Southern 2,8
10,13,-0.14656011587940157,15,Southern 3,8
10,14,-0.04422844927757978,12,Southern 4,8
10,15,-0.0014872091822326183,10,Southern 5,8
11,0,-0.016957045956091446,11,Nesøy,8
11,1,0.042993243275718254,5,Myken,8
11,2,0.013303112577308308,9,Træna,8
11,3,0.09831491993232207,2,Selvær,8
11,4,0.04961728833785111,4,Gjerøy,8
11,5,0.03911122192882679,7,Hestmannøy,8
11,6,0.04266784882003611,6,Indre Kvarøy,8
11,7,-0.04966962803155184,13,Onøy og Lurøy,8
11,9,0.06400607780299404,3,Sleneset,8
11,10,-0.053617962085726584,14,Aldra,8
11,11,0.15045239615508102,1,Southern 1,8
11,12,0.018064184283668346,8,Southern 2,8
11,13,-0.13849270458079196,15,Southern 3,8
11,14,-0.043353603475473144,12,Southern 4,8
11,15,-0.0014633958820592272,10,Southern 5,8
12,0,-0.013481948524713516,11,Nesøy,8
12,1,0.022561997640877962,8,Myken,8
12,2,0.03332536232968172,7,Træna,8
12,3,0.09397260037561257,2,Selvær,8
12,4,0.056852306433332465,4,Gjerøy,8
12,5,0.03592642074606071,6,Hestmannøy,8
12,6,0.043590945502122246,5,Indre Kvarøy,8
12,7,-0.05463007395155728,13,Onøy og Lurøy,8
12,9,0.06356187149261434,3,Sleneset,8
12,10,-0.056808461473944284,14,Aldra,8
12,11,0.14721412436726192,1,Southern 1,8
12,12,0.016958309647937615,9,Southern 2,8
12,13,-0.13474580936599523,15,Southern 3,8
12,14,-0.04088605800643563,12,Southern 4,8
12,15,0.0015643658892561991,10,Southern 5,8
13,0,-0.023120915660491355,11,Nesøy,8
13,1,0.008723331042207204,9,Myken,8
13,2,0.035052004341895766,6,Træna,8
13,3,0.09298643412498328,2,Selvær,8
13,4,0.056444831658154726,4,Gjerøy,8
