target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,3,3014,4078,4078,8N14981,6,Indre Kvarøy,0.02593382670740566,1,0.16119854468835712,50
9,Sleneset,3,3014,4588,4588,8747260,6,Indre Kvarøy,0.022744494510174698,2,0.16119854468835712,50
9,Sleneset,3,3014,624,624,8L89654,5,Hestmannøy,0.021702395895404358,3,0.16119854468835712,50
9,Sleneset,3,3014,4813,4813,8800468,5,Hestmannøy,0.018683991537185977,4,0.16119854468835712,50
9,Sleneset,3,3014,4544,4544,8732678,4,Gjerøy,0.016203103760362478,5,0.16119854468835712,50
9,Sleneset,3,3014,1346,1346,8N05223,12,Southern 2,0.013984148340022618,6,0.16119854468835712,50
9,Sleneset,3,3014,4426,4426,8730451,1,Myken,0.013694518228057832,7,0.16119854468835712,50
9,Sleneset,3,3014,792,792,8M31739,3,Selvær,0.013501846894670926,8,0.16119854468835712,50
9,Sleneset,3,3014,3932,3932,8P14171,5,Hestmannøy,0.013212977188982334,9,0.16119854468835712,50
9,Sleneset,3,3014,1246,1246,8N05122,12,Southern 2,0.012627380821838657,10,0.16119854468835712,50
9,Sleneset,3,3014,5520,5520,8981928,2,Træna,0.011608200142326483,11,0.16119854468835712,50
9,Sleneset,3,3014,5217,5217,8939293,12,Southern 2,0.01146483155878996,12,0.16119854468835712,50
9,Sleneset,3,3014,1225,1225,8N05101,14,Southern 4,0.01110603902984681,13,0.16119854468835712,50
9,Sleneset,3,3014,1647,1647,8N06293,2,Træna,0.010891491415415575,14,0.16119854468835712,50
9,Sleneset,3,3014,4510,4510,8732552,6,Indre Kvarøy,0.010743508115860818,15,0.16119854468835712,50
9,Sleneset,3,3014,5228,5228,8939366,7,Onøy og Lurøy,0.00987947927127004,16,0.16119854468835712,50
9,Sleneset,3,3014,1201,1201,8M72955,4,Gjerøy,0.009536762980831665,17,0.16119854468835712,50
9,Sleneset,3,3014,4418,4418,8730437,5,Hestmannøy,0.009222886716326918,18,0.16119854468835712,50
9,Sleneset,3,3014,1291,1291,8N05167,12,Southern 2,0.009204473041836133,19,0.16119854468835712,50
9,Sleneset,3,3014,3968,3968,8P14585,8,Lovund,0.009129062020278187,20,0.16119854468835712,50
9,Sleneset,3,3014,311,311,8L52335,12,Southern 2,0.008796574402228075,21,0.16119854468835712,50
9,Sleneset,3,3014,4312,4312,8681009,0,Nesøy,0.00862762117438187,22,0.16119854468835712,50
9,Sleneset,3,3014,2017,2017,8N13927,5,Hestmannøy,0.008507556250994062,23,0.16119854468835712,50
9,Sleneset,3,3014,1449,1449,8N05494,6,Indre Kvarøy,0.008507003412381482,24,0.16119854468835712,50
9,Sleneset,3,3014,4755,4755,8800090,6,Indre Kvarøy,0.008422709857511066,25,0.16119854468835712,50
9,Sleneset,3,3014,3992,3992,8P14793,4,Gjerøy,0.008330868921099743,26,0.16119854468835712,50
9,Sleneset,3,3014,2579,2579,8N28499,2,Træna,0.008271120524928606,27,0.16119854468835712,50
9,Sleneset,3,3014,4827,4827,8800529,10,Aldra,0.008264905454570433,28,0.16119854468835712,50
9,Sleneset,3,3014,718,718,8M31317,4,Gjerøy,0.00817546052987972,29,0.16119854468835712,50
9,Sleneset,3,3014,1450,1450,8N05513,8,Lovund,0.008117080182764,30,0.16119854468835712,50
9,Sleneset,3,3014,5316,5316,8943014,10,Aldra,0.008091205377993854,31,0.16119854468835712,50
9,Sleneset,3,3014,3250,3250,8N73649,13,Southern 3,0.008074461964903263,32,0.16119854468835712,50
9,Sleneset,3,3014,1158,1158,8M72745,1,Myken,0.008009677272716086,33,0.16119854468835712,50
9,Sleneset,3,3014,547,547,8L89326,10,Aldra,0.007988107844970947,34,0.16119854468835712,50
9,Sleneset,3,3014,5384,5384,8943897,5,Hestmannøy,0.007651482578731732,35,0.16119854468835712,50
9,Sleneset,3,3014,2804,2804,8N42992,14,Southern 4,0.007631022019237979,36,0.16119854468835712,50
9,Sleneset,3,3014,5022,5022,8887462,1,Myken,0.007531909427911436,37,0.16119854468835712,50
9,Sleneset,3,3014,5106,5106,8934329,5,Hestmannøy,0.007460117802325192,38,0.16119854468835712,50
9,Sleneset,3,3014,669,669,8M31207,7,Onøy og Lurøy,0.007422974933361941,39,0.16119854468835712,50
9,Sleneset,3,3014,2515,2515,8N27918,2,Træna,0.007395636306576925,40,0.16119854468835712,50
9,Sleneset,3,3014,1508,1508,8N05650,11,Southern 1,0.0073176492483246714,41,0.16119854468835712,50
9,Sleneset,3,3014,2533,2533,8N28005,2,Træna,0.007275329108407714,42,0.16119854468835712,50
9,Sleneset,3,3014,3006,3006,8N73180,15,Southern 5,0.007261184643149856,43,0.16119854468835712,50
9,Sleneset,3,3014,3243,3243,8N73642,13,Southern 3,0.00714507474772419,44,0.16119854468835712,50
9,Sleneset,3,3014,1459,1459,8N05567,3,Selvær,0.007130413836345471,45,0.16119854468835712,50
9,Sleneset,3,3014,4160,4160,8168662,1,Myken,0.0070968889348002875,46,0.16119854468835712,50
9,Sleneset,3,3014,5202,5202,8939151,4,Gjerøy,0.006996783054609639,47,0.16119854468835712,50
9,Sleneset,3,3014,2061,2061,8N14017,7,Onøy og Lurøy,0.006897129790208394,48,0.16119854468835712,50
9,Sleneset,3,3014,700,700,8M31255,8,Lovund,0.006854593477312197,49,0.16119854468835712,50
9,Sleneset,3,3014,1928,1928,8N13630,14,Southern 4,0.006840743463837157,50,0.16119854468835712,50
9,Sleneset,3,3014,2476,2476,8N27581,5,Hestmannøy,0.0067348613294039746,51,0.16119854468835712,50
9,Sleneset,3,3014,4132,4132,8118426,6,Indre Kvarøy,0.006654673710120193,52,0.16119854468835712,50
9,Sleneset,3,3014,4667,4667,8747722,5,Hestmannøy,0.006632589667905091,53,0.16119854468835712,50
9,Sleneset,3,3014,4299,4299,8651952,5,Hestmannøy,0.006548400688008786,54,0.16119854468835712,50
9,Sleneset,3,3014,2171,2171,8N14553,11,Southern 1,0.006458861180253353,55,0.16119854468835712,50
9,Sleneset,3,3014,1188,1188,8M72909,5,Hestmannøy,0.006455846391338869,56,0.16119854468835712,50
