target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations,n_evals
5,Hestmannøy,0,14,590,590,8M31634,4,Gjerøy,0.004432375618256761,1,0.17024848497923442,300,165
5,Hestmannøy,0,14,4411,4411,8939378,7,Onøy og Lurøy,0.003940790385096479,2,0.17024848497923442,300,171
5,Hestmannøy,0,14,1966,1966,8N14902,6,Indre Kvarøy,0.003443316414379864,3,0.17024848497923442,300,166
5,Hestmannøy,0,14,2287,2287,8N42545,7,Onøy og Lurøy,0.002699063966219799,4,0.17024848497923442,300,174
5,Hestmannøy,0,14,922,922,8M72916,6,Indre Kvarøy,0.0024480507066410796,5,0.17024848497923442,300,168
5,Hestmannøy,0,14,4142,4142,8816956,4,Gjerøy,0.0023357458423241607,6,0.17024848497923442,300,176
5,Hestmannøy,0,14,4436,4436,8939595,0,Nesøy,0.0023026212830218407,7,0.17024848497923442,300,178
5,Hestmannøy,0,14,4313,4313,8934353,7,Onøy og Lurøy,0.0022973034774209223,8,0.17024848497923442,300,168
5,Hestmannøy,0,14,4140,4140,8816954,4,Gjerøy,0.002133199457235577,9,0.17024848497923442,300,169
5,Hestmannøy,0,14,4577,4577,8981657,2,Træna,0.0021118416408687853,10,0.17024848497923442,300,160
5,Hestmannøy,0,14,4412,4412,8939379,7,Onøy og Lurøy,0.002086258686926233,11,0.17024848497923442,300,169
5,Hestmannøy,0,14,4494,4494,8943470,2,Træna,0.002003375322137789,12,0.17024848497923442,300,172
5,Hestmannøy,0,14,4204,4204,8887243,1,Myken,0.001970623875627149,13,0.17024848497923442,300,168
5,Hestmannøy,0,14,3696,3696,8681009,0,Nesøy,0.001919219257804579,14,0.17024848497923442,300,158
5,Hestmannøy,0,14,4392,4392,8939184,1,Myken,0.0018011584365583743,15,0.17024848497923442,300,169
5,Hestmannøy,0,14,3581,3581,8118435,4,Gjerøy,0.0017347891010681923,16,0.17024848497923442,300,161
5,Hestmannøy,0,14,2394,2394,8N72578,4,Gjerøy,0.0017342948870518503,17,0.17024848497923442,300,170
5,Hestmannøy,0,14,4364,4364,8934888,7,Onøy og Lurøy,0.001727507584765501,18,0.17024848497923442,300,166
5,Hestmannøy,0,14,4402,4402,8939369,7,Onøy og Lurøy,0.001717283567919603,19,0.17024848497923442,300,167
5,Hestmannøy,0,14,766,766,8M71531,4,Gjerøy,0.001710623319554136,20,0.17024848497923442,300,158
5,Hestmannøy,0,14,3353,3353,8P11750,7,Onøy og Lurøy,0.0016769491948901384,21,0.17024848497923442,300,153
5,Hestmannøy,0,14,3874,3874,8732678,4,Gjerøy,0.001663486842053817,22,0.17024848497923442,300,157
5,Hestmannøy,0,14,1962,1962,8N14803,9,Sleneset,0.0015920950361805839,23,0.17024848497923442,300,181
5,Hestmannøy,0,14,4053,4053,8800146,9,Sleneset,0.0015915646871994154,24,0.17024848497923442,300,168
5,Hestmannøy,0,14,1574,1574,8N13426,2,Træna,0.001584235556347036,25,0.17024848497923442,300,167
5,Hestmannøy,0,14,434,434,8L64981,4,Gjerøy,0.0015762632281302112,26,0.17024848497923442,300,165
5,Hestmannøy,0,14,3956,3956,8747636,4,Gjerøy,0.0015558264044466124,27,0.17024848497923442,300,172
5,Hestmannøy,0,14,1155,1155,8N05423,4,Gjerøy,0.0015539424356388679,28,0.17024848497923442,300,160
5,Hestmannøy,0,14,3905,3905,8747260,6,Indre Kvarøy,0.0015210809449366228,29,0.17024848497923442,300,170
5,Hestmannøy,0,14,2943,2943,8N87284,3,Selvær,0.001447318565187281,30,0.17024848497923442,300,165
5,Hestmannøy,0,14,326,326,8L52973,4,Gjerøy,0.0014299914894049498,31,0.17024848497923442,300,166
5,Hestmannøy,0,14,1731,1731,8N14017,7,Onøy og Lurøy,0.0013999209657916693,32,0.17024848497923442,300,161
5,Hestmannøy,0,14,45,45,8L19988,4,Gjerøy,0.0013690671471656773,33,0.17024848497923442,300,157
5,Hestmannøy,0,14,4317,4317,8934400,1,Myken,0.0013634303071415957,34,0.17024848497923442,300,161
5,Hestmannøy,0,14,892,892,8M72707,6,Indre Kvarøy,0.0013583314737290486,35,0.17024848497923442,300,167
5,Hestmannøy,0,14,4026,4026,8794352,1,Myken,0.0013571844737038292,36,0.17024848497923442,300,154
5,Hestmannøy,0,14,2301,2301,8N42706,4,Gjerøy,0.0013428118429993751,37,0.17024848497923442,300,166
5,Hestmannøy,0,14,4034,4034,8800028,4,Gjerøy,0.0013116047246356213,38,0.17024848497923442,300,175
5,Hestmannøy,0,14,128,128,8L30779,4,Gjerøy,0.0013061563539005403,39,0.17024848497923442,300,160
5,Hestmannøy,0,14,312,312,8L52695,9,Sleneset,0.0012942521351759048,40,0.17024848497923442,300,168
5,Hestmannøy,0,14,3590,3590,8168639,4,Gjerøy,0.0012938507624422051,41,0.17024848497923442,300,182
5,Hestmannøy,0,14,139,139,8L30851,2,Træna,0.0012927914819026681,42,0.17024848497923442,300,174
5,Hestmannøy,0,14,4065,4065,8800178,6,Indre Kvarøy,0.001279046770572693,43,0.17024848497923442,300,170
5,Hestmannøy,0,14,2366,2366,8N72376,4,Gjerøy,0.0012531411850132547,44,0.17024848497923442,300,172
5,Hestmannøy,0,14,626,626,8M31824,12,Vega,0.0012349457111196622,45,0.17024848497923442,300,162
5,Hestmannøy,0,14,3724,3724,8681200,4,Gjerøy,0.0012259284126147438,46,0.17024848497923442,300,158
5,Hestmannøy,0,14,4008,4008,8747935,4,Gjerøy,0.0012083441249038714,47,0.17024848497923442,300,156
5,Hestmannøy,0,14,4127,4127,8816929,4,Gjerøy,0.00119891345036795,48,0.17024848497923442,300,162
5,Hestmannøy,0,14,3786,3786,8730497,4,Gjerøy,0.001180977107375307,49,0.17024848497923442,300,169
5,Hestmannøy,0,14,2864,2864,8N73950,12,Vega,0.001150154592207579,50,0.17024848497923442,300,163
5,Hestmannøy,0,14,4214,4214,8887315,6,Indre Kvarøy,0.0011235242460047696,51,0.17024848497923442,300,168
5,Hestmannøy,0,14,4551,4551,8981220,11,Leka,0.0011140665989244698,52,0.17024848497923442,300,158
5,Hestmannøy,0,14,33,33,8L19930,10,Aldra,0.0011115938698240747,53,0.17024848497923442,300,167
5,Hestmannøy,0,14,2938,2938,8N87267,8,Lovund,0.0011091512045631835,54,0.17024848497923442,300,164
5,Hestmannøy,0,14,115,115,8L30761,10,Aldra,0.001107922723397619,55,0.17024848497923442,300,167
5,Hestmannøy,0,14,827,827,8M72422,13,Vikna,0.001105613005621348,56,0.17024848497923442,300,174
5,Hestmannøy,0,14,1288,1288,8N05851,0,Nesøy,0.0011041069639585218,57,0.17024848497923442,300,166
