n_permutations,cal_fraction,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,0.05,0,15,0.3753274496389972,0.38020594968752186,-0.004878500048524637,10
10,0.1,0,15,0.354629778810977,0.3973561742870193,-0.04272639547604229,10
10,0.15,0,15,0.3651937345995694,0.409956996708521,-0.044763262108951596,10
10,0.2,0,15,0.34954217756330747,0.4569179487026559,-0.10737577113934843,10
10,0.25,0,15,0.36938417195938134,0.40740256570379707,-0.038018393744415735,10
25,0.05,0,15,0.3753274496389972,0.38020594968752186,-0.004878500048524637,10
25,0.1,0,15,0.354629778810977,0.3973561742870193,-0.04272639547604229,10
25,0.15,0,15,0.3651937345995694,0.409956996708521,-0.044763262108951596,10
25,0.2,0,15,0.34954217756330747,0.4569179487026559,-0.10737577113934843,10
25,0.25,0,15,0.36938417195938134,0.40740256570379707,-0.038018393744415735,10
50,0.05,0,15,0.3753274496389972,0.38020594968752186,-0.004878500048524637,10
50,0.1,0,15,0.354629778810977,0.3973561742870193,-0.04272639547604229,10
50,0.15,0,15,0.3651937345995694,0.409956996708521,-0.044763262108951596,10
50,0.2,0,15,0.34954217756330747,0.4569179487026559,-0.10737577113934843,10
50,0.25,0,15,0.36938417195938134,0.40740256570379707,-0.038018393744415735,10
75,0.05,0,15,0.3753274496389972,0.38020594968752186,-0.004878500048524637,10
75,0.1,0,15,0.354629778810977,0.3973561742870193,-0.04272639547604229,10
75,0.15,0,15,0.3651937345995694,0.409956996708521,-0.044763262108951596,10
75,0.2,0,15,0.34954217756330747,0.4569179487026559,-0.10737577113934843,10
75,0.25,0,15,0.36938417195938134,0.40740256570379707,-0.038018393744415735,10
100,0.05,0,15,0.3753274496389972,0.38020594968752186,-0.004878500048524637,10
100,0.1,0,15,0.354629778810977,0.3973561742870193,-0.04272639547604229,10
100,0.15,0,15,0.3651937345995694,0.409956996708521,-0.044763262108951596,10
100,0.2,0,15,0.34954217756330747,0.4569179487026559,-0.10737577113934843,10
100,0.25,0,15,0.36938417195938134,0.40740256570379707,-0.038018393744415735,10
