target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
8,Lovund,0,8000514,10,0.05,0.1374118268948585,15
8,Lovund,1,8001514,10,0.05,0.2371912277778424,15
8,Lovund,2,8002514,10,0.05,0.5150209550555521,15
8,Lovund,3,8003514,10,0.05,0.10321444420533617,15
8,Lovund,4,8004514,10,0.05,0.6424696750438681,15
8,Lovund,5,8005514,10,0.05,0.38869007905142006,15
8,Lovund,6,8006514,10,0.05,0.7162981271794852,15
8,Lovund,7,8007514,10,0.05,0.3357187527811098,15
8,Lovund,8,8008514,10,0.05,0.149639003724967,15
8,Lovund,9,8009514,10,0.05,0.5764054051607792,15
8,Lovund,0,8001014,10,0.1,0.043812325021059396,15
8,Lovund,1,8002014,10,0.1,-0.06795920913373016,15
8,Lovund,2,8003014,10,0.1,0.5489495566579535,15
8,Lovund,3,8004014,10,0.1,0.40873419350855267,15
8,Lovund,4,8005014,10,0.1,0.2680195658040857,15
8,Lovund,5,8006014,10,0.1,0.386546996837091,15
8,Lovund,6,8007014,10,0.1,0.5395810606769882,15
8,Lovund,7,8008014,10,0.1,0.7233129925210559,15
8,Lovund,8,8009014,10,0.1,0.719535232934485,15
8,Lovund,9,8010014,10,0.1,0.40302902804265184,15
8,Lovund,0,8001514,10,0.15,0.2371912277778424,15
8,Lovund,1,8002514,10,0.15,0.5150209550555521,15
8,Lovund,2,8003514,10,0.15,0.10321444420533617,15
8,Lovund,3,8004514,10,0.15,0.6424696750438681,15
8,Lovund,4,8005514,10,0.15,0.38869007905142006,15
8,Lovund,5,8006514,10,0.15,0.7162981271794852,15
8,Lovund,6,8007514,10,0.15,0.3357187527811098,15
8,Lovund,7,8008514,10,0.15,0.149639003724967,15
8,Lovund,8,8009514,10,0.15,0.5764054051607792,15
8,Lovund,9,8010514,10,0.15,0.43492229710484953,15
8,Lovund,0,8002014,10,0.2,-0.06795920913373016,15
8,Lovund,1,8003014,10,0.2,0.5489495566579535,15
8,Lovund,2,8004014,10,0.2,0.40873419350855267,15
8,Lovund,3,8005014,10,0.2,0.2680195658040857,15
8,Lovund,4,8006014,10,0.2,0.386546996837091,15
8,Lovund,5,8007014,10,0.2,0.5395810606769882,15
8,Lovund,6,8008014,10,0.2,0.7233129925210559,15
8,Lovund,7,8009014,10,0.2,0.719535232934485,15
8,Lovund,8,8010014,10,0.2,0.40302902804265184,15
8,Lovund,9,8011014,10,0.2,0.6394300691774254,15
8,Lovund,0,8002514,10,0.25,0.5150209550555521,15
8,Lovund,1,8003514,10,0.25,0.10321444420533617,15
8,Lovund,2,8004514,10,0.25,0.6424696750438681,15
8,Lovund,3,8005514,10,0.25,0.38869007905142006,15
8,Lovund,4,8006514,10,0.25,0.7162981271794852,15
8,Lovund,5,8007514,10,0.25,0.3357187527811098,15
8,Lovund,6,8008514,10,0.25,0.149639003724967,15
8,Lovund,7,8009514,10,0.25,0.5764054051607792,15
