n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,356,0.15536812460728874,1.031074047088623,shapley_mean,-1,1,356,8
13,2,550,0.25492030872110116,0.998590886592865,shapley_mean,-1,2,550,8
12,3,716,0.31634999261845675,0.9689005613327026,shapley_mean,-1,3,716,8
11,4,1274,0.31307193707894887,0.9609414935112,shapley_mean,-1,4,1274,8
10,5,1858,0.30924083310276185,0.9584282040596008,shapley_mean,-1,5,1858,8
9,6,2441,0.33522258547853645,0.9475657939910889,shapley_mean,-1,6,2441,8
8,7,2614,0.35483744004529777,0.9420682191848755,shapley_mean,-1,7,2614,8
7,8,3692,0.3896388326177185,0.9172695279121399,shapley_mean,-1,8,3692,8
6,9,3894,0.39198611467097916,0.916172444820404,shapley_mean,-1,9,3894,8
5,10,4380,0.38395776306515333,0.9169040322303772,shapley_mean,-1,10,4380,8
4,11,4472,0.3838396149368689,0.9086124300956726,shapley_mean,-1,11,4472,8
3,12,4869,0.3912427739157236,0.9051798582077026,shapley_mean,-1,12,4869,8
2,13,4988,0.4033218331258907,0.9008046984672546,shapley_mean,-1,13,4988,8
1,14,5280,0.4270329726081055,0.8838343620300293,shapley_mean,-1,14,5280,8
0,15,5539,0.4384006125687498,0.88299560546875,shapley_mean,-1,15,5539,8
14,1,356,0.24220491197226918,1.0179357528686523,random_individual,0,1,356,8
13,2,550,0.2716314998517263,1.0069990158081055,random_individual,0,2,550,8
12,3,716,0.26823945173152297,1.0009486675262451,random_individual,0,3,716,8
11,4,1274,0.29194251709196695,0.9867618680000305,random_individual,0,4,1274,8
10,5,1858,0.2965371965321481,0.9716929793357849,random_individual,0,5,1858,8
9,6,2441,0.3131876452318085,0.9630900621414185,random_individual,0,6,2441,8
8,7,2614,0.31874243948635733,0.9602325558662415,random_individual,0,7,2614,8
7,8,3692,0.3413325473926426,0.9394386410713196,random_individual,0,8,3692,8
6,9,3894,0.37155263617141904,0.927183985710144,random_individual,0,9,3894,8
5,10,4380,0.39393240449342926,0.9162134528160095,random_individual,0,10,4380,8
4,11,4472,0.4221920964358653,0.9033747315406799,random_individual,0,11,4472,8
3,12,4869,0.4227493375688055,0.8957782983779907,random_individual,0,12,4869,8
2,13,4988,0.4202387412505994,0.8946918249130249,random_individual,0,13,4988,8
1,14,5280,0.4301645912997189,0.8890703916549683,random_individual,0,14,5280,8
0,15,5539,0.4384006125687498,0.88299560546875,random_individual,0,15,5539,8
14,1,356,0.16347767540030012,1.0311634540557861,random_individual,1,1,356,8
13,2,550,0.2624858643140535,1.004780888557434,random_individual,1,2,550,8
12,3,716,0.2926934959152267,0.9922322034835815,random_individual,1,3,716,8
11,4,1274,0.2657571764070166,0.9880813360214233,random_individual,1,4,1274,8
10,5,1858,0.34963805096141154,0.9538608193397522,random_individual,1,5,1858,8
9,6,2441,0.3702744486174521,0.9413750171661377,random_individual,1,6,2441,8
