target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
8,6,Indre Kvarøy,0.10313368751590932,0.00028970136942671156,356,1,1
8,4,Gjerøy,0.07106070405883426,0.00012734893200507931,558,2,4
8,13,Southern 3,0.06174018971149286,0.00010571950293063846,584,3,5
8,5,Hestmannøy,0.04720328576024008,4.3787834656994506e-05,1078,4,8
8,3,Selvær,0.04098753857431927,0.00021127597203257354,194,5,2
8,11,Southern 1,0.03283073636003664,5.631344144088617e-05,583,6,6
8,9,Sleneset,0.031855987090722265,0.00019190353669109797,166,7,3
8,10,Aldra,0.00957105095361912,5.532399395155561e-05,173,8,7
8,15,Southern 5,0.0008372561862594686,4.1448326052448934e-06,202,9,9
8,1,Myken,-0.002133162427837845,-2.318654812867223e-05,92,10,11
8,14,Southern 4,-0.0022890323647442004,-4.709943137333746e-06,486,11,10
8,0,Nesøy,-0.01555063306622383,-0.0001306775887917969,119,12,13
8,12,Southern 2,-0.027502556065487873,-6.927595986268985e-05,397,13,12
8,2,Træna,-0.059570164405537536,-0.0002040074123477313,292,14,14
8,7,Onøy og Lurøy,-0.08052797015099838,-0.00031091880367180844,259,15,15
