n_permutations,cal_fraction,best_n_removed,best_n_removed_mean,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,0.05,0,5.3,15,0.18535122398548756,-0.0201739876678264,0.20552521165331394,10
10,0.1,0,7.1,15,0.16904751065851165,0.3044975276575738,-0.13545001699906217,10
10,0.15,6,4.5,9,0.1844141778007004,0.14326073373322545,0.04115344406747497,10
10,0.2,0,4.7,15,0.19627651507659363,0.12141378040585904,0.0748627346707346,10
10,0.25,9,7.3,6,0.19034794227515603,0.17554647638785154,0.014801465887304485,10
25,0.05,0,5.8,15,0.18601467073090514,-0.0201739876678264,0.20618865839873152,10
25,0.1,0,5.5,15,0.16835059516990702,0.3044975276575738,-0.1361469324876668,10
25,0.15,6,4.7,9,0.183692865470295,0.14326073373322545,0.040432131737069554,10
25,0.2,0,4.8,15,0.19487638347553285,0.12141378040585904,0.07346260306967381,10
25,0.25,9,8.0,6,0.18690158115996308,0.17554647638785154,0.01135510477211155,10
50,0.05,0,5.9,15,0.18470009148410083,-0.0201739876678264,0.20487407915192724,10
50,0.1,0,5.6,15,0.1669242641254675,0.3044975276575738,-0.13757326353210636,10
50,0.15,0,4.9,15,0.18231154875389094,0.14326073373322545,0.039050815020665465,10
50,0.2,0,4.9,15,0.19315155371669465,0.12141378040585904,0.07173777331083561,10
50,0.25,10,7.2,5,0.1860320900103387,0.17554647638785154,0.010485613622487169,10
75,0.05,4,5.9,11,0.18226395399234288,-0.0201739876678264,0.2024379416601693,10
75,0.1,0,5.4,15,0.1669582122629779,0.3044975276575738,-0.1375393153945959,10
75,0.15,1,5.8,14,0.18252503031143824,0.14326073373322545,0.03926429657821277,10
75,0.2,9,5.6,6,0.1985100265084854,0.12141378040585904,0.07709624610262636,10
75,0.25,10,7.2,5,0.1860320900103387,0.17554647638785154,0.010485613622487169,10
100,0.05,0,4.5,15,0.18091749599196563,-0.0201739876678264,0.20109148365979204,10
100,0.1,0,5.6,15,0.1669242641254675,0.3044975276575738,-0.13757326353210636,10
100,0.15,1,5.8,14,0.18252503031143824,0.14326073373322545,0.03926429657821277,10
100,0.2,9,5.5,6,0.19614699246742617,0.12141378040585904,0.07473321206156713,10
100,0.25,10,7.2,5,0.1860320900103387,0.17554647638785154,0.010485613622487169,10
