n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,356,0.1235935770623744,0.994083046913147,shapley_mean,-1,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.161341196969279,0.9876309037208556,shapley_mean,-1,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.2063356052872785,0.9790915846824646,shapley_mean,-1,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.1493706458203037,0.9882717728614808,shapley_mean,-1,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.1748293944034483,0.9713298678398132,shapley_mean,-1,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1852111356333428,0.967717707157135,shapley_mean,-1,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1909394997849342,0.9645600318908693,shapley_mean,-1,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.2068650171085974,0.9599550366401672,shapley_mean,-1,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.212772088899116,0.9591273069381714,shapley_mean,-1,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1571477864176798,0.9725497961044312,shapley_mean,-1,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.165534884528468,0.9679300785064696,shapley_mean,-1,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1745709657015617,0.964829444885254,shapley_mean,-1,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1558285356704659,0.9696468114852904,shapley_mean,-1,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1680452311161921,0.9664068222045898,shapley_mean,-1,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1809296264514658,0.9624281525611876,shapley_mean,-1,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.0380744744497427,1.0136018991470337,random_individual,0,1,356,9,Sleneset,0,241518388,10,0.05
