target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
9,Sleneset,0,241518388,10,0.05,-0.2326755793210771,15
9,Sleneset,5,1710782713,10,0.05,0.6544119529052945,15
9,Sleneset,0,241518388,25,0.05,-0.2326755793210771,15
9,Sleneset,5,1710782713,25,0.05,0.6544119529052945,15
9,Sleneset,0,241518388,50,0.05,-0.2326755793210771,15
9,Sleneset,5,1710782713,50,0.05,0.6544119529052945,15
9,Sleneset,0,241518388,75,0.05,-0.2326755793210771,15
9,Sleneset,5,1710782713,75,0.05,0.6544119529052945,15
9,Sleneset,0,241518388,100,0.05,-0.2326755793210771,15
9,Sleneset,5,1710782713,100,0.05,0.6544119529052945,15
9,Sleneset,0,1984416142,10,0.1,0.5651866054594036,15
9,Sleneset,5,1361014711,10,0.1,0.3351301588199007,15
9,Sleneset,0,1984416142,25,0.1,0.5651866054594036,15
9,Sleneset,5,1361014711,25,0.1,0.3351301588199007,15
9,Sleneset,0,1984416142,50,0.1,0.5651866054594036,15
9,Sleneset,5,1361014711,50,0.1,0.3351301588199007,15
9,Sleneset,0,1984416142,75,0.1,0.5651866054594036,15
9,Sleneset,5,1361014711,75,0.1,0.3351301588199007,15
9,Sleneset,0,1984416142,100,0.1,0.5651866054594036,15
9,Sleneset,5,1361014711,100,0.1,0.3351301588199007,15
9,Sleneset,0,255766253,10,0.15,0.4246690194948573,15
9,Sleneset,5,372114520,10,0.15,0.3897152796441758,15
9,Sleneset,0,255766253,25,0.15,0.4246690194948573,15
9,Sleneset,5,372114520,25,0.15,0.3897152796441758,15
9,Sleneset,0,255766253,50,0.15,0.4246690194948573,15
9,Sleneset,5,372114520,50,0.15,0.3897152796441758,15
9,Sleneset,0,255766253,75,0.15,0.4246690194948573,15
9,Sleneset,5,372114520,75,0.15,0.3897152796441758,15
9,Sleneset,0,255766253,100,0.15,0.4246690194948573,15
9,Sleneset,5,372114520,100,0.15,0.3897152796441758,15
9,Sleneset,0,2016571839,10,0.2,0.0082526917779795,15
9,Sleneset,5,2066274375,10,0.2,-0.03885681583414,15
9,Sleneset,0,2016571839,25,0.2,0.0082526917779795,15
9,Sleneset,5,2066274375,25,0.2,-0.03885681583414,15
9,Sleneset,0,2016571839,50,0.2,0.0082526917779795,15
9,Sleneset,5,2066274375,50,0.2,-0.03885681583414,15
9,Sleneset,0,2016571839,75,0.2,0.0082526917779795,15
9,Sleneset,5,2066274375,75,0.2,-0.03885681583414,15
9,Sleneset,0,2016571839,100,0.2,0.0082526917779795,15
9,Sleneset,5,2066274375,100,0.2,-0.03885681583414,15
9,Sleneset,0,769669292,10,0.25,0.1608248322391468,15
9,Sleneset,5,601122821,10,0.25,0.0578795666158343,15
9,Sleneset,0,769669292,25,0.25,0.1608248322391468,15
9,Sleneset,5,601122821,25,0.25,0.0578795666158343,15
9,Sleneset,0,769669292,50,0.25,0.1608248322391468,15
9,Sleneset,5,601122821,50,0.25,0.0578795666158343,15
9,Sleneset,0,769669292,75,0.25,0.1608248322391468,15
9,Sleneset,5,601122821,75,0.25,0.0578795666158343,15
9,Sleneset,0,769669292,100,0.25,0.1608248322391468,15
9,Sleneset,5,601122821,100,0.25,0.0578795666158343,15
9,Sleneset,1,1754052153,10,0.05,-0.3071889526591418,15
9,Sleneset,6,1865072643,10,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,25,0.05,-0.3071889526591418,15
9,Sleneset,6,1865072643,25,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,50,0.05,-0.3071889526591418,15
9,Sleneset,6,1865072643,50,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,75,0.05,-0.3071889526591418,15
9,Sleneset,6,1865072643,75,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,100,0.05,-0.3071889526591418,15
9,Sleneset,6,1865072643,100,0.05,-0.2484219877175319,15
9,Sleneset,1,1932025211,10,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,10,0.1,0.0147857479559846,15
9,Sleneset,1,1932025211,25,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,25,0.1,0.0147857479559846,15
9,Sleneset,1,1932025211,50,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,50,0.1,0.0147857479559846,15
9,Sleneset,1,1932025211,75,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,75,0.1,0.0147857479559846,15
9,Sleneset,1,1932025211,100,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,100,0.1,0.0147857479559846,15
9,Sleneset,1,955028508,10,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,10,0.15,-0.003251645737445,15
9,Sleneset,1,955028508,25,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,25,0.15,-0.003251645737445,15
9,Sleneset,1,955028508,50,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,50,0.15,-0.003251645737445,15
9,Sleneset,1,955028508,75,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,75,0.15,-0.003251645737445,15
9,Sleneset,1,955028508,100,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,100,0.15,-0.003251645737445,15
9,Sleneset,1,496993741,10,0.2,0.0618676829462319,15
9,Sleneset,6,415792347,10,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,25,0.2,0.0618676829462319,15
9,Sleneset,6,415792347,25,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,50,0.2,0.0618676829462319,15
9,Sleneset,6,415792347,50,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,75,0.2,0.0618676829462319,15
9,Sleneset,6,415792347,75,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,100,0.2,0.0618676829462319,15
9,Sleneset,6,415792347,100,0.2,0.2805374850252104,15
9,Sleneset,1,1497660586,10,0.25,0.0982195911077856,15
9,Sleneset,6,48246296,10,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,25,0.25,0.0982195911077856,15
9,Sleneset,6,48246296,25,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,50,0.25,0.0982195911077856,15
9,Sleneset,6,48246296,50,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,75,0.25,0.0982195911077856,15
9,Sleneset,6,48246296,75,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,100,0.25,0.0982195911077856,15
9,Sleneset,6,48246296,100,0.25,0.1454310733391493,15
