n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,92,0.1452802981708211,1.0812199115753174,shapley_mean,-1,1,92,9
13,2,211,0.1846186236687671,1.0508073568344116,shapley_mean,-1,2,211,9
12,3,413,0.15839478814325586,1.063443660736084,shapley_mean,-1,3,413,9
11,4,769,0.20200350021870817,1.041841745376587,shapley_mean,-1,4,769,9
10,5,1847,0.11873862272717654,1.065053105354309,shapley_mean,-1,5,1847,9
9,6,2020,0.13090870773808452,1.062678337097168,shapley_mean,-1,6,2020,9
8,7,2604,0.1349968233164837,1.056107997894287,shapley_mean,-1,7,2604,9
7,8,3090,0.15157292883607998,1.0506036281585693,shapley_mean,-1,8,3090,9
6,9,3349,0.1877800636655557,1.0354015827178955,shapley_mean,-1,9,3349,9
5,10,3932,0.19167427644952637,1.0302417278289795,shapley_mean,-1,10,3932,9
4,11,4329,0.18134103165729562,1.0355339050292969,shapley_mean,-1,11,4329,9
3,12,4523,0.19680155646532774,1.0265053510665894,shapley_mean,-1,12,4523,9
2,13,4681,0.21314054875977118,1.0111761093139648,shapley_mean,-1,13,4681,9
1,14,4973,0.1866293938358938,1.0190562009811401,shapley_mean,-1,14,4973,9
0,15,5531,0.16099775550109788,1.0260735750198364,shapley_mean,-1,15,5531,9
14,1,92,6.181786184267552e-05,1.0757230520248413,random_individual,0,1,92,9
13,2,211,0.02854466762729518,1.0585993528366089,random_individual,0,2,211,9
12,3,413,0.09207160791488783,1.0910300016403198,random_individual,0,3,413,9
11,4,769,0.14347603908457307,1.095430612564087,random_individual,0,4,769,9
10,5,1847,0.1225910767240718,1.0675616264343262,random_individual,0,5,1847,9
9,6,2020,0.12933697666422975,1.0661346912384033,random_individual,0,6,2020,9
8,7,2604,0.1093107801824489,1.0680309534072876,random_individual,0,7,2604,9
7,8,3090,0.1119636144192299,1.0576341152191162,random_individual,0,8,3090,9
6,9,3349,0.1044029976010183,1.0510351657867432,random_individual,0,9,3349,9
5,10,3932,0.12416422398941492,1.0503555536270142,random_individual,0,10,3932,9
4,11,4329,0.12346120385069977,1.0466173887252808,random_individual,0,11,4329,9
3,12,4523,0.15691869550505982,1.0305044651031494,random_individual,0,12,4523,9
2,13,4681,0.16830090841780387,1.0233771800994873,random_individual,0,13,4681,9
1,14,4973,0.13903243786415176,1.0318245887756348,random_individual,0,14,4973,9
0,15,5531,0.16099775550109788,1.0260735750198364,random_individual,0,15,5531,9
14,1,92,-0.03522937653993899,1.0808247327804565,random_individual,1,1,92,9
13,2,211,-0.06152963292019378,1.0748481750488281,random_individual,1,2,211,9
12,3,413,-0.06310169014115992,1.09884512424469,random_individual,1,3,413,9
11,4,769,0.03476488908512977,1.0972063541412354,random_individual,1,4,769,9
10,5,1847,0.1012950228823291,1.0630557537078857,random_individual,1,5,1847,9
9,6,2020,0.11169914737147137,1.0632327795028687,random_individual,1,6,2020,9
8,7,2604,0.10501822104504069,1.0530117750167847,random_individual,1,7,2604,9
7,8,3090,0.13943734864327914,1.038028359413147,random_individual,1,8,3090,9
6,9,3349,0.1093905382354288,1.0441087484359741,random_individual,1,9,3349,9
