target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
9,Sleneset,1,1754052153,10,0.05,-0.30718895265914187,15
9,Sleneset,6,1865072643,10,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,25,0.05,-0.30718895265914187,15
9,Sleneset,6,1865072643,25,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,50,0.05,-0.30718895265914187,15
9,Sleneset,6,1865072643,50,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,75,0.05,-0.30718895265914187,15
9,Sleneset,6,1865072643,75,0.05,-0.2484219877175319,15
9,Sleneset,1,1754052153,100,0.05,-0.30718895265914187,15
9,Sleneset,6,1865072643,100,0.05,-0.2484219877175319,15
9,Sleneset,1,1932025211,10,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,10,0.1,0.01478574795598464,15
9,Sleneset,1,1932025211,25,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,25,0.1,0.01478574795598464,15
9,Sleneset,1,1932025211,50,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,50,0.1,0.01478574795598464,15
9,Sleneset,1,1932025211,75,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,75,0.1,0.01478574795598464,15
9,Sleneset,1,1932025211,100,0.1,0.4102681957795196,15
9,Sleneset,6,964477336,100,0.1,0.01478574795598464,15
9,Sleneset,1,955028508,10,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,10,0.15,-0.003251645737445058,15
9,Sleneset,1,955028508,25,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,25,0.15,-0.003251645737445058,15
9,Sleneset,1,955028508,50,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,50,0.15,-0.003251645737445058,15
9,Sleneset,1,955028508,75,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,75,0.15,-0.003251645737445058,15
9,Sleneset,1,955028508,100,0.15,-0.1591251717811451,15
9,Sleneset,6,1764305409,100,0.15,-0.003251645737445058,15
9,Sleneset,1,496993741,10,0.2,0.06186768294623196,15
9,Sleneset,6,415792347,10,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,25,0.2,0.06186768294623196,15
9,Sleneset,6,415792347,25,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,50,0.2,0.06186768294623196,15
9,Sleneset,6,415792347,50,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,75,0.2,0.06186768294623196,15
9,Sleneset,6,415792347,75,0.2,0.2805374850252104,15
9,Sleneset,1,496993741,100,0.2,0.06186768294623196,15
9,Sleneset,6,415792347,100,0.2,0.2805374850252104,15
9,Sleneset,1,1497660586,10,0.25,0.09821959110778564,15
9,Sleneset,6,48246296,10,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,25,0.25,0.09821959110778564,15
9,Sleneset,6,48246296,25,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,50,0.25,0.09821959110778564,15
9,Sleneset,6,48246296,50,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,75,0.25,0.09821959110778564,15
9,Sleneset,6,48246296,75,0.25,0.1454310733391493,15
9,Sleneset,1,1497660586,100,0.25,0.09821959110778564,15
9,Sleneset,6,48246296,100,0.25,0.1454310733391493,15
