n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,194,0.0911548493053221,1.1090893745422363,shapley_mean,-1,1,194,9,Sleneset,3,36289244,10,0.05
13,2,453,0.06025410726440559,1.1134600639343262,shapley_mean,-1,2,453,9,Sleneset,3,36289244,10,0.05
12,3,572,0.10900707382235772,1.1073133945465088,shapley_mean,-1,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,0.14740539852476592,1.0888373851776123,shapley_mean,-1,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,0.16113633592353227,1.0860482454299927,shapley_mean,-1,5,903,9,Sleneset,3,36289244,10,0.05
9,6,1487,0.17057662947588892,1.0855944156646729,shapley_mean,-1,6,1487,9,Sleneset,3,36289244,10,0.05
8,7,1884,0.1612886461089782,1.0881308317184448,shapley_mean,-1,7,1884,9,Sleneset,3,36289244,10,0.05
7,8,2467,0.17022280733324402,1.0852129459381104,shapley_mean,-1,8,2467,9,Sleneset,3,36289244,10,0.05
6,9,2759,0.1433677948143845,1.0898874998092651,shapley_mean,-1,9,2759,9,Sleneset,3,36289244,10,0.05
5,10,2851,0.15668856855597224,1.086654782295227,shapley_mean,-1,10,2851,9,Sleneset,3,36289244,10,0.05
4,11,3337,0.17501682901130539,1.0813102722167969,shapley_mean,-1,11,3337,9,Sleneset,3,36289244,10,0.05
3,12,3539,0.1822148400444554,1.0796749591827393,shapley_mean,-1,12,3539,9,Sleneset,3,36289244,10,0.05
2,13,4617,0.1500299308557068,1.08058500289917,shapley_mean,-1,13,4617,9,Sleneset,3,36289244,10,0.05
1,14,5175,0.10286692244016235,1.091658592224121,shapley_mean,-1,14,5175,9,Sleneset,3,36289244,10,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,shapley_mean,-1,15,5531,9,Sleneset,3,36289244,10,0.05
14,1,194,0.14363458115361347,1.1017944812774658,random_individual,0,1,194,9,Sleneset,3,36289244,10,0.05
13,2,453,0.06521091649139113,1.1117398738861084,random_individual,0,2,453,9,Sleneset,3,36289244,10,0.05
12,3,572,0.06890697215639478,1.1099655628204346,random_individual,0,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,-0.0018964445697782755,1.1162042617797852,random_individual,0,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,0.05243317841750688,1.1085407733917236,random_individual,0,5,903,9,Sleneset,3,36289244,10,0.05
9,6,1487,0.06158934355678935,1.1045440435409546,random_individual,0,6,1487,9,Sleneset,3,36289244,10,0.05
8,7,1884,0.10364745779348593,1.0963507890701294,random_individual,0,7,1884,9,Sleneset,3,36289244,10,0.05
7,8,2467,0.05484426613981568,1.105877161026001,random_individual,0,8,2467,9,Sleneset,3,36289244,10,0.05
6,9,2759,0.03624156958897588,1.1099892854690552,random_individual,0,9,2759,9,Sleneset,3,36289244,10,0.05
5,10,2851,0.019395691840300107,1.1140273809432983,random_individual,0,10,2851,9,Sleneset,3,36289244,10,0.05
4,11,3337,0.09152938478573344,1.0960750579833984,random_individual,0,11,3337,9,Sleneset,3,36289244,10,0.05
3,12,3539,0.0828384125752865,1.0978959798812866,random_individual,0,12,3539,9,Sleneset,3,36289244,10,0.05
2,13,4617,0.11699829679518141,1.0871232748031616,random_individual,0,13,4617,9,Sleneset,3,36289244,10,0.05
1,14,5175,0.13517278896496546,1.0790536403656006,random_individual,0,14,5175,9,Sleneset,3,36289244,10,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,0,15,5531,9,Sleneset,3,36289244,10,0.05
14,1,194,0.09953243477600471,1.1106477975845337,random_individual,1,1,194,9,Sleneset,3,36289244,10,0.05
13,2,453,0.10975380711419067,1.0993561744689941,random_individual,1,2,453,9,Sleneset,3,36289244,10,0.05
12,3,572,0.07687817896494357,1.1050597429275513,random_individual,1,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,0.05667961444922445,1.1075955629348755,random_individual,1,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,0.06513197125017467,1.1067460775375366,random_individual,1,5,903,9,Sleneset,3,36289244,10,0.05
