target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
9,6,Indre Kvarøy,0.07451455734256723,0.00020931055433305403,356,1,5
9,15,Southern 5,0.06420186604448093,0.00031783102002218283,202,2,2
9,8,Lovund,0.04784924047981712,0.0003028432941760577,158,3,3
9,7,Onøy og Lurøy,0.047253346523463094,0.0001824453533724444,259,4,6
9,0,Nesøy,0.04710108434680934,0.00039580743148579276,119,5,1
9,10,Aldra,0.044604627775304974,0.000257830218354364,173,6,4
9,4,Gjerøy,0.0436549323388435,7.823464576853674e-05,558,7,7
9,5,Hestmannøy,0.036023277610077085,3.3416769582631806e-05,1078,8,8
9,12,Southern 2,0.008368065640546995,2.107825098374558e-05,397,9,9
9,14,Southern 4,0.0030742119668203116,6.325539026379242e-06,486,10,10
9,2,Træna,-0.013058611848447001,-4.472127345358562e-05,292,11,12
9,11,Southern 1,-0.014064293621594502,-2.41240027814657e-05,583,12,11
9,1,Myken,-0.014870633540381832,-0.00016163732109110687,92,13,14
9,13,Southern 3,-0.032293500838391595,-5.5297090476697934e-05,584,14,13
9,3,Selvær,-0.057458914553809116,-0.0002961799719268511,194,15,15
