permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,0.08450068762564672,2,Nesøy,9
1,1,-0.04076167726484467,14,Myken,9
1,2,-0.014034935789684427,10,Træna,9
1,3,-0.052205867047023846,15,Selvær,9
1,4,0.06737751031391206,3,Gjerøy,9
1,5,0.02438100324380349,8,Hestmannøy,9
1,6,0.05097205675943292,4,Indre Kvarøy,9
1,7,0.04221474351881602,6,Onøy og Lurøy,9
1,8,0.006123776611425713,9,Lovund,9
1,10,0.10857939563022181,1,Aldra,9
1,11,-0.020390388760475886,11,Southern 1,9
1,12,-0.022854818555009954,12,Southern 2,9
1,13,-0.030181316091821342,13,Southern 3,9
1,14,0.05028893276371491,5,Southern 4,9
1,15,0.030890152707993,7,Southern 5,9
2,0,0.0538543869232978,3,Nesøy,9
2,1,-0.026042262359336002,14,Myken,9
2,2,-0.008219376623462282,11,Træna,9
2,3,-0.038064960094525424,15,Selvær,9
2,4,0.04482740088300852,5,Gjerøy,9
2,5,0.014734087006277194,9,Hestmannøy,9
2,6,0.048243867773484994,4,Indre Kvarøy,9
2,7,0.04131924292292567,6,Onøy og Lurøy,9
2,8,0.08384595527426457,1,Lovund,9
2,10,0.0629337993424021,2,Aldra,9
2,11,-0.011295096394511941,12,Southern 1,9
2,12,-0.006544836658925204,10,Southern 2,9
2,13,-0.02510128291569841,13,Southern 3,9
2,14,0.02333298829785792,8,Southern 4,9
2,15,0.02707534228904701,7,Southern 5,9
3,0,0.06406982049074744,1,Nesøy,9
3,1,-0.02273172142336367,14,Myken,9
3,2,-0.0038256498133331465,11,Træna,9
3,3,-0.04671868230911661,15,Selvær,9
3,4,0.05352402765798513,3,Gjerøy,9
3,5,0.008741362332290142,9,Hestmannøy,9
3,6,0.0478389706186881,5,Indre Kvarøy,9
3,7,0.045436722888844684,6,Onøy og Lurøy,9
3,8,0.05177180168304982,4,Lovund,9
3,10,0.05519844337836869,2,Aldra,9
3,11,-0.009729392377689244,12,Southern 1,9
3,12,-0.00015844204125213998,10,Southern 2,9
3,13,-0.02176856454103625,13,Southern 3,9
3,14,0.03231830311981025,7,Southern 4,9
3,15,0.03093225600211333,8,Southern 5,9
4,0,0.052644431347163734,2,Nesøy,9
4,1,-0.020039167980402936,13,Myken,9
4,2,-0.0013975798346147067,10,Træna,9
4,3,-0.0429375845541817,15,Selvær,9
4,4,0.048405456534597296,4,Gjerøy,9
4,5,-0.020095122713833694,14,Hestmannøy,9
4,6,0.05245669638117938,3,Indre Kvarøy,9
4,7,0.04431348756086523,6,Onøy og Lurøy,9
4,8,0.03691880738901234,7,Lovund,9
4,10,0.047851185712787264,5,Aldra,9
4,11,-0.009256289116582349,11,Southern 1,9
4,12,0.002081368643997425,9,Southern 2,9
4,13,-0.01969077617754849,12,Southern 3,9
4,14,0.0188352749630331,8,Southern 4,9
4,15,0.09480906751063464,1,Southern 5,9
5,0,0.056237833637723,4,Nesøy,9
5,1,-0.017555040418673996,12,Myken,9
5,2,-0.01500770011559791,11,Træna,9
5,3,-0.038899020752768985,15,Selvær,9
5,4,0.04099515910510485,6,Gjerøy,9
5,5,-0.020610539222028868,14,Hestmannøy,9
5,6,0.059732314974242695,3,Indre Kvarøy,9
5,7,0.04475634185336946,5,Onøy og Lurøy,9
5,8,0.03178240570292763,7,Lovund,9
5,10,0.06434415275381092,2,Aldra,9
5,11,-0.008724628162074649,10,Southern 1,9
5,12,0.0041879643540167375,9,Southern 2,9
5,13,-0.01792974996080165,13,Southern 3,9
5,14,0.008985099139673361,8,Southern 4,9
5,15,0.09260466277718392,1,Southern 5,9
6,0,0.054168461618624264,4,Nesøy,9
6,1,-0.015898955377521368,13,Myken,9
6,2,-0.014972413534279189,12,Træna,9
6,3,-0.04053486312612442,15,Selvær,9
6,4,0.04014874684838913,6,Gjerøy,9
6,5,-0.008585642309253105,10,Hestmannøy,9
6,6,0.07781840985073533,2,Indre Kvarøy,9
6,7,0.04419034771092455,5,Onøy og Lurøy,9
6,8,0.02848616054582752,7,Lovund,9
6,10,0.05964056402029191,3,Aldra,9
6,11,-0.009715230752044645,11,Southern 1,9
6,12,0.0041981159613036605,9,Southern 2,9
6,13,-0.021598635305124823,14,Southern 3,9
6,14,0.0060508826050061386,8,Southern 4,9
6,15,0.08150330690935158,1,Southern 5,9
7,0,0.04913217885025833,4,Nesøy,9
7,1,-0.01554320304916835,12,Myken,9
7,2,-0.021980958841279114,14,Træna,9
7,3,-0.039511324930219735,15,Selvær,9
7,4,0.03469592341634165,7,Gjerøy,9
7,5,-0.006497597300245973,10,Hestmannøy,9
7,6,0.07598605857156437,2,Indre Kvarøy,9
7,7,0.04357311560849282,5,Onøy og Lurøy,9
7,8,0.04272886222997225,6,Lovund,9
7,10,0.05463655891658341,3,Aldra,9
7,11,-0.008840066276946513,11,Southern 1,9
7,12,0.004047495658964991,9,Southern 2,9
7,13,-0.02067639748361646,13,Southern 3,9
7,14,0.004619678761475829,8,Southern 4,9
7,15,0.08852893153392902,1,Southern 5,9
8,0,0.04672318581307588,4,Nesøy,9
8,1,-0.015897314138648564,12,Myken,9
8,2,-0.01934060458289661,13,Træna,9
8,3,-0.04054555653629858,15,Selvær,9
8,4,0.036408564290967435,7,Gjerøy,9
8,5,-0.0013095203487104995,10,Hestmannøy,9
8,6,0.09312968524083756,1,Indre Kvarøy,9
8,7,0.041627868652571565,5,Onøy og Lurøy,9
8,8,0.03815322652765393,6,Lovund,9
8,10,0.052002735270295565,3,Aldra,9
8,11,-0.009144548752887411,11,Southern 1,9
8,12,0.003904637867510185,8,Southern 2,9
8,13,-0.02421056492915584,14,Southern 3,9
8,14,0.002494687160703746,9,Southern 4,9
8,15,0.08090277413108816,2,Southern 5,9
9,0,0.046434332000757576,4,Nesøy,9
9,1,-0.01498364121863858,12,Myken,9
9,2,-0.01783387394081369,13,Træna,9
9,3,-0.04096342083369691,15,Selvær,9
9,4,0.03303299089072851,7,Gjerøy,9
9,5,0.013560816878169981,8,Hestmannøy,9
9,6,0.08791127840597503,1,Indre Kvarøy,9
9,7,0.04162593022823957,5,Onøy og Lurøy,9
9,8,0.04048241725044399,6,Lovund,9
9,10,0.04906454246426953,3,Aldra,9
9,11,-0.008999263261817884,11,Southern 1,9
9,12,0.004289815870652627,9,Southern 2,9
9,13,-0.02676202018022431,14,Southern 3,9
9,14,0.0014964886706874635,10,Southern 4,9
9,15,0.07654286244137364,2,Southern 5,9
10,0,0.04453900663355911,4,Nesøy,9
10,1,-0.014247130113950545,12,Myken,9
10,2,-0.01487344681549975,13,Træna,9
10,3,-0.03947726971396297,15,Selvær,9
10,4,0.04447900503500266,5,Gjerøy,9
10,5,0.013889568991903778,8,Hestmannøy,9
10,6,0.0820694196058149,1,Indre Kvarøy,9
10,7,0.041299300007180594,6,Onøy og Lurøy,9
10,8,0.03963079546810798,7,Lovund,9
10,10,0.04608199224045278,3,Aldra,9
10,11,-0.008720021093308258,11,Southern 1,9
10,12,0.004285721683361192,9,Southern 2,9
10,13,-0.026030735013595912,14,Southern 3,9
10,14,0.0004848197967857196,10,Southern 4,9
10,15,0.07148822895425526,2,Southern 5,9
11,0,0.041806679288639376,4,Nesøy,9
11,1,-0.014622490264046866,13,Myken,9
11,2,-0.01363351602238005,12,Træna,9
11,3,-0.04235994651104489,15,Selvær,9
11,4,0.040985909940376215,5,Gjerøy,9
11,5,0.01731694586030083,8,Hestmannøy,9
11,6,0.09398447890762718,1,Indre Kvarøy,9
11,7,0.04072241631957337,6,Onøy og Lurøy,9
11,8,0.03903977504851374,7,Lovund,9
11,10,0.045723558425360175,3,Aldra,9
11,11,-0.00863204722386069,11,Southern 1,9
11,12,0.004158604488053213,9,Southern 2,9
11,13,-0.02676638261993364,14,Southern 3,9
11,14,-0.00034290928186116176,10,Southern 4,9
11,15,0.06751817931078975,2,Southern 5,9
12,0,0.04192546727970722,6,Nesøy,9
12,1,-0.01508331769218131,12,Myken,9
12,2,-0.01645619417385816,13,Træna,9
12,3,-0.042448147702471024,15,Selvær,9
12,4,0.043116144100682964,4,Gjerøy,9
12,5,0.017121035666879465,8,Hestmannøy,9
12,6,0.09046333363154226,1,Indre Kvarøy,9
12,7,0.04226503893694128,5,Onøy og Lurøy,9
12,8,0.03629677517875641,7,Lovund,9
12,10,0.05535087212433582,3,Aldra,9
12,11,-0.009085437472854332,11,Southern 1,9
12,12,0.0038903734296270435,9,Southern 2,9
12,13,-0.0284013536430118,14,Southern 3,9
12,14,-0.0015044045331422014,10,Southern 4,9
12,15,0.06744907053515291,2,Southern 5,9
13,0,0.040546403526338315,6,Nesøy,9
13,1,-0.01449078310390446,12,Myken,9
13,2,-0.01815134500636733,13,Træna,9
13,3,-0.0430204729674782,15,Selvær,9
13,4,0.04523635869373121,4,Gjerøy,9
13,5,0.02599814943813595,8,Hestmannøy,9
13,6,0.0888288272976818,1,Indre Kvarøy,9
13,7,0.04251040607168694,5,Onøy og Lurøy,9
13,8,0.03539606833218992,7,Lovund,9
13,10,0.05356659714411472,3,Aldra,9
13,11,-0.009254925427653098,11,Southern 1,9
13,12,0.005327257076444982,9,Southern 2,9
13,13,-0.029862722766085485,14,Southern 3,9
13,14,-0.0017197800294189703,10,Southern 4,9
13,15,0.06398921738669025,2,Southern 5,9
14,0,0.039330347478457255,7,Nesøy,9
14,1,-0.013999907894465443,12,Myken,9
14,2,-0.01665306762414692,13,Træna,9
14,3,-0.04159554515442198,15,Selvær,9
14,4,0.04344286343912195,5,Gjerøy,9
14,5,0.024777304820164638,8,Hestmannøy,9
14,6,0.08512629652874251,1,Indre Kvarøy,9
14,7,0.04216548326570081,6,Onøy og Lurøy,9
14,8,0.04371000406524543,4,Lovund,9
14,10,0.05180510735894447,3,Aldra,9
14,11,-0.009082931436740339,11,Southern 1,9
14,12,0.005815128560335223,9,Southern 2,9
14,13,-0.02947476413789148,14,Southern 3,9
14,14,-0.0018233587262678178,10,Southern 4,9
14,15,0.06135629512332821,2,Southern 5,9
15,0,0.03825553006129003,7,Nesøy,9
15,1,-0.013408777985612016,12,Myken,9
15,2,-0.015040349524330542,13,Træna,9
15,3,-0.042525700421295096,15,Selvær,9
15,4,0.04450086524928618,4,Gjerøy,9
15,5,0.024282976549661828,8,Hestmannøy,9
15,6,0.09415717663486983,1,Indre Kvarøy,9
15,7,0.041103843553099456,6,Onøy og Lurøy,9
15,8,0.0418894702774221,5,Lovund,9
15,10,0.04979792954022484,3,Aldra,9
15,11,-0.010928578197115879,11,Southern 1,9
15,12,0.005117109288107862,9,Southern 2,9
15,13,-0.03233405680134527,14,Southern 3,9
15,14,-0.00217849016127806,10,Southern 4,9
15,15,0.062210307603121275,2,Southern 5,9
16,0,0.037257232965863765,7,Nesøy,9
16,1,-0.015492553739756715,12,Myken,9
16,2,-0.01691181749074075,13,Træna,9
16,3,-0.0476483665040818,15,Selvær,9
16,4,0.046661205777512677,4,Gjerøy,9
16,5,0.025094097968221516,8,Hestmannøy,9
16,6,0.09216487648897222,1,Indre Kvarøy,9
16,7,0.041815073035694206,5,Onøy og Lurøy,9
16,8,0.03945493192051123,6,Lovund,9
16,10,0.05290931738415494,3,Aldra,9
16,11,-0.01081182273126656,11,Southern 1,9
16,12,0.005585686657231995,9,Southern 2,9
16,13,-0.03212112158611413,14,Southern 3,9
16,14,-0.009282116735284649,10,Southern 4,9
16,15,0.0762246322551886,2,Southern 5,9
17,0,0.03642308903603843,7,Nesøy,9
17,1,-0.015006542214805444,12,Myken,9
17,2,-0.01556839933228957,13,Træna,9
17,3,-0.04582079563087102,15,Selvær,9
17,4,0.044511175647706486,4,Gjerøy,9
17,5,0.02816654085815352,8,Hestmannøy,9
17,6,0.08934871849304987,1,Indre Kvarøy,9
17,7,0.04162101437671339,5,Onøy og Lurøy,9
17,8,0.03898644216463737,6,Lovund,9
17,10,0.05085914515809171,3,Aldra,9
17,11,-0.010529886843786333,11,Southern 1,9
17,12,0.006068461069845515,9,Southern 2,9
17,13,-0.03144442245092542,14,Southern 3,9
17,14,-0.005777937352990557,10,Southern 4,9
17,15,0.07306265268753859,2,Southern 5,9
18,0,0.03678063164739882,7,Nesøy,9
18,1,-0.014699913535803914,12,Myken,9
18,2,-0.0149935585844965,13,Træna,9
18,3,-0.044556944961638804,15,Selvær,9
18,4,0.043327623569684094,5,Gjerøy,9
18,5,0.026290187687330088,8,Hestmannøy,9
18,6,0.08616041831396619,1,Indre Kvarøy,9
18,7,0.041355433675687454,6,Onøy og Lurøy,9
18,8,0.045796536151996595,4,Lovund,9
18,10,0.04979990883266244,3,Aldra,9
18,11,-0.010734747734229737,11,Southern 1,9
18,12,0.006146865027836874,9,Southern 2,9
18,13,-0.030644686237480987,14,Southern 3,9
18,14,-0.005796636295591285,10,Southern 4,9
18,15,0.0706681381087852,2,Southern 5,9
19,0,0.036066287151269874,7,Nesøy,9
19,1,-0.01466775659447226,13,Myken,9
19,2,-0.01372721197681378,12,Træna,9
19,3,-0.043504410048821884,15,Selvær,9
19,4,0.04177196395197681,5,Gjerøy,9
19,5,0.023739477380715863,8,Hestmannøy,9
19,6,0.08325009259991364,1,Indre Kvarøy,9
19,7,0.041272620565886695,6,Onøy og Lurøy,9
19,8,0.046986995014960446,4,Lovund,9
19,10,0.05339739811754383,3,Aldra,9
19,11,-0.01198361643903328,11,Southern 1,9
19,12,0.006267708709562977,9,Southern 2,9
19,13,-0.030094958636481414,14,Southern 3,9
19,14,-0.0028447642398383268,10,Southern 4,9
