n_permutations,cal_fraction,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,0.05,2,13,0.2142845545596499,0.1756923404861491,0.0385922140735008,10
10,0.1,1,14,0.20624463492793543,0.24394414723322094,-0.03769951230528551,10
10,0.15,4,11,0.22181973734686133,0.30176347714802787,-0.07994373980116654,10
10,0.2,4,11,0.1926636611096208,0.28853306532291867,-0.09586940421329787,10
10,0.25,2,13,0.2068803088164532,0.23358741948926834,-0.026707110672815143,10
25,0.05,3,12,0.2127983553503005,0.1756923404861491,0.03710601486415141,10
25,0.1,1,14,0.20406263783855422,0.24394414723322094,-0.039881509394666725,10
25,0.15,6,9,0.22417843394762685,0.30176347714802787,-0.07758504320040102,10
25,0.2,4,11,0.1961139713078916,0.28853306532291867,-0.09241909401502707,10
25,0.25,2,13,0.20952520315284495,0.23358741948926834,-0.024062216336423387,10
50,0.05,1,14,0.21038177669069094,0.1756923404861491,0.034689436204541846,10
50,0.1,3,12,0.2118698740859181,0.24394414723322094,-0.03207427314730285,10
50,0.15,6,9,0.23029715575017465,0.30176347714802787,-0.07146632139785322,10
50,0.2,4,11,0.19945250722027102,0.28853306532291867,-0.08908055810264764,10
50,0.25,2,13,0.20952520315284495,0.23358741948926834,-0.024062216336423387,10
