n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,158,0.008203215727984117,1.279977798461914,shapley_mean,-1,0
2,250,0.09457584835595713,1.2705490589141846,shapley_mean,-1,0
3,416,0.14786665164182777,1.2609944343566895,shapley_mean,-1,0
4,708,0.10438579925043719,1.2674274444580078,shapley_mean,-1,0
5,910,0.09256125556639144,1.2704322338104248,shapley_mean,-1,0
6,1494,0.03194235158144848,1.2784552574157715,shapley_mean,-1,0
7,2572,0.10679286175249478,1.297472596168518,shapley_mean,-1,0
8,2928,0.1392385672117286,1.282715916633606,shapley_mean,-1,0
9,3486,0.2012136531897749,1.2703872919082642,shapley_mean,-1,0
10,4069,0.2005403901242024,1.2655072212219238,shapley_mean,-1,0
11,4555,0.20206457463470917,1.2633119821548462,shapley_mean,-1,0
12,4814,0.16943257923697722,1.279853343963623,shapley_mean,-1,0
13,5211,0.1808686162954935,1.2794300317764282,shapley_mean,-1,0
14,5405,0.19047673908712465,1.2704473733901978,shapley_mean,-1,0
15,5578,0.20352806433023254,1.2622796297073364,shapley_mean,-1,0
1,158,0.11371789411861455,1.2666757106781006,random_individual,0,0
2,250,0.03650245425260739,1.276991605758667,random_individual,0,0
3,416,0.05619887319724611,1.274282693862915,random_individual,0,0
4,708,0.07249592472921154,1.274571180343628,random_individual,0,0
5,910,-0.007165755434274209,1.28758704662323,random_individual,0,0
6,1494,0.12011326957691427,1.2731562852859497,random_individual,0,0
7,2572,0.10964478892568233,1.2817670106887817,random_individual,0,0
8,2928,0.19892263192890564,1.2660553455352783,random_individual,0,0
9,3486,0.19706488022246113,1.272110104560852,random_individual,0,0
10,4069,0.251171070598601,1.251474380493164,random_individual,0,0
11,4555,0.2156056596400686,1.2596931457519531,random_individual,0,0
12,4814,0.19745658519713705,1.2699236869812012,random_individual,0,0
13,5211,0.17655206871531254,1.2713909149169922,random_individual,0,0
14,5405,0.1808846852119098,1.2689746618270874,random_individual,0,0
15,5578,0.20352806433023254,1.2622796297073364,random_individual,0,0
1,158,0.06832921498917124,1.267325758934021,random_individual,1,0
2,250,0.09904055291004538,1.259283423423767,random_individual,1,0
