target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
0,8,Lovund,0.11485734849272095,0.0007269452436248161,158,1,1
0,2,Træna,0.08133340894460109,0.00027853907172808594,292,2,4
0,13,Southern 3,0.07107405390712088,0.00012170214710123437,584,3,6
0,5,Hestmannøy,0.06887352343649386,6.389009595222066e-05,1078,4,7
0,1,Myken,0.06438336154441467,0.0006998191472218986,92,5,2
0,9,Sleneset,0.05775730447885197,0.00034793556914971066,166,6,3
0,15,Southern 5,0.032789783778865184,0.00016232566227160981,202,7,5
0,6,Indre Kvarøy,0.01840786563980726,5.170748775226759e-05,356,8,8
0,4,Gjerøy,-0.017489937055539605,-3.134397321781291e-05,558,9,9
0,11,Southern 1,-0.02049304093347842,-3.515101360802474e-05,583,10,10
0,14,Southern 4,-0.020891578821202607,-4.298678769794775e-05,486,11,11
0,7,Onøy og Lurøy,-0.030431189406129558,-0.00011749493979200601,259,12,12
0,3,Selvær,-0.04273153183739946,-0.00022026562802783227,194,13,14
0,12,Southern 2,-0.059893588158010214,-0.00015086546135518946,397,14,13
0,10,Aldra,-0.08712700438295257,-0.0005036243027916333,173,15,15
