n_permutations,cal_fraction,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,v_full_mean,gain_over_baseline,n_runs
10,0.05,3,12,0.098535391529114,0.09124765013387937,0.008813948578129994,0.007287741395234637,10
10,0.1,2,13,0.1027894204759496,0.09149260545417351,0.11669682706903424,0.011296815021776097,10
10,0.15,7,8,0.1077032218430315,0.08401730713278815,0.12897397510812703,0.02368591471024334,10
10,0.2,6,9,0.13871833179955634,0.10254757691859648,0.023621495448607633,0.03617075488095986,10
10,0.25,5,10,0.11968435773686996,0.08425357512075819,0.09574262063030299,0.03543078261611177,10
20,0.05,5,10,0.09746030947965063,0.09124765013387937,0.008813948578129994,0.006212659345771268,10
20,0.1,2,13,0.10044807248528528,0.09149260545417351,0.11669682706903424,0.008955467031111775,10
20,0.15,7,8,0.1068849150494587,0.08401730713278815,0.12897397510812703,0.022867607916670543,10
20,0.2,7,8,0.13630577990168272,0.10254757691859648,0.023621495448607633,0.03375820298308624,10
20,0.25,6,9,0.12081894925679179,0.08425357512075819,0.09574262063030299,0.0365653741360336,10
40,0.05,4,11,0.09921724274556824,0.09124765013387937,0.008813948578129994,0.007969592611688878,10
40,0.1,2,13,0.1027894204759496,0.09149260545417351,0.11669682706903424,0.011296815021776097,10
40,0.15,7,8,0.10872094527837359,0.08401730713278815,0.12897397510812703,0.024703638145585433,10
40,0.2,7,8,0.13732900453238292,0.10254757691859648,0.023621495448607633,0.03478142761378644,10
40,0.25,6,9,0.12162345300821371,0.08425357512075819,0.09574262063030299,0.03736987788745552,10
60,0.05,4,11,0.09921724274556824,0.09124765013387937,0.008813948578129994,0.007969592611688878,10
60,0.1,2,13,0.10350852857632689,0.09149260545417351,0.11669682706903424,0.012015923122153382,10
60,0.15,7,8,0.10872094527837359,0.08401730713278815,0.12897397510812703,0.024703638145585433,10
60,0.2,7,8,0.13732900453238292,0.10254757691859648,0.023621495448607633,0.03478142761378644,10
60,0.25,6,9,0.12095638566037352,0.08425357512075819,0.09574262063030299,0.03670281053961533,10
