n_permutations,cal_fraction,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,0.05,random_individual,0,0.09124765013387937,0.03402750703708685,1.4809626340866089,0.060159560004026426,50
10,0.05,random_individual,1,0.09058951806372882,0.03296065390234069,1.4812002205848693,0.05923385012969239,50
10,0.05,random_individual,2,0.09018882944491548,0.03623521799788964,1.4815326046943664,0.059198527884988396,50
10,0.05,random_individual,3,0.09115958160730132,0.03483907637189941,1.4810485768318176,0.05972861356016948,50
10,0.05,random_individual,4,0.09046364556395364,0.03615055605175889,1.4812999701499938,0.060437523311498174,50
10,0.05,random_individual,5,0.09018768141459488,0.035278615848463986,1.481407265663147,0.06093051551749118,50
10,0.05,random_individual,6,0.08586305248089784,0.039935480514653156,1.4831159138679504,0.06191804568626365,50
10,0.05,random_individual,7,0.07885835240384564,0.042503453787996456,1.485153889656067,0.0627118457574245,50
10,0.05,random_individual,8,0.07582504351179199,0.04112370515380905,1.4862578511238098,0.06129455718403195,50
10,0.05,random_individual,9,0.06702246671705173,0.04836355586874319,1.4886084008216858,0.0630956847548917,50
10,0.05,random_individual,10,0.06953027417576343,0.051102257900072126,1.487736895084381,0.0629206301501732,50
10,0.05,random_individual,11,0.0641784179919877,0.050915367985807494,1.4903112363815307,0.06250709841021582,50
10,0.05,random_individual,12,0.05672422479333806,0.05639113997431766,1.4926770782470704,0.0626237058187736,50
10,0.05,random_individual,13,0.035490196671452694,0.05953968203125452,1.4975874209403992,0.06262545604396975,50
10,0.05,random_individual,14,0.023690655458167512,0.0567885934471858,1.5032690072059631,0.06506712067817637,50
10,0.05,shapley_mean,0,0.09124765013387937,0.035507648791896704,1.4809626340866089,0.06277640397722435,10
10,0.05,shapley_mean,1,0.089672676977708,0.034050125642604144,1.4823786973953248,0.06205567080564289,10
10,0.05,shapley_mean,2,0.09556702971555459,0.028025528379503492,1.480469858646393,0.06045045952979708,10
10,0.05,shapley_mean,3,0.098535391529114,0.03775997601712856,1.480119252204895,0.06282254399185912,10
10,0.05,shapley_mean,4,0.0937657975531812,0.045841451829527396,1.4814900279045105,0.06221723837838494,10
10,0.05,shapley_mean,5,0.09268033030111023,0.050994527529889526,1.481298804283142,0.06318668086060161,10
10,0.05,shapley_mean,6,0.08340635388741112,0.04761469377692196,1.484189546108246,0.06547986110076047,10
10,0.05,shapley_mean,7,0.07782913102113845,0.055702434614032875,1.4854023218154908,0.06839253554732867,10
10,0.05,shapley_mean,8,0.0723349946677879,0.04470850919533547,1.48667916059494,0.06389222257782753,10
10,0.05,shapley_mean,9,0.06869143656261639,0.046979519580909956,1.487598180770874,0.0663589861218868,10
10,0.05,shapley_mean,10,0.056895000593844246,0.0356061513480898,1.4909994006156921,0.06553732280528393,10
10,0.05,shapley_mean,11,0.04389268555894513,0.05234792459768363,1.494386124610901,0.06578243137201614,10
10,0.05,shapley_mean,12,0.027721494873000057,0.042247409786329744,1.4965280890464783,0.0673355344562867,10
10,0.05,shapley_mean,13,-0.014446662779001748,0.04323333784545531,1.5036480665206908,0.06270704515179544,10
10,0.05,shapley_mean,14,-0.029723349593927965,0.08016154858511182,1.5066861391067505,0.06563519482755542,10
10,0.1,random_individual,0,0.09149260545417352,0.022135797033017008,1.4899427771568299,0.038343428110550054,50
10,0.1,random_individual,1,0.09177323481257543,0.022400359020459108,1.489768443107605,0.039051804045164264,50
10,0.1,random_individual,2,0.08861365792059597,0.02792883403060252,1.490957088470459,0.04023699988200607,50
10,0.1,random_individual,3,0.0874660875415782,0.030767705698289693,1.4914954352378844,0.04064292432301091,50
10,0.1,random_individual,4,0.0863486099446592,0.031892526251930536,1.4917607355117797,0.0408593439043148,50
10,0.1,random_individual,5,0.08302723908836633,0.03574455515054591,1.4933100962638854,0.03910763920005689,50
10,0.1,random_individual,6,0.08105529412809853,0.03921838391535037,1.4942141008377074,0.039511563247553956,50
10,0.1,random_individual,7,0.07562333692150291,0.035061072657121876,1.4955082416534424,0.036571969963470743,50
10,0.1,random_individual,8,0.06601098816094765,0.04572460513320427,1.4976648163795472,0.0382036607794292,50
10,0.1,random_individual,9,0.06035171423135195,0.04979386209183821,1.4990768933296204,0.03918305448005684,50
10,0.1,random_individual,10,0.04993758755070201,0.05104560664924562,1.5007929658889771,0.03744942090357863,50
10,0.1,random_individual,11,0.0468390493473814,0.0540550249899557,1.5012338972091674,0.03804576992540309,50
10,0.1,random_individual,12,0.03653685985143715,0.05530131402865181,1.5037090682983398,0.03923361124569475,50
10,0.1,random_individual,13,0.017743983153972936,0.06512469379276829,1.5072417569160461,0.04034586898739185,50
10,0.1,random_individual,14,0.004642536022703696,0.06927091808718232,1.5178084444999695,0.0437616953793933,50
10,0.1,shapley_mean,0,0.09149260545417351,0.023098668554249954,1.4899427771568299,0.040011305481264255,10
10,0.1,shapley_mean,1,0.09547869462790633,0.020012452037931158,1.4887487888336182,0.04064743955102238,10
10,0.1,shapley_mean,2,0.1027894204759496,0.016981451695231874,1.4861063957214355,0.03989933249769838,10
10,0.1,shapley_mean,3,0.10238559596029609,0.023077010956646975,1.4862308740615844,0.041163644568000826,10
