n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,356,0.06402880522042126,1.4617615938186646,shapley_mean,-1,1,356,4
13,2,475,0.08723735124141861,1.4585490226745605,shapley_mean,-1,2,475,4
12,3,648,0.025617943267538947,1.4698646068572998,shapley_mean,-1,3,648,4
11,4,740,0.035798155016300286,1.4671998023986816,shapley_mean,-1,4,740,4
10,5,1818,0.06427717191385424,1.4600677490234375,shapley_mean,-1,5,1818,4
9,6,1976,0.07477552504817406,1.4581421613693237,shapley_mean,-1,6,1976,4
8,7,2559,0.0913772475054837,1.4513044357299805,shapley_mean,-1,7,2559,4
7,8,3045,0.09016789355293735,1.452548623085022,shapley_mean,-1,8,3045,4
6,9,3337,0.0927517133441304,1.4516561031341553,shapley_mean,-1,9,3337,4
5,10,3734,0.09267129298242584,1.4519137144088745,shapley_mean,-1,10,3734,4
4,11,3993,0.08374935801187823,1.4548077583312988,shapley_mean,-1,11,3993,4
3,12,4195,0.07862173325156507,1.4571722745895386,shapley_mean,-1,12,4195,4
2,13,4779,0.05643951871072659,1.465131402015686,shapley_mean,-1,13,4779,4
1,14,4973,0.04775358210393164,1.4684540033340454,shapley_mean,-1,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,shapley_mean,-1,15,5139,4
14,1,356,-0.006088325287299947,1.4800777435302734,random_individual,0,1,356,4
13,2,475,0.026859573148703495,1.4788503646850586,random_individual,0,2,475,4
12,3,648,0.03257435941212708,1.4735652208328247,random_individual,0,3,648,4
11,4,740,0.05637487297034861,1.4683809280395508,random_individual,0,4,740,4
10,5,1818,-0.009475273745552964,1.4777109622955322,random_individual,0,5,1818,4
9,6,1976,-0.00037244316179564055,1.478297233581543,random_individual,0,6,1976,4
8,7,2559,0.032019646949048415,1.4711257219314575,random_individual,0,7,2559,4
7,8,3045,0.060342997370846876,1.465346336364746,random_individual,0,8,3045,4
6,9,3337,0.03397170279522937,1.473046898841858,random_individual,0,9,3337,4
5,10,3734,0.026284333984326492,1.4744362831115723,random_individual,0,10,3734,4
4,11,3993,0.02285756198499068,1.4741806983947754,random_individual,0,11,3993,4
3,12,4195,0.02952020768338007,1.473183274269104,random_individual,0,12,4195,4
2,13,4779,0.05599919526481688,1.4662094116210938,random_individual,0,13,4779,4
1,14,4973,0.05898354124751187,1.4664220809936523,random_individual,0,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,random_individual,0,15,5139,4
14,1,356,-0.05618131297195513,1.5083459615707397,random_individual,1,1,356,4
13,2,475,-0.07604927041467839,1.5076309442520142,random_individual,1,2,475,4
12,3,648,-0.00602602222373225,1.4822032451629639,random_individual,1,3,648,4
11,4,740,0.02175909368397706,1.4738914966583252,random_individual,1,4,740,4
10,5,1818,0.05468700413469883,1.4648693799972534,random_individual,1,5,1818,4
9,6,1976,0.05438147302221489,1.4643514156341553,random_individual,1,6,1976,4
8,7,2559,0.053426285788995845,1.465406060218811,random_individual,1,7,2559,4
7,8,3045,0.09355680611171716,1.4574658870697021,random_individual,1,8,3045,4
6,9,3337,0.081834708322602,1.459818720817566,random_individual,1,9,3337,4
5,10,3734,0.0994646224867174,1.4541041851043701,random_individual,1,10,3734,4
4,11,3993,0.09737411821940636,1.454940915107727,random_individual,1,11,3993,4
3,12,4195,0.07998857820251384,1.4596014022827148,random_individual,1,12,4195,4
2,13,4779,0.06368464013308173,1.4656437635421753,random_individual,1,13,4779,4
1,14,4973,0.051218294443002244,1.469218134880066,random_individual,1,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,random_individual,1,15,5139,4
14,1,356,-0.10948263322976336,1.485283374786377,random_individual,2,1,356,4
13,2,475,-0.08149055582493442,1.4805439710617065,random_individual,2,2,475,4
12,3,648,-0.042825377805722646,1.4769389629364014,random_individual,2,3,648,4
11,4,740,-0.009411484824695528,1.47333562374115,random_individual,2,4,740,4
10,5,1818,0.026488711667649274,1.4686384201049805,random_individual,2,5,1818,4
9,6,1976,0.0017506124453085024,1.4738892316818237,random_individual,2,6,1976,4
8,7,2559,-0.010174944817158487,1.4783681631088257,random_individual,2,7,2559,4
7,8,3045,0.00022160311405224113,1.4763023853302002,random_individual,2,8,3045,4
6,9,3337,0.0032891180413564566,1.4790953397750854,random_individual,2,9,3337,4
5,10,3734,0.008283732416215802,1.4827417135238647,random_individual,2,10,3734,4
4,11,3993,0.03223795145488653,1.4740252494812012,random_individual,2,11,3993,4
3,12,4195,0.05247462357506214,1.4678246974945068,random_individual,2,12,4195,4
2,13,4779,0.05798998008258482,1.466341495513916,random_individual,2,13,4779,4
1,14,4973,0.05066784358526162,1.4682602882385254,random_individual,2,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,random_individual,2,15,5139,4
14,1,356,-0.0917996566676885,1.4927747249603271,random_individual,3,1,356,4
13,2,475,-0.07568443026420779,1.485589623451233,random_individual,3,2,475,4
12,3,648,-0.06624973550695643,1.497802495956421,random_individual,3,3,648,4
11,4,740,-0.05473662935971893,1.490335464477539,random_individual,3,4,740,4
10,5,1818,-0.06945805794802826,1.4979344606399536,random_individual,3,5,1818,4
9,6,1976,-0.0764549554161111,1.5024300813674927,random_individual,3,6,1976,4
8,7,2559,-0.0430314477791451,1.489513874053955,random_individual,3,7,2559,4
7,8,3045,-0.022476794259246112,1.484423041343689,random_individual,3,8,3045,4
6,9,3337,-0.02614445884714983,1.4847761392593384,random_individual,3,9,3337,4
5,10,3734,-0.0036200707542578996,1.4788190126419067,random_individual,3,10,3734,4
4,11,3993,0.010450378030417127,1.4757059812545776,random_individual,3,11,3993,4
3,12,4195,0.019406725493239848,1.4734865427017212,random_individual,3,12,4195,4
2,13,4779,0.05105267208756749,1.4668128490447998,random_individual,3,13,4779,4
1,14,4973,0.05000839058862258,1.4678153991699219,random_individual,3,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,random_individual,3,15,5139,4
14,1,356,-0.03935858276061922,1.4736027717590332,random_individual,4,1,356,4
13,2,475,-0.004880890336929024,1.469935417175293,random_individual,4,2,475,4
12,3,648,0.014007583396393417,1.467367172241211,random_individual,4,3,648,4
11,4,740,0.045714875136672904,1.4634909629821777,random_individual,4,4,740,4
10,5,1818,0.05869186669336022,1.4613261222839355,random_individual,4,5,1818,4
9,6,1976,0.0518953123063621,1.4649758338928223,random_individual,4,6,1976,4
8,7,2559,0.08349843035917115,1.4582301378250122,random_individual,4,7,2559,4
7,8,3045,0.11199628382151343,1.4509559869766235,random_individual,4,8,3045,4
6,9,3337,0.11858205781149297,1.4483526945114136,random_individual,4,9,3337,4
5,10,3734,0.11702773054520012,1.4482916593551636,random_individual,4,10,3734,4
4,11,3993,0.10885754326057942,1.4503668546676636,random_individual,4,11,3993,4
3,12,4195,0.09649338526225214,1.4530521631240845,random_individual,4,12,4195,4
2,13,4779,0.06491196927681868,1.4641337394714355,random_individual,4,13,4779,4
1,14,4973,0.04876201770284915,1.469785213470459,random_individual,4,14,4973,4
0,15,5139,0.04732777963997997,1.4696974754333496,random_individual,4,15,5139,4
