target_island,cal_fraction,repeat,split_seed,subset,ringnr
4,0.05,1,7524089,cal,8747940
4,0.05,1,7524089,cal,8M71276
4,0.05,1,7524089,cal,8P14793
4,0.05,1,7524089,cal,8M31627
4,0.05,1,7524089,cal,8981861
4,0.05,1,7524089,cal,8L89641
4,0.05,1,7524089,cal,8668482
4,0.05,1,7524089,cal,8N87069
4,0.05,1,7524089,cal,8M31953
4,0.05,1,7524089,cal,8939611
4,0.05,1,7524089,cal,8N14446
4,0.05,1,7524089,cal,8747636
4,0.05,1,7524089,cal,8M31507
4,0.05,1,7524089,cal,8N72670
4,0.05,1,7524089,cal,8747936
4,0.05,1,7524089,cal,8N05004
4,0.05,1,7524089,cal,8M31278
4,0.05,1,7524089,cal,8L30449
4,0.05,1,7524089,cal,8L49911
4,0.05,1,7524089,cal,8730421
4,0.05,1,7524089,cal,8N14921
4,0.05,1,7524089,cal,8981774
4,0.05,1,7524089,cal,8857208
4,0.05,1,7524089,cal,8M71281
4,0.05,1,7524089,cal,8M31325
4,0.05,1,7524089,cal,8681053
4,0.05,1,7524089,cal,8N87353
4,0.05,1,7524089,test,8P14762
4,0.05,1,7524089,test,8309195
4,0.05,1,7524089,test,8943082
4,0.05,1,7524089,test,8681052
4,0.05,1,7524089,test,8732565
4,0.05,1,7524089,test,8L89663
4,0.05,1,7524089,test,8M72882
4,0.05,1,7524089,test,8N14904
4,0.05,1,7524089,test,8M72951
4,0.05,1,7524089,test,8M72806
4,0.05,1,7524089,test,8L64915
4,0.05,1,7524089,test,8573221
4,0.05,1,7524089,test,8N42533
4,0.05,1,7524089,test,8598568
4,0.05,1,7524089,test,8N14939
4,0.05,1,7524089,test,8L52973
4,0.05,1,7524089,test,8N13954
4,0.05,1,7524089,test,8681005
4,0.05,1,7524089,test,8681309
4,0.05,1,7524089,test,8L30596
4,0.05,1,7524089,test,8N73057
4,0.05,1,7524089,test,8N28767
4,0.05,1,7524089,test,8816930
4,0.05,1,7524089,test,8800439
4,0.05,1,7524089,test,8M72954
4,0.05,1,7524089,test,8N73048
4,0.05,1,7524089,test,8N87759
4,0.05,1,7524089,test,8747239
4,0.05,1,7524089,test,8N87754
4,0.05,1,7524089,test,8P14278
4,0.05,1,7524089,test,8887205
4,0.05,1,7524089,test,8N42709
4,0.05,1,7524089,test,8681054
4,0.05,1,7524089,test,8N42952
4,0.05,1,7524089,test,8M72960
4,0.05,1,7524089,test,8P11325
4,0.05,1,7524089,test,8L52415
4,0.05,1,7524089,test,8800376
4,0.05,1,7524089,test,8M72736
4,0.05,1,7524089,test,8P14061
4,0.05,1,7524089,test,8730493
4,0.05,1,7524089,test,8M71530
4,0.05,1,7524089,test,8681184
4,0.05,1,7524089,test,8N05009
4,0.05,1,7524089,test,8L89254
4,0.05,1,7524089,test,8L19825
4,0.05,1,7524089,test,8L48479
4,0.05,1,7524089,test,8P11320
4,0.05,1,7524089,test,8M31365
4,0.05,1,7524089,test,8L89296
4,0.05,1,7524089,test,8L52418
4,0.05,1,7524089,test,8939121
4,0.05,1,7524089,test,8N28418
4,0.05,1,7524089,test,8816956
4,0.05,1,7524089,test,8934219
4,0.05,1,7524089,test,8934225
4,0.05,1,7524089,test,8L30882
4,0.05,1,7524089,test,8816929
4,0.05,1,7524089,test,8L52552
4,0.05,1,7524089,test,8L52555
4,0.05,1,7524089,test,8L52931
4,0.05,1,7524089,test,8N27874
4,0.05,1,7524089,test,8939122
4,0.05,1,7524089,test,8L19988
4,0.05,1,7524089,test,8P14103
4,0.05,1,7524089,test,8939521
4,0.05,1,7524089,test,8N72719
4,0.05,1,7524089,test,8N14105
4,0.05,1,7524089,test,8N05750
4,0.05,1,7524089,test,8816947
4,0.05,1,7524089,test,8732700
4,0.05,1,7524089,test,8L48476
4,0.05,1,7524089,test,8N73508
4,0.05,1,7524089,test,8N05831
4,0.05,1,7524089,test,8N05708
4,0.05,1,7524089,test,8794368
4,0.05,1,7524089,test,8L89441
4,0.05,1,7524089,test,8168649
4,0.05,1,7524089,test,8N28761
4,0.05,1,7524089,test,8N42794
4,0.05,1,7524089,test,8M72618
4,0.05,1,7524089,test,8N27343
4,0.05,1,7524089,test,8730417
4,0.05,1,7524089,test,8N06528
4,0.05,1,7524089,test,8730987
4,0.05,1,7524089,test,8M72643
4,0.05,1,7524089,test,8N72577
4,0.05,1,7524089,test,8747603
4,0.05,1,7524089,test,8981720
4,0.05,1,7524089,test,8939124
4,0.05,1,7524089,test,8M31497
4,0.05,1,7524089,test,8M71250
4,0.05,1,7524089,test,8M72737
4,0.05,1,7524089,test,8N42735
4,0.05,1,7524089,test,8M31503
4,0.05,1,7524089,test,8L89358
4,0.05,1,7524089,test,8943039
4,0.05,1,7524089,test,8866745
