n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,173,-0.032881157702057545,1.5229343175888062,shapley_mean,-1,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,0.021041152472255107,1.510223150253296,shapley_mean,-1,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,-0.01767718951021317,1.5157668590545654,shapley_mean,-1,3,525,4,Gjerøy,3,80263170,10,0.05
11,4,881,0.044820576231185974,1.5082871913909912,shapley_mean,-1,4,881,4,Gjerøy,3,80263170,10,0.05
10,5,1465,-0.003563476753880144,1.5187548398971558,shapley_mean,-1,5,1465,4,Gjerøy,3,80263170,10,0.05
9,6,1951,0.004525771377756552,1.5186225175857544,shapley_mean,-1,6,1951,4,Gjerøy,3,80263170,10,0.05
8,7,2243,0.0011567463575415517,1.5194616317749023,shapley_mean,-1,7,2243,4,Gjerøy,3,80263170,10,0.05
7,8,2640,0.011445634084949762,1.5173860788345337,shapley_mean,-1,8,2640,4,Gjerøy,3,80263170,10,0.05
6,9,2899,-0.007768038800692981,1.5227957963943481,shapley_mean,-1,9,2899,4,Gjerøy,3,80263170,10,0.05
5,10,3065,-0.013800030632895118,1.5255651473999023,shapley_mean,-1,10,3065,4,Gjerøy,3,80263170,10,0.05
4,11,3184,0.010401624711708085,1.520241618156433,shapley_mean,-1,11,3184,4,Gjerøy,3,80263170,10,0.05
3,12,4262,0.050872268396898526,1.511029839515686,shapley_mean,-1,12,4262,4,Gjerøy,3,80263170,10,0.05
2,13,4845,0.07196845122538459,1.5027594566345215,shapley_mean,-1,13,4845,4,Gjerøy,3,80263170,10,0.05
1,14,5047,0.07157304425241419,1.5034958124160767,shapley_mean,-1,14,5047,4,Gjerøy,3,80263170,10,0.05
0,15,5139,0.0724012195425164,1.502545952796936,shapley_mean,-1,15,5139,4,Gjerøy,3,80263170,10,0.05
14,1,173,0.07693330970690229,1.506851077079773,random_individual,0,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,0.08225508093899628,1.5025136470794678,random_individual,0,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,0.09632254649205746,1.5032647848129272,random_individual,0,3,525,4,Gjerøy,3,80263170,10,0.05
11,4,881,0.038376942161710816,1.5115870237350464,random_individual,0,4,881,4,Gjerøy,3,80263170,10,0.05
10,5,1465,0.05390036546427171,1.504477620124817,random_individual,0,5,1465,4,Gjerøy,3,80263170,10,0.05
9,6,1951,0.04098179606332147,1.5116850137710571,random_individual,0,6,1951,4,Gjerøy,3,80263170,10,0.05
8,7,2243,0.03528441110959987,1.5120952129364014,random_individual,0,7,2243,4,Gjerøy,3,80263170,10,0.05
7,8,2640,0.05009508814338193,1.5085108280181885,random_individual,0,8,2640,4,Gjerøy,3,80263170,10,0.05
6,9,2899,0.06264883965728137,1.5033596754074097,random_individual,0,9,2899,4,Gjerøy,3,80263170,10,0.05
5,10,3065,0.05981107392084944,1.5046412944793701,random_individual,0,10,3065,4,Gjerøy,3,80263170,10,0.05
4,11,3184,0.06104444604440644,1.5045630931854248,random_individual,0,11,3184,4,Gjerøy,3,80263170,10,0.05
3,12,4262,0.07020869314585869,1.502634882926941,random_individual,0,12,4262,4,Gjerøy,3,80263170,10,0.05
2,13,4845,0.06414173587568776,1.5046747922897339,random_individual,0,13,4845,4,Gjerøy,3,80263170,10,0.05
1,14,5047,0.07650577207470696,1.5012620687484741,random_individual,0,14,5047,4,Gjerøy,3,80263170,10,0.05
0,15,5139,0.0724012195425164,1.502545952796936,random_individual,0,15,5139,4,Gjerøy,3,80263170,10,0.05
14,1,173,0.032743161384034665,1.5088372230529785,random_individual,1,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,0.046086669419233894,1.5054175853729248,random_individual,1,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,0.09868623819257306,1.4977809190750122,random_individual,1,3,525,4,Gjerøy,3,80263170,10,0.05
11,4,881,0.09025252756206244,1.5010292530059814,random_individual,1,4,881,4,Gjerøy,3,80263170,10,0.05
10,5,1465,0.06884246118443613,1.5037678480148315,random_individual,1,5,1465,4,Gjerøy,3,80263170,10,0.05
9,6,1951,0.06229547725603349,1.5056467056274414,random_individual,1,6,1951,4,Gjerøy,3,80263170,10,0.05
8,7,2243,0.06283511490516094,1.5024478435516357,random_individual,1,7,2243,4,Gjerøy,3,80263170,10,0.05
7,8,2640,0.041708847255247844,1.5066057443618774,random_individual,1,8,2640,4,Gjerøy,3,80263170,10,0.05
6,9,2899,0.062274265267640114,1.5017614364624023,random_individual,1,9,2899,4,Gjerøy,3,80263170,10,0.05
5,10,3065,0.0712082638740862,1.49965238571167,random_individual,1,10,3065,4,Gjerøy,3,80263170,10,0.05
4,11,3184,0.07283533547314379,1.5003387928009033,random_individual,1,11,3184,4,Gjerøy,3,80263170,10,0.05
3,12,4262,0.07402028656128329,1.5008853673934937,random_individual,1,12,4262,4,Gjerøy,3,80263170,10,0.05
2,13,4845,0.06560341968315023,1.5052666664123535,random_individual,1,13,4845,4,Gjerøy,3,80263170,10,0.05
1,14,5047,0.06402293431607334,1.5059229135513306,random_individual,1,14,5047,4,Gjerøy,3,80263170,10,0.05
0,15,5139,0.0724012195425164,1.502545952796936,random_individual,1,15,5139,4,Gjerøy,3,80263170,10,0.05
14,1,173,-0.01318615387421468,1.512900471687317,random_individual,2,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,-0.05193242347513457,1.5188751220703125,random_individual,2,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,-0.03192089515322204,1.5181083679199219,random_individual,2,3,525,4,Gjerøy,3,80263170,10,0.05
11,4,881,0.028482348203826873,1.5117394924163818,random_individual,2,4,881,4,Gjerøy,3,80263170,10,0.05
10,5,1465,0.033011306734377126,1.5114935636520386,random_individual,2,5,1465,4,Gjerøy,3,80263170,10,0.05
9,6,1951,0.03474491922013706,1.5099186897277832,random_individual,2,6,1951,4,Gjerøy,3,80263170,10,0.05
8,7,2243,0.10008593118366392,1.4969569444656372,random_individual,2,7,2243,4,Gjerøy,3,80263170,10,0.05
7,8,2640,0.09004623534700718,1.4981383085250854,random_individual,2,8,2640,4,Gjerøy,3,80263170,10,0.05
6,9,2899,0.08843898091491652,1.4982855319976807,random_individual,2,9,2899,4,Gjerøy,3,80263170,10,0.05
5,10,3065,0.07797017622715455,1.5000663995742798,random_individual,2,10,3065,4,Gjerøy,3,80263170,10,0.05
4,11,3184,0.07448460221171888,1.5007116794586182,random_individual,2,11,3184,4,Gjerøy,3,80263170,10,0.05
3,12,4262,0.06275897764295811,1.5057334899902344,random_individual,2,12,4262,4,Gjerøy,3,80263170,10,0.05
2,13,4845,0.07155372772038694,1.5029157400131226,random_individual,2,13,4845,4,Gjerøy,3,80263170,10,0.05
1,14,5047,0.06965270967911506,1.502993106842041,random_individual,2,14,5047,4,Gjerøy,3,80263170,10,0.05
0,15,5139,0.0724012195425164,1.502545952796936,random_individual,2,15,5139,4,Gjerøy,3,80263170,10,0.05
14,1,173,-0.10744510443241079,1.5184218883514404,random_individual,3,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,0.008212989795340115,1.506529450416565,random_individual,3,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,0.05424373105251048,1.5007010698318481,random_individual,3,3,525,4,Gjerøy,3,80263170,10,0.05
11,4,881,0.07543081360813113,1.4970053434371948,random_individual,3,4,881,4,Gjerøy,3,80263170,10,0.05
10,5,1465,0.026536362495446834,1.5107331275939941,random_individual,3,5,1465,4,Gjerøy,3,80263170,10,0.05
9,6,1951,0.039019130311454875,1.5093564987182617,random_individual,3,6,1951,4,Gjerøy,3,80263170,10,0.05
8,7,2243,0.02280175287345693,1.5130622386932373,random_individual,3,7,2243,4,Gjerøy,3,80263170,10,0.05
7,8,2640,0.005636304830003377,1.5189887285232544,random_individual,3,8,2640,4,Gjerøy,3,80263170,10,0.05
6,9,2899,0.03738911421452416,1.5110841989517212,random_individual,3,9,2899,4,Gjerøy,3,80263170,10,0.05
5,10,3065,0.059142285230450585,1.5058763027191162,random_individual,3,10,3065,4,Gjerøy,3,80263170,10,0.05
4,11,3184,0.06330668415894028,1.505492925643921,random_individual,3,11,3184,4,Gjerøy,3,80263170,10,0.05
3,12,4262,0.08792436601390485,1.4980868101119995,random_individual,3,12,4262,4,Gjerøy,3,80263170,10,0.05
2,13,4845,0.08409576497956675,1.4991164207458496,random_individual,3,13,4845,4,Gjerøy,3,80263170,10,0.05
1,14,5047,0.08124932107410113,1.499827265739441,random_individual,3,14,5047,4,Gjerøy,3,80263170,10,0.05
0,15,5139,0.0724012195425164,1.502545952796936,random_individual,3,15,5139,4,Gjerøy,3,80263170,10,0.05
14,1,173,-0.06999089378675497,1.5172392129898071,random_individual,4,1,173,4,Gjerøy,3,80263170,10,0.05
13,2,331,-0.09320744374712424,1.5189818143844604,random_individual,4,2,331,4,Gjerøy,3,80263170,10,0.05
12,3,525,-0.008896016928689118,1.516905426979065,random_individual,4,3,525,4,Gjerøy,3,80263170,10,0.05
