n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,10,0,15,0.1308903881839879,0.27061934575168467,-0.13972895756769677,10
10,20,0,15,0.11249085909355713,0.16945396449155123,-0.056963105397994096,10
10,40,0,15,0.122343194712869,0.09455755424505777,0.027785640467811235,10
10,80,0,15,0.12501779546706282,0.09797931414736206,0.027038481319700755,10
10,150,0,15,0.11657959533891835,0.12742802560375757,-0.010848430264839226,10
20,10,0,15,0.1308903881839879,0.27061934575168467,-0.13972895756769677,10
20,20,1,14,0.11386953350196145,0.16945396449155123,-0.055584430989589775,10
20,40,0,15,0.122343194712869,0.09455755424505777,0.027785640467811235,10
20,80,0,15,0.12501779546706282,0.09797931414736206,0.027038481319700755,10
20,150,0,15,0.11657959533891835,0.12742802560375757,-0.010848430264839226,10
40,10,0,15,0.1308903881839879,0.27061934575168467,-0.13972895756769677,10
40,20,1,14,0.11386953350196145,0.16945396449155123,-0.055584430989589775,10
40,40,0,15,0.122343194712869,0.09455755424505777,0.027785640467811235,10
40,80,0,15,0.12501779546706282,0.09797931414736206,0.027038481319700755,10
40,150,0,15,0.11657959533891835,0.12742802560375757,-0.010848430264839226,10
80,10,0,15,0.1308903881839879,0.27061934575168467,-0.13972895756769677,10
80,20,1,14,0.11386953350196145,0.16945396449155123,-0.055584430989589775,10
80,40,0,15,0.122343194712869,0.09455755424505777,0.027785640467811235,10
80,80,0,15,0.12501779546706282,0.09797931414736206,0.027038481319700755,10
80,150,0,15,0.11657959533891835,0.12742802560375757,-0.010848430264839226,10
150,10,0,15,0.1308903881839879,0.27061934575168467,-0.13972895756769677,10
150,20,1,14,0.11386953350196145,0.16945396449155123,-0.055584430989589775,10
150,40,0,15,0.122343194712869,0.09455755424505777,0.027785640467811235,10
150,80,0,15,0.12501779546706282,0.09797931414736206,0.027038481319700755,10
150,150,0,15,0.11657959533891835,0.12742802560375757,-0.010848430264839226,10
