n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,158,0.0812572504864973,0.8947268724441528,shapley_mean,-1,1,158,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
13,2,250,0.0645842031119733,0.8946087956428528,shapley_mean,-1,2,250,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
12,3,444,0.0778982001976712,0.8927227854728699,shapley_mean,-1,3,444,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
11,4,841,0.0840798764640413,0.8886497020721436,shapley_mean,-1,4,841,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
10,5,1425,0.1265498415238996,0.8799183368682861,shapley_mean,-1,5,1425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
9,6,1781,0.1153897795835876,0.8794911503791809,shapley_mean,-1,6,1781,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
8,7,2040,0.1361644441998618,0.8762001991271973,shapley_mean,-1,7,2040,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
7,8,2623,0.1758927298442995,0.8699618577957153,shapley_mean,-1,8,2623,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
6,9,3701,0.1274384480819904,0.875756561756134,shapley_mean,-1,9,3701,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
5,10,4259,0.1087387681234409,0.8794394135475159,shapley_mean,-1,10,4259,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
4,11,4425,0.116859201460478,0.8775381445884705,shapley_mean,-1,11,4425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
3,12,4544,0.1195760808395609,0.8762123584747314,shapley_mean,-1,12,4544,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
2,13,4836,0.1156729316953271,0.8761438727378845,shapley_mean,-1,13,4836,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
1,14,5009,0.107858221780799,0.8782001733779907,shapley_mean,-1,14,5009,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
0,15,5211,0.1124186208784203,0.8777693510055542,shapley_mean,-1,15,5211,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
14,1,158,0.0231711130281745,0.898810863494873,random_individual,0,1,158,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
13,2,250,0.046022176095196,0.8971844911575317,random_individual,0,2,250,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
12,3,444,0.0937653989204231,0.8917309045791626,random_individual,0,3,444,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
11,4,841,0.0723888234037483,0.8912876844406128,random_individual,0,4,841,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
10,5,1425,0.0435165605879725,0.8920736908912659,random_individual,0,5,1425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
9,6,1781,0.0726077812071628,0.8876540064811707,random_individual,0,6,1781,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
8,7,2040,0.0956242378119793,0.8846952319145203,random_individual,0,7,2040,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
7,8,2623,0.1264352628682232,0.876967191696167,random_individual,0,8,2623,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
6,9,3701,0.1223692613224105,0.8752371668815613,random_individual,0,9,3701,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
5,10,4259,0.10443551625759,0.8806012272834778,random_individual,0,10,4259,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
4,11,4425,0.0997721086028154,0.8803650736808777,random_individual,0,11,4425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
3,12,4544,0.101279065960352,0.8809235692024231,random_individual,0,12,4544,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
2,13,4836,0.1118933815245587,0.8781304359436035,random_individual,0,13,4836,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
1,14,5009,0.1173595207083988,0.8773290514945984,random_individual,0,14,5009,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
0,15,5211,0.1124186208784203,0.8777693510055542,random_individual,0,15,5211,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
14,1,158,0.0709557422076363,0.8938671350479126,random_individual,1,1,158,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
13,2,250,0.1079499329370932,0.8924965858459473,random_individual,1,2,250,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
12,3,444,0.0876879241905528,0.8900928497314453,random_individual,1,3,444,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
11,4,841,0.0811756638163802,0.8906224370002747,random_individual,1,4,841,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
10,5,1425,0.0811022287426698,0.8876322507858276,random_individual,1,5,1425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
9,6,1781,0.0619036111546094,0.8887832164764404,random_individual,1,6,1781,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
8,7,2040,0.0334021516980269,0.8923748731613159,random_individual,1,7,2040,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
7,8,2623,-0.0099814333374251,0.8991429209709167,random_individual,1,8,2623,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
6,9,3701,0.068552057020745,0.8875623345375061,random_individual,1,9,3701,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
5,10,4259,0.1311306775638079,0.8737056255340576,random_individual,1,10,4259,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
4,11,4425,0.1528186773211073,0.8695645928382874,random_individual,1,11,4425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
3,12,4544,0.1477474508328763,0.8707124590873718,random_individual,1,12,4544,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
2,13,4836,0.1421541557494846,0.8712647557258606,random_individual,1,13,4836,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
1,14,5009,0.1154009709400634,0.8775972723960876,random_individual,1,14,5009,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
0,15,5211,0.1124186208784203,0.8777693510055542,random_individual,1,15,5211,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
14,1,158,0.0287362241846083,0.9014169573783876,random_individual,2,1,158,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
13,2,250,0.0705956732462204,0.8927976489067078,random_individual,2,2,250,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
12,3,444,0.0749000879322535,0.8932551145553589,random_individual,2,3,444,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
11,4,841,0.1336711162301813,0.8872572779655457,random_individual,2,4,841,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
10,5,1425,0.0641338511088817,0.8928306102752686,random_individual,2,5,1425,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
9,6,1781,0.0828842387439569,0.8854362964630127,random_individual,2,6,1781,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
8,7,2040,0.0677846754652487,0.8910477757453918,random_individual,2,7,2040,14,Southern 4,0,1446703604,10,body_mass,0.0205761316872428,10
