target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
3,150.0,1,8,Lovund,2.7,1.636391694484477,0.00041607906350442944,10
3,150.0,1,2,Træna,2.8,1.1352924243950933,0.00025975030855100316,10
3,150.0,1,6,Indre Kvarøy,3.4,1.7126976771553504,0.00016517798986283907,10
3,150.0,1,10,Aldra,5.0,1.8257418583505538,0.00011213608368549432,10
3,150.0,1,15,Southern 5,6.5,1.2692955176439846,6.883395904294553e-05,10
3,150.0,1,13,Southern 3,7.2,2.780887148615228,6.539742674734805e-05,10
3,150.0,1,0,Nesøy,7.9,2.998147576235848,4.5888369456235365e-05,10
3,150.0,1,1,Myken,8.0,7.180219742846006,0.00024079003050153278,10
3,150.0,1,14,Southern 4,8.8,2.616188916046478,2.36759175796135e-05,10
3,150.0,1,9,Sleneset,9.0,4.055175020198813,5.8147278493403635e-05,10
3,150.0,1,7,Onøy og Lurøy,9.9,2.766867462592951,1.913515213286408e-06,10
3,150.0,1,11,Southern 1,10.5,1.5811388300841893,-5.544854231878748e-07,10
3,150.0,1,5,Hestmannøy,10.6,1.2649110640673518,-2.422598418134492e-06,10
3,150.0,1,12,Southern 2,13.7,0.9486832980505139,-9.267755491889066e-05,10
3,150.0,1,4,Gjerøy,14.0,0.8164965809277266,-0.00012789139152605806,10
3,150.0,2,8,Lovund,2.0,1.1547005383792515,0.00044160809294875445,10
3,150.0,2,2,Træna,2.7,1.4944341180973262,0.0002720648167657987,10
3,150.0,2,6,Indre Kvarøy,4.3,1.4181364924121764,0.0001415355538022013,10
3,150.0,2,10,Aldra,4.3,1.8287822299126937,0.00016240624928969664,10
3,150.0,2,13,Southern 3,6.8,2.6583202716502514,7.383830119615282e-05,10
3,150.0,2,15,Southern 5,6.8,1.398411797560202,6.699050331993004e-05,10
3,150.0,2,1,Myken,7.8,6.250333324444918,0.00013243958509119076,10
3,150.0,2,9,Sleneset,7.8,4.077035960378841,8.240470144816722e-05,10
3,150.0,2,0,Nesøy,8.6,2.503331114069145,3.5110437254962395e-05,10
3,150.0,2,14,Southern 4,9.2,2.6997942308422114,2.981815887310949e-05,10
3,150.0,2,7,Onøy og Lurøy,9.8,3.1198290551460244,5.027993504190259e-06,10
3,150.0,2,11,Southern 1,10.8,1.3165611772087666,-3.636126321264187e-06,10
3,150.0,2,5,Hestmannøy,11.1,0.9944289260117531,-5.72248242937868e-07,10
3,150.0,2,12,Southern 2,13.9,0.7378647873726218,-0.00010198701317144112,10
3,150.0,2,4,Gjerøy,14.1,0.9944289260117533,-0.0001378133797889762,10
3,150.0,3,8,Lovund,1.4,0.5163977794943222,0.0004388858412074817,10
3,150.0,3,2,Træna,2.3,1.4181364924121764,0.0002940439850892802,10
3,150.0,3,10,Aldra,4.2,1.3984117975602022,0.00016486741401021543,10
3,150.0,3,6,Indre Kvarøy,4.6,1.2649110640673518,0.00012852147409094726,10
3,150.0,3,15,Southern 5,6.9,1.5238839267549948,6.463702019923921e-05,10
3,150.0,3,9,Sleneset,7.2,3.9101008796307144,0.00010152361102722866,10
3,150.0,3,13,Southern 3,7.3,2.496664441476534,5.6489832651835035e-05,10
3,150.0,3,0,Nesøy,8.2,2.250925735484551,4.700788738823008e-05,10
3,150.0,3,1,Myken,8.8,5.3499740393970345,9.242927371989636e-05,10
3,150.0,3,14,Southern 4,9.1,2.7264140062238043,3.579608403570132e-05,10
3,150.0,3,7,Onøy og Lurøy,9.8,3.119829055146024,5.1863165950118305e-06,10
3,150.0,3,5,Hestmannøy,10.6,1.07496769977314,1.8200457998720792e-06,10
3,150.0,3,11,Southern 1,11.1,1.286683937707919,-5.966265849165028e-06,10
3,150.0,3,12,Southern 2,14.1,0.7378647873726218,-0.00010284113526429412,10
3,150.0,3,4,Gjerøy,14.4,0.6992058987801011,-0.00013048338096532814,10
3,150.0,4,8,Lovund,1.2,0.4216370213557839,0.0004546234641861932,10
3,150.0,4,2,Træna,2.5,1.4337208778404378,0.0002831788736915204,10
3,150.0,4,10,Aldra,4.1,1.5238839267549948,0.0001543340392878461,10
3,150.0,4,6,Indre Kvarøy,4.2,1.4757295747452435,0.0001412344677883807,10
3,150.0,4,15,Southern 5,7.0,1.632993161855452,6.143531063885357e-05,10
3,150.0,4,9,Sleneset,7.5,3.5039660069381067,9.260888815229291e-05,10
3,150.0,4,13,Southern 3,7.5,1.4337208778404378,5.852445074095893e-05,10
3,150.0,4,1,Myken,8.0,5.033222956847166,6.847101305017225e-05,10
3,150.0,4,0,Nesøy,8.3,2.6687491868330797,4.737235210515423e-05,10
3,150.0,4,14,Southern 4,9.1,3.0713731999438507,3.85849984571454e-05,10
3,150.0,4,7,Onøy og Lurøy,9.9,2.8460498941515415,3.653913551639983e-06,10
3,150.0,4,5,Hestmannøy,10.9,0.994428926011753,4.692419659403511e-06,10
3,150.0,4,11,Southern 1,11.2,1.2292725943057183,-7.968719223411478e-06,10
3,150.0,4,12,Southern 2,14.0,0.4714045207910317,-0.00010204979804446929,10
3,150.0,4,4,Gjerøy,14.6,0.699205898780101,-0.00013428265047673606,10
3,150.0,5,8,Lovund,1.3,0.48304589153964794,0.00043905224285532363,10
3,150.0,5,2,Træna,2.3,0.9486832980505138,0.0002921374434047924,10
3,150.0,5,6,Indre Kvarøy,4.2,1.4757295747452435,0.0001386539920517457,10
3,150.0,5,10,Aldra,4.3,1.3374935098492586,0.00014164090076885253,10
3,150.0,5,9,Sleneset,6.8,3.190262963734773,9.223506939389826e-05,10
3,150.0,5,15,Southern 5,7.2,1.3165611772087666,6.02232209673928e-05,10
3,150.0,5,1,Myken,7.8,5.573747990954262,8.668748648472186e-05,10
3,150.0,5,13,Southern 3,7.8,1.3165611772087666,5.247405558764695e-05,10
3,150.0,5,0,Nesøy,8.4,2.6331223544175333,4.6274364746152624e-05,10
3,150.0,5,14,Southern 4,9.1,2.9981475762358474,4.253362187720996e-05,10
3,150.0,5,7,Onøy og Lurøy,9.8,2.6997942308422114,6.475335794348473e-06,10
3,150.0,5,5,Hestmannøy,11.1,0.875595035770913,4.443205669257297e-06,10
3,150.0,5,11,Southern 1,11.4,1.0749676997731403,-4.094352500847755e-06,10
3,150.0,5,12,Southern 2,13.8,0.6324555320336758,-9.379196842674076e-05,10
3,150.0,5,4,Gjerøy,14.7,0.48304589153964833,-0.00013905730306149018,10
3,150.0,6,8,Lovund,1.2,0.4216370213557839,0.0004427736888898819,10
3,150.0,6,2,Træna,2.3,0.9486832980505138,0.00031824444262513606,10
3,150.0,6,6,Indre Kvarøy,4.1,1.2866839377079184,0.00014276809785573338,10
3,150.0,6,10,Aldra,4.3,1.1595018087284057,0.0001374114197951237,10
3,150.0,6,9,Sleneset,6.9,3.6040101122068022,8.600854065319822e-05,10
3,150.0,6,15,Southern 5,7.4,1.4298407059684815,5.950791893080208e-05,10
3,150.0,6,13,Southern 3,7.7,1.70293863659264,5.644952128283306e-05,10
3,150.0,6,0,Nesøy,7.9,2.8460498941515415,4.910018227815559e-05,10
3,150.0,6,14,Southern 4,9.1,2.6853512081497106,3.7212210150884185e-05,10
3,150.0,6,1,Myken,9.2,5.181162460726786,4.136847771004817e-05,10
3,150.0,6,7,Onøy og Lurøy,9.3,3.0930028559098783,5.5927276706085005e-06,10
3,150.0,6,5,Hestmannøy,10.9,0.9944289260117533,5.819335818511776e-06,10
3,150.0,6,11,Southern 1,11.2,1.2292725943057181,-4.4077115059961e-06,10
3,150.0,6,12,Southern 2,13.9,0.5676462121975467,-9.594374856541668e-05,10
3,150.0,6,4,Gjerøy,14.6,0.6992058987801011,-0.00014602213469059797,10
3,150.0,7,8,Lovund,1.4,0.5163977794943222,0.0004721836047282439,10
3,150.0,7,2,Træna,1.9,0.8755950357709132,0.0003299092742849069,10
3,150.0,7,10,Aldra,4.4,1.5055453054181618,0.0001323844297701202,10
3,150.0,7,6,Indre Kvarøy,4.5,1.2692955176439846,0.00013552114724697874,10
