target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
14,12,Southern 2,0.10636187004342211,0.0002685905809177326,396,1,1
14,11,Southern 1,0.10635921851791318,0.00018243433708046858,583,2,4
14,9,Sleneset,0.038110453974737286,0.00023380646610268274,163,3,2
14,5,Hestmannøy,0.03483050615645567,3.276623344915868e-05,1063,4,6
14,10,Aldra,0.032097500210923856,0.00018553468330013788,173,5,3
14,7,Onøy og Lurøy,0.011059624473062494,4.3033558260943555e-05,257,6,5
14,13,Southern 3,0.008175334729373701,1.4022872606129848e-05,583,7,8
14,0,Nesøy,0.003451154766333502,2.9497049284901727e-05,117,8,7
14,8,Lovund,-0.001677012208027906,-1.1032975052815172e-05,152,9,9
14,4,Gjerøy,-0.008324883077087172,-1.4999789328084993e-05,555,10,10
14,2,Træna,-0.012993461059342697,-4.543168202567376e-05,286,11,12
14,6,Indre Kvarøy,-0.013593739366189317,-3.906246944307275e-05,348,12,11
14,1,Myken,-0.014657719115980515,-0.00015932303386935343,92,13,13
14,15,Southern 5,-0.03397810285751452,-0.00016820842998769564,202,14,14
14,3,Selvær,-0.04858833308655783,-0.00025045532518844243,194,15,15
