n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,202,0.07814211851436342,0.8992753028869629,shapley_mean,-1,14
2,783,0.12386605670319686,0.8945661187171936,shapley_mean,-1,14
3,1838,0.12228198191299473,0.8965781927108765,shapley_mean,-1,14
4,2094,0.12132546815112705,0.8982752561569214,shapley_mean,-1,14
5,2267,0.12902295368452424,0.8954850435256958,shapley_mean,-1,14
6,2385,0.13187331467483995,0.8955166935920715,shapley_mean,-1,14
7,2734,0.11878216931143377,0.9010239839553833,shapley_mean,-1,14
8,3317,0.10304371919641608,0.9029272198677063,shapley_mean,-1,14
9,3468,0.10857058875827016,0.9033902287483215,shapley_mean,-1,14
10,3865,0.140718407610823,0.8826339244842529,shapley_mean,-1,14
11,4056,0.12820127357252117,0.882635772228241,shapley_mean,-1,14
12,4216,0.14275862540336062,0.8799956440925598,shapley_mean,-1,14
13,4769,0.1287701963513554,0.8853223919868469,shapley_mean,-1,14
14,5055,0.12546132291765535,0.8846967816352844,shapley_mean,-1,14
15,5147,0.12196918017216156,0.8849974274635315,shapley_mean,-1,14
1,202,-0.07726918667014278,0.9241845011711121,random_individual,0,14
2,783,0.11426548463943072,0.9068005681037903,random_individual,0,14
3,1838,0.11377803566441126,0.9085342884063721,random_individual,0,14
4,2094,0.11070473116942016,0.9074133634567261,random_individual,0,14
5,2267,0.13535312246986397,0.9014608263969421,random_individual,0,14
6,2385,0.13500696927042177,0.8986480236053467,random_individual,0,14
7,2734,0.15964873753697176,0.894619882106781,random_individual,0,14
8,3317,0.15291265945036187,0.8900430798530579,random_individual,0,14
9,3468,0.14620110398976616,0.889603853225708,random_individual,0,14
10,3865,0.15280959543883263,0.8829456567764282,random_individual,0,14
11,4056,0.14128051470859432,0.8841865062713623,random_individual,0,14
12,4216,0.14443587027964674,0.8840980529785156,random_individual,0,14
13,4769,0.13209851379515405,0.8830391764640808,random_individual,0,14
14,5055,0.124919190539866,0.8826510310173035,random_individual,0,14
15,5147,0.12196918017216156,0.8849974274635315,random_individual,0,14
1,202,0.11001218990372673,0.9137612581253052,random_individual,1,14
2,783,0.11393214339218168,0.9058988690376282,random_individual,1,14
3,1838,0.08520170153106078,0.8938680291175842,random_individual,1,14
4,2094,0.08151469866982373,0.8951594233512878,random_individual,1,14
5,2267,0.0916435251567592,0.8930401802062988,random_individual,1,14
6,2385,0.10462821054275866,0.8900099396705627,random_individual,1,14
7,2734,0.09678583630251031,0.8904100060462952,random_individual,1,14
8,3317,0.11844006665107233,0.887579619884491,random_individual,1,14
9,3468,0.11475562444462176,0.8889803290367126,random_individual,1,14
10,3865,0.11821562123435041,0.8858435750007629,random_individual,1,14
11,4056,0.1323402632232515,0.8791229724884033,random_individual,1,14
12,4216,0.1275512672028584,0.8817365765571594,random_individual,1,14
13,4769,0.11662352545528723,0.8834080696105957,random_individual,1,14
14,5055,0.11442165488747214,0.8852585554122925,random_individual,1,14
15,5147,0.12196918017216156,0.8849974274635315,random_individual,1,14
1,202,0.10130545358285609,0.9053746461868286,random_individual,2,14
2,783,0.13047740094182594,0.903516948223114,random_individual,2,14
3,1838,0.1492339742429865,0.8918582201004028,random_individual,2,14
4,2094,0.1519260569160192,0.8897345662117004,random_individual,2,14
5,2267,0.1539549514646106,0.8846966624259949,random_individual,2,14
6,2385,0.1542694154267398,0.8841770887374878,random_individual,2,14
7,2734,0.12412080717881421,0.8894428014755249,random_individual,2,14
8,3317,0.13308477590432008,0.8842591047286987,random_individual,2,14
9,3468,0.13034572769050004,0.8827735185623169,random_individual,2,14
10,3865,0.11645634883994338,0.8813280463218689,random_individual,2,14
11,4056,0.1049119546839099,0.8833207488059998,random_individual,2,14
12,4216,0.09534303087282414,0.8869526982307434,random_individual,2,14
13,4769,0.09570818100846303,0.8905375599861145,random_individual,2,14
14,5055,0.11640547859348556,0.885847806930542,random_individual,2,14
15,5147,0.12196918017216156,0.8849974274635315,random_individual,2,14
