target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
14,2,Træna,0.061854272986821,0.00021182970200966095,292,1,2
14,11,Southern 1,0.03758658086849253,6.447097919123933e-05,583,2,4
14,8,Lovund,0.03569340169247886,0.00022590760564860038,158,3,1
14,3,Selvær,0.024268436593930114,0.00012509503398933048,194,4,3
14,12,Southern 2,0.0229082090411108,5.7703297332772796e-05,397,5,5
14,4,Gjerøy,0.020055171436059258,3.5941167448134873e-05,558,6,6
14,13,Southern 3,0.017085383299300254,2.9255793320719613e-05,584,7,7
14,9,Sleneset,0.0029512837226992666,1.777881760662209e-05,166,8,8
14,0,Nesøy,0.0011208184167132156,9.418642157253913e-06,119,9,9
14,1,Myken,-0.0015792546970337996,-1.7165811924280432e-05,92,10,10
14,7,Onøy og Lurøy,-0.013422033527436523,-5.1822523271955686e-05,259,11,12
14,6,Indre Kvarøy,-0.024612708554625877,-6.913682178265696e-05,356,12,13
14,10,Aldra,-0.03232697685333061,-0.00018686113788052376,173,13,14
14,5,Hestmannøy,-0.034481667108659624,-3.1986704182430074e-05,1078,14,11
14,15,Southern 5,-0.08365706447697208,-0.0004141438835493667,202,15,15
