n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,92,0.0588338598380995,0.591999351978302,shapley_mean,-1,1,92,5
13,2,244,0.06055549111024534,0.589057207107544,shapley_mean,-1,2,244,5
12,3,592,0.12311284583524676,0.582253634929657,shapley_mean,-1,3,592,5
11,4,755,0.13937364698502555,0.580082356929779,shapley_mean,-1,4,755,5
10,5,928,0.13821675175623377,0.5803008079528809,shapley_mean,-1,5,928,5
9,6,1185,0.1539677306262208,0.5781174898147583,shapley_mean,-1,6,1185,5
8,7,1302,0.16081713151043892,0.576714038848877,shapley_mean,-1,7,1302,5
7,8,1857,0.23388020621725064,0.5654770731925964,shapley_mean,-1,8,1857,5
6,9,2440,0.2231237913119886,0.5660061836242676,shapley_mean,-1,9,2440,5
5,10,3023,0.22543949018094436,0.5657122731208801,shapley_mean,-1,10,3023,5
4,11,3419,0.22440457552400858,0.5659520626068115,shapley_mean,-1,11,3419,5
3,12,3613,0.22590532998813367,0.5659497976303101,shapley_mean,-1,12,3613,5
2,13,3815,0.22673733031506388,0.5658418536186218,shapley_mean,-1,13,3815,5
1,14,4301,0.22877373157805228,0.5656670928001404,shapley_mean,-1,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,shapley_mean,-1,15,4587,5
14,1,92,0.011660609148628435,0.5923548340797424,random_individual,0,1,92,5
13,2,244,0.02979518218285594,0.5914063453674316,random_individual,0,2,244,5
12,3,592,0.06676636591832594,0.592607855796814,random_individual,0,3,592,5
11,4,755,0.125521292176575,0.5860820412635803,random_individual,0,4,755,5
10,5,928,0.16935443144608217,0.5807833671569824,random_individual,0,5,928,5
9,6,1185,0.17224255197336732,0.5797179341316223,random_individual,0,6,1185,5
8,7,1302,0.17999194732115736,0.5772337913513184,random_individual,0,7,1302,5
7,8,1857,0.17831757227834746,0.5753927826881409,random_individual,0,8,1857,5
6,9,2440,0.19243344156258968,0.5724959969520569,random_individual,0,9,2440,5
5,10,3023,0.19016872553682002,0.5712594985961914,random_individual,0,10,3023,5
4,11,3419,0.20367473647039253,0.569205641746521,random_individual,0,11,3419,5
3,12,3613,0.21044649698272647,0.5683853626251221,random_individual,0,12,3613,5
2,13,3815,0.21974727571785932,0.5666477084159851,random_individual,0,13,3815,5
1,14,4301,0.22660799270805848,0.5654367804527283,random_individual,0,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,random_individual,0,15,4587,5
14,1,92,0.09653863880694503,0.5931594371795654,random_individual,1,1,92,5
13,2,244,0.0767612324378947,0.5894612669944763,random_individual,1,2,244,5
12,3,592,0.11821402779077943,0.5868974924087524,random_individual,1,3,592,5
11,4,755,0.13745171818871463,0.5842695236206055,random_individual,1,4,755,5
10,5,928,0.1327701488385091,0.5845246911048889,random_individual,1,5,928,5
9,6,1185,0.12475696545865196,0.58366858959198,random_individual,1,6,1185,5
8,7,1302,0.16263415306777126,0.5791171789169312,random_individual,1,7,1302,5
7,8,1857,0.17501692684020007,0.5769752860069275,random_individual,1,8,1857,5
6,9,2440,0.17318053030417843,0.5759445428848267,random_individual,1,9,2440,5
5,10,3023,0.19931016784199979,0.5713461637496948,random_individual,1,10,3023,5
4,11,3419,0.20740057951394364,0.5689834952354431,random_individual,1,11,3419,5
3,12,3613,0.20740480902958783,0.5693999528884888,random_individual,1,12,3613,5
2,13,3815,0.21099227674377505,0.5680383443832397,random_individual,1,13,3815,5
