permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
1,0,0.011888905009125122,5,Nesøy,5
1,1,0.005344732690216597,9,Myken,5
1,2,-0.01340240543809712,14,Træna,5
1,3,0.004760590738843523,10,Selvær,5
1,4,0.09244509002947741,1,Gjerøy,5
1,6,0.07536771408980247,2,Indre Kvarøy,5
1,7,0.04349729724698437,3,Onøy og Lurøy,5
1,8,0.007587585241770722,8,Lovund,5
1,9,0.008893516531328305,6,Sleneset,5
1,10,0.008602314261957095,7,Aldra,5
1,11,0.003950634960618975,11,Southern 1,5
1,12,-0.007352805761757883,13,Southern 2,5
1,13,-0.0021594406141160413,12,Southern 3,5
1,14,0.02510551245959694,4,Southern 4,5
1,15,-0.027040541101212567,15,Southern 5,5
2,0,0.005164112900127901,8,Nesøy,5
2,1,0.0037331144129516547,9,Myken,5
2,2,-0.015357373448829967,14,Træna,5
2,3,0.0030928699936980386,10,Selvær,5
2,4,0.05838917708259186,3,Gjerøy,5
2,6,0.06637383693326468,2,Indre Kvarøy,5
2,7,0.09117290636192066,1,Onøy og Lurøy,5
2,8,0.00798358310872875,7,Lovund,5
2,9,0.014047094541103694,5,Sleneset,5
2,10,0.008602314261957095,6,Aldra,5
2,11,-0.0017525580683797094,12,Southern 1,5
2,12,-0.0008985497245822603,11,Southern 2,5
2,13,-0.005058544376812612,13,Southern 3,5
2,14,0.024922807093092664,4,Southern 4,5
2,15,-0.02292609072629452,15,Southern 5,5
3,0,0.010583034929211572,6,Nesøy,5
3,1,-0.0009618828049726339,11,Myken,5
3,2,-0.0024769557449818348,12,Træna,5
3,3,0.010321943320284242,7,Selvær,5
3,4,0.058433631146635336,3,Gjerøy,5
3,6,0.05955454413544592,2,Indre Kvarøy,5
3,7,0.07681526286166303,1,Onøy og Lurøy,5
3,8,0.008187679646006122,9,Lovund,5
3,9,0.010138271029846727,8,Sleneset,5
3,10,0.012448865840269135,5,Aldra,5
3,11,0.0012764419891491275,10,Southern 1,5
3,12,-0.005157353229941171,13,Southern 2,5
3,13,-0.0063114556949570785,14,Southern 3,5
3,14,0.026366037747228108,4,Southern 4,5
3,15,-0.021729364826348668,15,Southern 5,5
4,0,0.010006409598529423,6,Nesøy,5
4,1,0.0005250322535872835,10,Myken,5
4,2,-0.004975333859665529,12,Træna,5
4,3,0.008463899090973141,8,Selvær,5
4,4,0.054401202117661224,3,Gjerøy,5
4,6,0.06012657950587926,2,Indre Kvarøy,5
4,7,0.0707908117125363,1,Onøy og Lurøy,5
4,8,0.008536857052277205,7,Lovund,5
4,9,0.004000804954133037,9,Sleneset,5
4,10,0.035032402447706966,4,Aldra,5
4,11,-0.0006633315093466196,11,Southern 1,5
4,12,-0.007326331425180285,14,Southern 2,5
4,13,-0.0057926129677149125,13,Southern 3,5
4,14,0.024841996924529857,5,Southern 4,5
4,15,-0.020479685551368428,15,Southern 5,5
5,0,0.007579733330156209,7,Nesøy,5
5,1,0.0006759388758984842,9,Myken,5
5,2,-0.0072305843007750975,12,Træna,5
5,3,0.006976103382081765,8,Selvær,5
5,4,0.05083887114903953,3,Gjerøy,5
5,6,0.05371695097422004,2,Indre Kvarøy,5
5,7,0.08493647656059558,1,Onøy og Lurøy,5
5,8,0.00841170886095014,6,Lovund,5
5,9,0.000287332987623487,10,Sleneset,5
5,10,0.04858252441216966,4,Aldra,5
5,11,-0.0015407227544901505,11,Southern 1,5
5,12,-0.007478822095110233,13,Southern 2,5
5,13,-0.012758779297488523,14,Southern 3,5
5,14,0.02424071714293158,5,Southern 4,5
5,15,-0.01974874888326455,15,Southern 5,5
6,0,0.0063257761604915705,7,Nesøy,5
6,1,-0.005929673094332448,11,Myken,5
6,2,-0.013471016821785238,14,Træna,5
6,3,0.006146085646803471,8,Selvær,5
6,4,0.0480648801430179,3,Gjerøy,5
6,6,0.054073481034668865,2,Indre Kvarøy,5
6,7,0.11330108524930156,1,Onøy og Lurøy,5
6,8,0.008383269867985954,6,Lovund,5
6,9,-0.0029437103715729204,10,Sleneset,5
6,10,0.04265861407174524,4,Aldra,5
6,11,-0.0022166654398751355,9,Southern 1,5
6,12,-0.007831450970004475,12,Southern 2,5
6,13,-0.011904496914172787,13,Southern 3,5
6,14,0.02417932278715813,5,Southern 4,5
6,15,-0.021346801004891766,15,Southern 5,5
7,0,0.0059949383410537625,7,Nesøy,5
7,1,-0.005190761588361064,11,Myken,5
7,2,-0.01064775857568558,14,Træna,5
7,3,0.0054615993219986605,8,Selvær,5
7,4,0.0454072304452845,3,Gjerøy,5
7,6,0.06405976251957626,2,Indre Kvarøy,5
7,7,0.10631727771215418,1,Onøy og Lurøy,5
7,8,0.009413638566705962,6,Lovund,5
7,9,-0.004438835158108741,10,Sleneset,5
7,10,0.038330270796525547,4,Aldra,5
7,11,6.725555243749178e-05,9,Southern 1,5
7,12,-0.007868212942122409,12,Southern 2,5
7,13,-0.00977778920524067,13,Southern 3,5
7,14,0.023500151861788637,5,Southern 4,5
7,15,-0.023140067303468615,15,Southern 5,5
8,0,0.006610657634399002,8,Nesøy,5
8,1,-0.004998779844610399,10,Myken,5
8,2,-0.010654179135454264,14,Træna,5
8,3,0.015287446540218068,6,Selvær,5
8,4,0.04204287530850488,3,Gjerøy,5
8,6,0.07081359308448576,2,Indre Kvarøy,5
8,7,0.0984289653115431,1,Onøy og Lurøy,5
8,8,0.009465797886537557,7,Lovund,5
8,9,-0.005615758414174684,11,Sleneset,5
8,10,0.03461290031438813,4,Aldra,5
8,11,-0.0005540627087537416,9,Southern 1,5
8,12,-0.009007364952428501,12,Southern 2,5
8,13,-0.009629665760690458,13,Southern 3,5
8,14,0.02344662905730596,5,Southern 4,5
8,15,-0.02276035397673249,15,Southern 5,5
9,0,0.008367087382368925,8,Nesøy,5
9,1,-0.0045415940167374035,10,Myken,5
9,2,-0.01045543013959997,14,Træna,5
9,3,0.022929772154388718,6,Selvær,5
9,4,0.03922563432407942,3,Gjerøy,5
9,6,0.07210802945108105,2,Indre Kvarøy,5
9,7,0.09318257324908566,1,Onøy og Lurøy,5
9,8,0.009168410732762844,7,Lovund,5
9,9,-0.006988228791450075,11,Sleneset,5
9,10,0.0316661000750711,4,Aldra,5
9,11,-0.001301010688799932,9,Southern 1,5
9,12,-0.008356788639197248,12,Southern 2,5
9,13,-0.00964753235379666,13,Southern 3,5
9,14,0.02410434171628107,5,Southern 4,5
9,15,-0.021972664110999577,15,Southern 5,5
10,0,0.007106948141744618,8,Nesøy,5
10,1,-0.004206138490177626,10,Myken,5
10,2,-0.011378691109641811,13,Træna,5
10,3,0.020511688766157766,6,Selvær,5
10,4,0.03787344098734138,3,Gjerøy,5
10,6,0.06949258764142865,2,Indre Kvarøy,5
10,7,0.10705595674985018,1,Onøy og Lurøy,5
10,8,0.009107391650067787,7,Lovund,5
10,9,-0.007776833904506645,11,Sleneset,5
10,10,0.030008933715622278,4,Aldra,5
10,11,-0.001254205966951811,9,Southern 1,5
10,12,-0.00917972730923709,12,Southern 2,5
10,13,-0.01192651548464373,14,Southern 3,5
10,14,0.024015269262217136,5,Southern 4,5
10,15,-0.021961404304733166,15,Southern 5,5
11,0,0.01206919769389398,7,Nesøy,5
