n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,292,0.18585685263550408,0.6650114059448242,shapley_mean,-1,1,292,3
13,2,450,0.32817532982754155,0.6307933330535889,shapley_mean,-1,2,450,3
12,3,542,0.28819927752525487,0.635814905166626,shapley_mean,-1,3,542,3
11,4,898,0.31591640633748636,0.6302757859230042,shapley_mean,-1,4,898,3
10,5,1071,0.32985234169305894,0.6244391798973083,shapley_mean,-1,5,1071,3
9,6,1190,0.3335581113244316,0.6245512366294861,shapley_mean,-1,6,1190,3
8,7,1392,0.34194073497894334,0.6199686527252197,shapley_mean,-1,7,1392,3
7,8,1558,0.3771036821138137,0.6166374683380127,shapley_mean,-1,8,1558,3
6,9,2142,0.4035064719039879,0.6099161505699158,shapley_mean,-1,9,2142,3
5,10,2401,0.33301963742402396,0.6231346726417542,shapley_mean,-1,10,2401,3
4,11,3479,0.2503852101171325,0.6380650997161865,shapley_mean,-1,11,3479,3
3,12,3965,0.2667029609356693,0.6341898441314697,shapley_mean,-1,12,3965,3
2,13,4548,0.2932455323211034,0.6274123787879944,shapley_mean,-1,13,4548,3
1,14,4945,0.2726573690271506,0.6349806189537048,shapley_mean,-1,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,shapley_mean,-1,15,5503,3
14,1,292,0.039250158779525555,0.6833948493003845,random_individual,0,1,292,3
13,2,450,0.04032950986667302,0.6781724095344543,random_individual,0,2,450,3
12,3,542,0.06062883159794856,0.679175615310669,random_individual,0,3,542,3
11,4,898,0.06549231740749234,0.6770744919776917,random_individual,0,4,898,3
10,5,1071,0.14282232887820395,0.6624178290367126,random_individual,0,5,1071,3
9,6,1190,0.13138671799650964,0.6614956259727478,random_individual,0,6,1190,3
8,7,1392,0.1356409241967708,0.6643403172492981,random_individual,0,7,1392,3
7,8,1558,0.13819491841904794,0.665326714515686,random_individual,0,8,1558,3
6,9,2142,0.15967505228561357,0.6541601419448853,random_individual,0,9,2142,3
5,10,2401,0.1792666758585263,0.646812379360199,random_individual,0,10,2401,3
