trait,target_island,cal_fraction,n_cal_samples,repeat,split_seed,subset,ringnr
tarsus,3,0.05154639175257732,10,5,382347360,cal,8N13745
tarsus,3,0.05154639175257732,10,5,382347360,cal,8730957
tarsus,3,0.05154639175257732,10,5,382347360,cal,8730558
tarsus,3,0.05154639175257732,10,5,382347360,cal,8N05567
tarsus,3,0.05154639175257732,10,5,382347360,cal,8730953
tarsus,3,0.05154639175257732,10,5,382347360,cal,8M71673
tarsus,3,0.05154639175257732,10,5,382347360,cal,8L52224
tarsus,3,0.05154639175257732,10,5,382347360,cal,8M72259
tarsus,3,0.05154639175257732,10,5,382347360,cal,8L30388
tarsus,3,0.05154639175257732,10,5,382347360,cal,8L19568
tarsus,3,0.05154639175257732,10,5,382347360,test,8730927
tarsus,3,0.05154639175257732,10,5,382347360,test,8747161
tarsus,3,0.05154639175257732,10,5,382347360,test,8681385
tarsus,3,0.05154639175257732,10,5,382347360,test,8N87995
tarsus,3,0.05154639175257732,10,5,382347360,test,8598579
tarsus,3,0.05154639175257732,10,5,382347360,test,8L52231
tarsus,3,0.05154639175257732,10,5,382347360,test,8934231
tarsus,3,0.05154639175257732,10,5,382347360,test,8681473
tarsus,3,0.05154639175257732,10,5,382347360,test,8681237
tarsus,3,0.05154639175257732,10,5,382347360,test,8L19656
tarsus,3,0.05154639175257732,10,5,382347360,test,8N05946
tarsus,3,0.05154639175257732,10,5,382347360,test,8747088
tarsus,3,0.05154639175257732,10,5,382347360,test,8730932
tarsus,3,0.05154639175257732,10,5,382347360,test,8747287
tarsus,3,0.05154639175257732,10,5,382347360,test,8730553
tarsus,3,0.05154639175257732,10,5,382347360,test,8934215
tarsus,3,0.05154639175257732,10,5,382347360,test,8917814
tarsus,3,0.05154639175257732,10,5,382347360,test,8934808
tarsus,3,0.05154639175257732,10,5,382347360,test,8L57729
tarsus,3,0.05154639175257732,10,5,382347360,test,8M72327
tarsus,3,0.05154639175257732,10,5,382347360,test,8934474
tarsus,3,0.05154639175257732,10,5,382347360,test,8L19505
tarsus,3,0.05154639175257732,10,5,382347360,test,8N72208
tarsus,3,0.05154639175257732,10,5,382347360,test,8943474
tarsus,3,0.05154639175257732,10,5,382347360,test,8730547
tarsus,3,0.05154639175257732,10,5,382347360,test,8681247
tarsus,3,0.05154639175257732,10,5,382347360,test,8L64256
tarsus,3,0.05154639175257732,10,5,382347360,test,8L64840
tarsus,3,0.05154639175257732,10,5,382347360,test,8730938
tarsus,3,0.05154639175257732,10,5,382347360,test,8M72224
tarsus,3,0.05154639175257732,10,5,382347360,test,8939544
tarsus,3,0.05154639175257732,10,5,382347360,test,8934875
tarsus,3,0.05154639175257732,10,5,382347360,test,8681384
tarsus,3,0.05154639175257732,10,5,382347360,test,8651786
tarsus,3,0.05154639175257732,10,5,382347360,test,8981538
tarsus,3,0.05154639175257732,10,5,382347360,test,8M31737
tarsus,3,0.05154639175257732,10,5,382347360,test,8M72323
tarsus,3,0.05154639175257732,10,5,382347360,test,8730922
tarsus,3,0.05154639175257732,10,5,382347360,test,8L64372
tarsus,3,0.05154639175257732,10,5,382347360,test,8730564
tarsus,3,0.05154639175257732,10,5,382347360,test,8L57701
tarsus,3,0.05154639175257732,10,5,382347360,test,8L52619
tarsus,3,0.05154639175257732,10,5,382347360,test,8N42229
tarsus,3,0.05154639175257732,10,5,382347360,test,8934472
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8730563
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8L57729
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8917977
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8L64397
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8N05567
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8730547
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8N72490
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8730552
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8598579
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8M31112
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8747374
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8N42229
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8N72208
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8651786
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8N13745
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8730938
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8943474
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8598592
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8939544
tarsus,3,0.10309278350515463,20,5,1115965396,cal,8730551
tarsus,3,0.10309278350515463,20,5,1115965396,test,8934875
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L64372
tarsus,3,0.10309278350515463,20,5,1115965396,test,8730953
tarsus,3,0.10309278350515463,20,5,1115965396,test,8939475
tarsus,3,0.10309278350515463,20,5,1115965396,test,8934215
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681248
tarsus,3,0.10309278350515463,20,5,1115965396,test,8573989
tarsus,3,0.10309278350515463,20,5,1115965396,test,8747280
tarsus,3,0.10309278350515463,20,5,1115965396,test,8M31739
tarsus,3,0.10309278350515463,20,5,1115965396,test,8N14718
tarsus,3,0.10309278350515463,20,5,1115965396,test,8730565
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L19506
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L52231
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681473
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681479
tarsus,3,0.10309278350515463,20,5,1115965396,test,8934883
tarsus,3,0.10309278350515463,20,5,1115965396,test,8730564
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L52224
tarsus,3,0.10309278350515463,20,5,1115965396,test,8917814
tarsus,3,0.10309278350515463,20,5,1115965396,test,8747135
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L30819
tarsus,3,0.10309278350515463,20,5,1115965396,test,8939460
tarsus,3,0.10309278350515463,20,5,1115965396,test,8573815
tarsus,3,0.10309278350515463,20,5,1115965396,test,8N27901
tarsus,3,0.10309278350515463,20,5,1115965396,test,8981310
tarsus,3,0.10309278350515463,20,5,1115965396,test,8M72224
tarsus,3,0.10309278350515463,20,5,1115965396,test,8M72259
tarsus,3,0.10309278350515463,20,5,1115965396,test,8P11058
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L52241
tarsus,3,0.10309278350515463,20,5,1115965396,test,8747287
tarsus,3,0.10309278350515463,20,5,1115965396,test,8939442
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681237
tarsus,3,0.10309278350515463,20,5,1115965396,test,8939824
tarsus,3,0.10309278350515463,20,5,1115965396,test,8N72488
tarsus,3,0.10309278350515463,20,5,1115965396,test,8M71735
tarsus,3,0.10309278350515463,20,5,1115965396,test,8943164
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L64256
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L30829
tarsus,3,0.10309278350515463,20,5,1115965396,test,8N72040
tarsus,3,0.10309278350515463,20,5,1115965396,test,8857946
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681477
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L19505
tarsus,3,0.10309278350515463,20,5,1115965396,test,8681247
tarsus,3,0.10309278350515463,20,5,1115965396,test,8L48574
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8651786
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8681384
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L64856
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8681385
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8681247
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L64169
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8M71765
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8N14733
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L19540
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8598579
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L88307
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L52224
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8M71735
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8N72448
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8651512
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8L64175
tarsus,3,0.20618556701030927,40,5,1962987321,cal,8730951
