n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,581,0.21119439260219405,1.7092175483703613,shapley_mean,-1,1,581,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
13,2,930,-0.010029974806241373,1.734580397605896,shapley_mean,-1,2,930,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
12,3,1416,0.11347922944333334,1.7163305282592773,shapley_mean,-1,3,1416,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
11,4,1534,0.14472056281893758,1.7056161165237427,shapley_mean,-1,4,1534,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
10,5,2589,0.21328520544939483,1.6914823055267334,shapley_mean,-1,5,2589,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
9,6,2791,0.1760787679436365,1.70607328414917,shapley_mean,-1,6,2791,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
8,7,3077,0.39027786208738635,1.5849353075027466,shapley_mean,-1,7,3077,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
7,8,3474,0.33970799849339356,1.6077134609222412,shapley_mean,-1,8,3474,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
6,9,4057,0.3158050683765019,1.607574224472046,shapley_mean,-1,9,4057,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
5,10,4208,0.3361583160772874,1.589732050895691,shapley_mean,-1,10,4208,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
4,11,4368,0.3564138379798188,1.5720633268356323,shapley_mean,-1,11,4368,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
3,12,4921,0.3674379854886576,1.5830528736114502,shapley_mean,-1,12,4921,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
2,13,5094,0.37736196695640595,1.5877244472503662,shapley_mean,-1,13,5094,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
1,14,5350,0.3895876012685991,1.5639503002166748,shapley_mean,-1,14,5350,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,shapley_mean,-1,15,5442,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
14,1,581,0.188263539882439,1.709125280380249,random_individual,0,1,581,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
13,2,930,0.19028014685068562,1.6950571537017822,random_individual,0,2,930,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
12,3,1416,-0.03853014686458894,1.7334853410720825,random_individual,0,3,1416,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
