n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,118,-0.05734659739707585,1.0298902988433838,shapley_mean,-1,1,118,14
13,2,320,0.037402151969745875,1.017270803451538,shapley_mean,-1,2,320,14
12,3,480,0.037253187893988494,1.0168650150299072,shapley_mean,-1,3,480,14
11,4,653,0.038917409286646026,1.014941930770874,shapley_mean,-1,4,653,14
10,5,1708,0.1053294245354331,1.0143274068832397,shapley_mean,-1,5,1708,14
9,6,2289,0.14872428570048143,1.0058820247650146,shapley_mean,-1,6,2289,14
8,7,2381,0.14383336949097864,1.0075331926345825,shapley_mean,-1,7,2381,14
7,8,2532,0.14822086530017564,1.0075880289077759,shapley_mean,-1,8,2532,14
6,9,2788,0.16182266607169407,1.00823175907135,shapley_mean,-1,9,2788,14
5,10,3371,0.15159363691768818,1.011765956878662,shapley_mean,-1,10,3371,14
4,11,3768,0.17524370950835935,0.9960323572158813,shapley_mean,-1,11,3768,14
3,12,4321,0.16360753792084567,0.9986110925674438,shapley_mean,-1,12,4321,14
2,13,4607,0.16093490833712698,0.9973283410072327,shapley_mean,-1,13,4607,14
1,14,4956,0.1584682061512742,1.0002129077911377,shapley_mean,-1,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,shapley_mean,-1,15,5147,14
14,1,118,-0.004080289141691196,1.0522657632827759,random_individual,0,1,118,14
13,2,320,0.07578295726890384,1.0283170938491821,random_individual,0,2,320,14
12,3,480,0.07947047283102908,1.0282032489776611,random_individual,0,3,480,14
11,4,653,0.09288961715942304,1.0212706327438354,random_individual,0,4,653,14
10,5,1708,0.16471054563190515,1.0101830959320068,random_individual,0,5,1708,14
9,6,2289,0.14055011215777286,1.0118863582611084,random_individual,0,6,2289,14
8,7,2381,0.12879149185241945,1.0136337280273438,random_individual,0,7,2381,14
7,8,2532,0.13963535623158943,1.0124558210372925,random_individual,0,8,2532,14
6,9,2788,0.14018678763525513,1.0095503330230713,random_individual,0,9,2788,14
5,10,3371,0.11515801678224119,1.0168417692184448,random_individual,0,10,3371,14
4,11,3768,0.14125342828878948,1.0084584951400757,random_individual,0,11,3768,14
3,12,4321,0.16079719438560616,1.0049614906311035,random_individual,0,12,4321,14
2,13,4607,0.16855705440039073,1.0023778676986694,random_individual,0,13,4607,14
1,14,4956,0.16192688033111946,1.0007768869400024,random_individual,0,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,random_individual,0,15,5147,14
14,1,118,-0.05520081177281509,1.03583824634552,random_individual,1,1,118,14
13,2,320,-0.045782069086248905,1.0333032608032227,random_individual,1,2,320,14
12,3,480,-0.05645669693365957,1.0336968898773193,random_individual,1,3,480,14
