target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples,v_full,n_source_islands
3,Selvær,6,203572148,10,body_mass,0.05154639175257732,10,0.17304555513279918,15
3,Selvær,6,203572148,20,body_mass,0.05154639175257732,10,0.17304555513279918,15
3,Selvær,6,203572148,40,body_mass,0.05154639175257732,10,0.17304555513279918,15
3,Selvær,6,203572148,80,body_mass,0.05154639175257732,10,0.17304555513279918,15
3,Selvær,6,203572148,150,body_mass,0.05154639175257732,10,0.17304555513279918,15
3,Selvær,6,1646271930,10,body_mass,0.10309278350515463,20,-0.0006989966864768968,15
3,Selvær,6,1646271930,20,body_mass,0.10309278350515463,20,-0.0006989966864768968,15
3,Selvær,6,1646271930,40,body_mass,0.10309278350515463,20,-0.0006989966864768968,15
3,Selvær,6,1646271930,80,body_mass,0.10309278350515463,20,-0.0006989966864768968,15
3,Selvær,6,1646271930,150,body_mass,0.10309278350515463,20,-0.0006989966864768968,15
3,Selvær,6,1315868892,10,body_mass,0.20618556701030927,40,0.2938531052116327,15
3,Selvær,6,1315868892,20,body_mass,0.20618556701030927,40,0.2938531052116327,15
3,Selvær,6,1315868892,40,body_mass,0.20618556701030927,40,0.2938531052116327,15
3,Selvær,6,1315868892,80,body_mass,0.20618556701030927,40,0.2938531052116327,15
3,Selvær,6,1315868892,150,body_mass,0.20618556701030927,40,0.2938531052116327,15
3,Selvær,6,1966302810,10,body_mass,0.41237113402061853,80,0.2511318141234508,15
3,Selvær,6,1966302810,20,body_mass,0.41237113402061853,80,0.2511318141234508,15
3,Selvær,6,1966302810,40,body_mass,0.41237113402061853,80,0.2511318141234508,15
3,Selvær,6,1966302810,80,body_mass,0.41237113402061853,80,0.2511318141234508,15
3,Selvær,6,1966302810,150,body_mass,0.41237113402061853,80,0.2511318141234508,15
3,Selvær,6,1726234967,10,body_mass,0.7731958762886598,150,0.1500174704112001,15
3,Selvær,6,1726234967,20,body_mass,0.7731958762886598,150,0.1500174704112001,15
3,Selvær,6,1726234967,40,body_mass,0.7731958762886598,150,0.1500174704112001,15
3,Selvær,6,1726234967,80,body_mass,0.7731958762886598,150,0.1500174704112001,15
3,Selvær,6,1726234967,150,body_mass,0.7731958762886598,150,0.1500174704112001,15
5,Hestmannøy,6,1790499667,10,body_mass,0.00927643784786642,10,-0.5845834545700934,15
5,Hestmannøy,6,1790499667,20,body_mass,0.00927643784786642,10,-0.5845834545700934,15
5,Hestmannøy,6,1790499667,40,body_mass,0.00927643784786642,10,-0.5845834545700934,15
5,Hestmannøy,6,1790499667,80,body_mass,0.00927643784786642,10,-0.5845834545700934,15
5,Hestmannøy,6,1790499667,150,body_mass,0.00927643784786642,10,-0.5845834545700934,15
5,Hestmannøy,6,111368,10,body_mass,0.01855287569573284,20,-0.03124177365351812,15
5,Hestmannøy,6,111368,20,body_mass,0.01855287569573284,20,-0.03124177365351812,15
5,Hestmannøy,6,111368,40,body_mass,0.01855287569573284,20,-0.03124177365351812,15
5,Hestmannøy,6,111368,80,body_mass,0.01855287569573284,20,-0.03124177365351812,15
5,Hestmannøy,6,111368,150,body_mass,0.01855287569573284,20,-0.03124177365351812,15
5,Hestmannøy,6,989137307,10,body_mass,0.03710575139146568,40,0.15849934402665536,15
5,Hestmannøy,6,989137307,20,body_mass,0.03710575139146568,40,0.15849934402665536,15
5,Hestmannøy,6,989137307,40,body_mass,0.03710575139146568,40,0.15849934402665536,15
5,Hestmannøy,6,989137307,80,body_mass,0.03710575139146568,40,0.15849934402665536,15
5,Hestmannøy,6,989137307,150,body_mass,0.03710575139146568,40,0.15849934402665536,15
5,Hestmannøy,6,1045400527,10,body_mass,0.07421150278293136,80,0.33282927641782784,15
5,Hestmannøy,6,1045400527,20,body_mass,0.07421150278293136,80,0.33282927641782784,15
5,Hestmannøy,6,1045400527,40,body_mass,0.07421150278293136,80,0.33282927641782784,15
5,Hestmannøy,6,1045400527,80,body_mass,0.07421150278293136,80,0.33282927641782784,15
5,Hestmannøy,6,1045400527,150,body_mass,0.07421150278293136,80,0.33282927641782784,15
5,Hestmannøy,6,1274317247,10,body_mass,0.1391465677179963,150,-0.020436937867234727,15
5,Hestmannøy,6,1274317247,20,body_mass,0.1391465677179963,150,-0.020436937867234727,15
5,Hestmannøy,6,1274317247,40,body_mass,0.1391465677179963,150,-0.020436937867234727,15
5,Hestmannøy,6,1274317247,80,body_mass,0.1391465677179963,150,-0.020436937867234727,15
5,Hestmannøy,6,1274317247,150,body_mass,0.1391465677179963,150,-0.020436937867234727,15
14,Southern 4,6,1236548772,10,body_mass,0.0205761316872428,10,0.3443558008943911,15
14,Southern 4,6,1236548772,20,body_mass,0.0205761316872428,10,0.3443558008943911,15
14,Southern 4,6,1236548772,40,body_mass,0.0205761316872428,10,0.3443558008943911,15
14,Southern 4,6,1236548772,80,body_mass,0.0205761316872428,10,0.3443558008943911,15
14,Southern 4,6,1236548772,150,body_mass,0.0205761316872428,10,0.3443558008943911,15
14,Southern 4,6,1309382953,10,body_mass,0.0411522633744856,20,0.4319786435115647,15
14,Southern 4,6,1309382953,20,body_mass,0.0411522633744856,20,0.4319786435115647,15
14,Southern 4,6,1309382953,40,body_mass,0.0411522633744856,20,0.4319786435115647,15
14,Southern 4,6,1309382953,80,body_mass,0.0411522633744856,20,0.4319786435115647,15
14,Southern 4,6,1309382953,150,body_mass,0.0411522633744856,20,0.4319786435115647,15
14,Southern 4,6,1102993653,10,body_mass,0.0823045267489712,40,-0.026362764836967964,15
14,Southern 4,6,1102993653,20,body_mass,0.0823045267489712,40,-0.026362764836967964,15
14,Southern 4,6,1102993653,40,body_mass,0.0823045267489712,40,-0.026362764836967964,15
14,Southern 4,6,1102993653,80,body_mass,0.0823045267489712,40,-0.026362764836967964,15
14,Southern 4,6,1102993653,150,body_mass,0.0823045267489712,40,-0.026362764836967964,15
14,Southern 4,6,1212554687,10,body_mass,0.1646090534979424,80,0.10699046470789551,15
14,Southern 4,6,1212554687,20,body_mass,0.1646090534979424,80,0.10699046470789551,15
14,Southern 4,6,1212554687,40,body_mass,0.1646090534979424,80,0.10699046470789551,15
14,Southern 4,6,1212554687,80,body_mass,0.1646090534979424,80,0.10699046470789551,15
14,Southern 4,6,1212554687,150,body_mass,0.1646090534979424,80,0.10699046470789551,15
14,Southern 4,6,1922480101,10,body_mass,0.30864197530864196,150,0.12264829121588165,15
14,Southern 4,6,1922480101,20,body_mass,0.30864197530864196,150,0.12264829121588165,15
14,Southern 4,6,1922480101,40,body_mass,0.30864197530864196,150,0.12264829121588165,15
14,Southern 4,6,1922480101,80,body_mass,0.30864197530864196,150,0.12264829121588165,15
